Сведения о количестве заявленных страховых случаев,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
Дата составления отчета: 26.05.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период:  январь-март 2021 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,единица
,,,,Добровольное и обязательное страхование (кроме обязательного медицинского страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,I. Добровольное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II. Обязательное страхование  ,,,,,,,,
,,,,,,Страхование жизни,,,,"Страхование иное, чем страхование жизни",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное личное страхование,,,Обязательное имущественное страхование,,,,,
,,,,,,,в том числе,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,в том числе,,,в том числе,,,,
,,,,,,,,из него,,,личное страхование,,,,,Имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,в том числе,,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,из него,,,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,государственное,,,,,,,
,,,,,,,,,,,,,,,,,,в том числе,,,,,,,,,,в том числе,,,,,,,,,,,,, страхование жизни и,иные виды,,гражданской,гражданской,гражданской,иные виды,
,,,,,,,,,,,,,"пациентов,",,,,,,,,,,,из него,,,,,из него,,,,,,,,,,,Всего,здоровья, обязательного личного,Всего,ответственности,ответственности,ответственности,обязательного,Инвестиционное
№ п/п,Рег №,Наименование,Город,Всего,из них страхование,,страхование жизни,,,Всего,,,участвующих в,,,,,,,,,,,,,,,владельцев средств,,,,,,,,,,страхование,страхование,,военнослужащих и," страхования,",,владельцев,владельца опасного,перевозчика за,имущественного,страхование
,,,,,нерезидентов,Всего,(кроме,страхование жизни,пенсионное,,Всего,от несчастных,клинических,,,,,,,,,,,,,,Всего,наземного транспорта,владельцев,владельцев,,,,,,,за неисполнение или,предпринимательских,финансовых рисков,,приравненных к ним в, предусмотренные,,транспортных средств,объекта за причинение,причинение вреда,"страхования,",жизни
,,,,,,,пенсионного), заемщика,страхование,,,случаев и болезней,исследованиях,работников,медицинское,Всего,,средств наземного,,,,,,,,,, (кроме средств,автотранспортных,автотранспортных,владельцев средств,владельцев средств,владельцев средств,"организаций,",за причинение вреда,за причинение вреда,ненадлежащее,рисков,,,обязательном, федеральными,,,вреда в результате," жизни, здоровью,",предусмотренные,
,,,,,,, страхования)-всего,,,,,,лекарственного,налоговых органов,страхование,,Всего,транспорта,средств,,,,,"страхование,",,,, железнодорожного, средств (кроме, средств (страхования,железнодорожного,воздушного транспорта,водного транспорта,эксплуатирующих,вследствие недостатков,третьим лицам,исполнение,,,,государственном,законами,,,аварии на опасном, имуществу пассажиров,федеральными,
,,,,,,,,,,,,,препарата для,,,,,(кроме средств,железнодорожного,средств воздушного,средств водного,грузов,сельскохозяйственное,осуществляемое с,прочего имущества,прочего имущества,,транспорта)," страхования,", осуществляемого в,транспорта,,,опасные объекты,"товаров, работ, услуг",, обязательств по,,,, страховании лиц,,,, объекте,,законами,
,,,,,,,,,,,,,медицинского,,,,,железнодорожного,транспорта,транспорта,транспорта,,страхование - всего,государственной,юридических лиц,граждан,,, осуществляемого в,рамках международной,,,,,,, договору,,,,,,,,,,,
,,,,,,,,,,,,,применения,,,,,транспорта),,,,,, поддержкой,,,,,рамках международной, системы страхования,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,, системы страхования," ""Зеленая карта"")",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ""Зеленая карта"")",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ИТОГО:,,,,13113531,71228,347238,218387,57084,128851,12118031,11634624,175152,56,33,11459472,483407,350467,261015,2050,133,221,27456,397,56,7247,51948,11550,1753,989,764,37,91,410,46,574,7281,1358,590,120800,15429,15393,36,632833,630251,649,1933,0,125742
1,1675,"""Совкомбанк страхование"" (АО)",Санкт-Петербург,52133,330,0,0,0,0,48232,45560,550,0,0,45010,2672,2640,2451,0,0,14,130,0,0,25,20,10,5,5,0,0,0,0,0,0,5,0,0,22,0,0,0,3901,3899,0,2,0,0
2,3947,"АО ""АИГ""",Москва,91,0,0,0,0,0,91,0,0,0,0,0,91,47,0,0,0,0,44,0,0,3,0,43,0,0,0,0,0,0,0,0,43,0,0,1,0,0,0,0,0,0,0,0,0
3,2239,"АО ""АльфаСтрахование""",Москва,1433163,754,0,0,0,0,1361923,1306062,7186,0,0,1298876,55861,37246,31320,68,10,17,337,6,0,676,4812,1153,445,351,94,0,23,12,1,10,662,0,446,17016,0,0,0,71240,71204,9,27,0,0
4,3064,"АО ""Боровицкое страховое общество""",Москва,1244,41,0,0,0,0,200,166,4,0,0,162,34,29,26,0,0,0,0,0,0,2,1,5,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1044,1044,0,0,0,0
5,1284,"АО ""Группа Ренессанс Страхование""",Москва,219793,2688,0,0,0,0,199609,75537,2754,0,0,72783,124072,35369,22162,0,0,3,11176,0,0,75,1953,144,45,45,0,0,0,0,0,7,92,0,0,88559,0,0,0,20184,20175,0,9,0,0
6,3211,"АО ""ГСК ""Югория""",Ханты-Мансийск,40962,124,0,0,0,0,15926,9153,1988,0,0,7165,6773,6729,6374,0,5,0,10,7,0,161,172,43,0,0,0,0,1,0,0,0,40,2,0,1,0,0,0,25036,25023,0,13,0,0
7,1820,"АО ""ГУТА-Страхование""",Москва,68,0,0,0,0,0,67,64,0,0,0,64,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
