"Сведения о страховых премиях по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 07.02.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-декабрь 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,,
ИТОГО:,,140178044.68578997,323702.89444,0,1623356.8630600001,1210611.6820000005,-20151.53046,0,412745.1810599999,103391786.34078999,79839402.44308996,5465294.424059997,82191.32953,5768665.1975,2546017.95994,4935125.151129997,4928760.117090002,4113842.7040700004,55852604.34136998,260743.92247000005,11190074.988409994,171283.47525000002,44189.606459999995,102013.33784,42489.936649999996,1799064.4879700004,1723648.4460899998,736717.4005399998,896901.7648899998,5785023.7316200035,34945.7454,8943284.95579,3419023.9534999994,0,31028889.050849997,2166822.1845199997,1643487.3521300002,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",6686584.67385,0,0,9723.120529999998,9729.99085,0,0,-6.87032,3805998.9838699996,3177256.86588,8524.68631,275.92138,82577.31153,123619.58498,39188.644680000005,875253.18726,868380.1044099999,2048039.4446599998,-221.91492,496258.37627999997,5335.67533,-836.98734,6172.662670000001,0,69685.08013,134572.28015,63567.71703,96882.42237999999,126215.20126,0,112153.74775,20329.99396,,2555693.7785,224057.85743,91110.93352,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",12784.07112,0,0,1973.10432,1423.99308,0,0,549.11124,3642.31481,3596.48623,2684.40959,0,0,0,0,0,0,657.77434,254.30229999999997,45.82858,8.93422,0,0,0,0,0,0,0,36.89436,0,0,0,,7168.65199,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",1388132.7970800002,0,0,0,0,0,0,0,1218.8604599999999,1218.8604599999999,1016.2161199999999,0,0,0,0,0,0,0,202.64434,0,0,0,0,0,0,0,0,0,0,0,0,0,,1386913.93662,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",46912.87057,0,0,1981.76775,1981.76775,0,0,0,44931.10282,35352.06639,5586.09225,0,8010.458030000001,0,599.27217,0,0,15935.67353,5220.570409999999,9579.03643,0,0,0,0,8718.35235,0,0,60,800.68408,0,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",1295967.57448,0,0,1510.00396,1510.00396,0,0,0,1294457.57052,773410.3017600001,0,0,0,0,192348.09855,0,0,581062.20321,0,240717.52441,2442.30473,2442.30473,0,0,0,0,0,64245.619860000006,174029.59981999997,0,185868.78960000002,94460.95475,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",595066.36884,0,0,1873.3292399999998,1873.3292399999998,0,0,0,593193.0396,593115.1456500001,4160.301890000001,0,0,0,4908.67632,1937.85755,0,580843.1147700001,1265.19512,77.89395,0,0,0,0,0,0,0,0,77.89395,0,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",1831815.48731,0,0,74680.87756,47881.36999000001,0,0,26799.507569999998,1750591.66906,497385.22631,8729.85549,3967.483,-439.39906,9680.645999999999,141220.46381000002,0,0,327499.07052999997,6727.106540000001,88258.54444,12951.960720000001,12951.960720000001,0,0,-29657.066319999998,0,0,12655.20592,92308.44412,0,118280.35914,1046667.53917,,0,4381.44772,2161.49297,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",-879845.4613000001,0,0,-3002.55665,-3002.55665,0,0,0,-876842.90465,-391095.071,22.14121,0,-391709.95078,0,177.98375,0,0,129.20084,285.55397999999997,-485770.39522,-0.45737,0,0,0,-485779.20925,0,0,0,9.271400000000002,0,0,22.56157,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",113401.92301,0,0,0,0,0,0,0,52551.463169999995,52563.78366,9375.776670000001,0,0,0,5270.22129,0,0,37910.10147,7.68423,-12.32049,0,0,0,0,0,0,0,0,0,-12.32049,0,0,,60850.459839999996,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",11833.24086,0,0,0,0,0,0,0,11833.24086,9092.9092,0,0,0,-2917.72417,2580.93932,0,0,9429.69405,0,2740.33166,0,0,0,0,0,131.45551,0,0,2608.87615,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",196534.78588,0,0,27.66171,27.66171,0,0,0,116495.44785000001,30945.6205,3391.7751599999997,0,0,0,4918.23897,0,0,22168.791110000002,466.81526,85483.15762999999,0,0,0,0,0,0,0,0,85483.15762999999,0,0,66.66972,,63692.285579999996,16319.390739999999,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",61451.37196,0,0,3405.78081,3405.78081,0,0,0,31591.961779999998,31483.73931,15564.90129,0,0,25.01419,1957.48039,18.07929,0,7210.9931,6707.27105,108.22247,0,0,0,0,0,0,0,0,108.22247,0,0,0,,26453.629370000002,0,0,0
0621,"Страховое акционерное общество ""ВСК""",8104335.327330001,0,0,96533.26282,69036.03721000001,0,0,27497.22561,3284977.30426,2644934.0659700003,13219.92152,4195.99289,526887.71406,229748.63223,251932.16421,364132.20588,318347.16784,1244916.4058700001,9901.02931,559636.21429,14053.85419,4470.4438,9583.41039,42489.936649999996,37891.186310000005,53495.81187,43084.02256,35488.69669,333132.70602,0,15294.72543,65112.29856999999,,4309256.195,256272.61001,157295.95524,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",228069.14126,0,0,35.6883,35.6883,0,0,0,54908.9454,54769.09657,8915.623529999999,0,0,191.84708,34902.08458,0,0,10464.12983,295.41155000000003,139.84883000000002,0,0,0,0,0,0,0,0,139.84883000000002,0,0,0,,107928.84254000001,34146.636139999995,31049.02888,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",20331.901019999998,0,0,15357.42211,15357.42211,0,0,0,4974.47891,4845.032380000001,0.07491,0,0,0,2444.4497100000003,0,0,2400.50776,0,129.43615,0,0,0,0,0,0,4.585,109.98962,14.86153,0,0,0.01038,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",230189.86377999999,0,0,970.6109200000001,970.6109200000001,0,0,0,174999.51817999998,153104.37329999998,14011.815349999999,7.680000000000001,395,3069.5618,49266.411349999995,0,0,76563.17801,9790.72679,21333.242599999998,0,0,0,0,69.50776,421.96119999999996,3936.02453,31.6096,16874.13951,0,-162.55316,724.45544,,37605.68403,10650.81711,5963.23354,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",25690207.027289998,0,0,461738.32283,3124.32216,0,0,458614.00067,16898876.9426,12267197.63469,223295.12928,0,484652.59995,658906.84619,1030689.7898100001,8029.032730000001,8029.032730000001,9861624.23673,0,3641780.18038,3466.8707799999997,0,0,0,995862.05152,1135864.58574,0,0,1506586.67234,0,0,989899.1275299999,,7596009.41373,347457.6962,386124.65193000005,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",365020.06773,0,0,9784.52388,5408.793369999999,0,0,4375.73051,116377.88401000001,85848.32305,11337.84528,177.60198,0,0,13954.17627,2246.01812,0,48075.215970000005,10057.46543,20709.50071,8527.28244,161.94819999999999,8365.33424,0,0,0,3882.4761200000003,480.82324,7340.08109,478.83782,1.40799,9818.65226,,193595.03665,22237.15336,23025.46983,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",245381.45522,0,0,20459.51583,20459.51583,0,0,0,224921.93939,173962.49388000002,123844.73919,0,6780.93026,0,5103.2795399999995,0,0,36330.591490000006,1902.9533999999999,48898.93256,0,0,0,0,47804.92378999999,0,0,83.46886,1010.5399100000001,0,0,2060.5129500000003,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",46421847.24239001,0,0,23443.93689,11695.234470000001,-19691.60252,0,11748.702420000001,41772943.27073,35969140.36319,4110281.6923299995,5037.81405,3481171.62318,725438.6338000001,96198.95417,17770.045430000002,14472.47135,27475421.74697,57819.85326,2456161.3566699997,6837.12549,0,0,0,404817.86887999997,173586.86424000002,420265.51141,312914.96233999997,1137072.28728,666.73703,3327010.2244700002,20631.326399999998,,3493887.96412,666965.31491,464606.75574,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",3247302.86653,0,0,-570804.45094,-16747.86284,38.4318,0,-554056.5881,1950849.23458,1394812.8223199998,36367.92948,991.53629,229.37668,0,230998.66478000002,5770.89287,0,1120454.42222,0,322226.27106,38645.58405,8867.34664,29778.237409999998,0,0,0,67600.91881,161308.00499,36435.72004,18236.043169999997,173744.58742,60065.55378,,1675483.96334,144510.51781999998,47263.601729999995,0
1216,"Акционерное общество Страховая компания ""Чулпан""",83213.67784,0,0,30.834139999999998,30.834139999999998,0,0,0,12409.69965,12344.65551,9220.239339999998,0,0,0,0,0,0,1890.66247,1233.7537,65.04414,0,0,0,0,0,0,0,0,0.04414,65,0,0,,34500.33464,17054.58499,19218.22442,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",2481938.90978,0,0,411787.10991,349001.08052,0,0,62786.02939,304091.91312000004,423685.54195000004,38721.515439999996,0,0,14257.825289999999,36149.60115,0,0,292642.17707,41914.423,34966.02423,-1441.38042,-1441.38042,0,0,0,0,0,7857.603349999999,28549.8013,0,0,-154559.65305999998,,1707845.98828,19668.78687,38545.1116,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",2325421.6903399997,0,0,18284.52356,12438.671429999999,0,0,5845.85213,1234286.3673899998,887281.2121199999,12254.91735,10754.98559,10849.18008,45938.26736,81363.84730000001,93376.51442,0,632561.46701,182.03301,91934.55690000001,13793.6639,0,0,0,1295.80742,31727.40701,26772.73792,14102.306929999999,4220.26013,22.37359,254384.16767999998,686.43069,,964730.5075599999,63875.6909,44244.60093,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",46323.91638,0,0,0,0,0,0,0,46323.91638,46323.91638,122.48249999999999,0,0,0,45410.68928,0,0,718.50443,72.24017,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",1355.8986,0,0,0,0,0,0,0,1355.8986,1328.26778,0,0,0,0,0,0,0,1328.26778,0,27.63082,0,0,0,0,0,0,0,0,27.63082,0,0,0,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",771991.57604,0,0,8982.91431,8982.91431,0,0,0,68958.00848,57701.76698,0,20951.902230000003,0,0,81.50929,0,0,31303.60489,5364.75057,9922.48592,0,0,0,0,0,0,9831.34592,0,91.14,0,0,1333.75558,,637237.72246,9610.621070000001,47202.309720000005,0
1580,Общество с ограниченной ответственностью «РБ Страхование»,224.13516,0,0,3.70351,3.70351,0,0,0,220.43165000000002,226.03148000000002,0,0,0,0,0,0,0,0,226.03148000000002,0,0,0,0,0,0,0,0,0,0,0,0,-5.59983,,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",6431.2471399999995,0,0,0,0,0,0,0,2900.85734,2884.78778,1664.0195099999999,0,312.63425,0,0,0,0,676.1033,232.03072,16.06956,0,0,0,0,12.34589,0,0,2.28767,1.436,0,0,0,,3530.3898,0,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",37.824999999999996,0,0,37.824999999999996,0,0,0,37.824999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",979591.1338800001,0,0,19722.38788,6280.95765,0,0,13441.43023,182616.90038,175314.70682,19208.56696,50.511100000000006,0,2015.59356,14743.32636,0,0,123681.82684,15614.882,8305.164859999999,0,0,0,0,0,664.12744,2290.71887,1017.9337799999998,4302.44554,29.939230000000002,367.60299000000003,-1370.57429,,771904.4106000001,2740.91614,2606.51888,0
1820,"Акционерное общество ""ГУТА-Страхование""",27975.18963,0,0,59.62395,59.62395,0,0,0,27915.56568,27868.9987,2334.80553,0,0,236.65374,1159.52099,0,0,24138.01844,0,46.56698,0,0,0,0,0,46.56698,0,0,0,0,0,0,,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",888294.2134599999,0,0,43767.89889,43767.89889,0,0,0,506066.53536,482041.65472,140818.53209,0,3280.5078399999998,0,79889.43938,3124.75259,1520.98628,230312.76409,24615.65873,22670.73736,5261.94537,5261.94537,0,0,0,0,10807.13971,0,6601.652279999999,0,0,1354.14328,,197760.06865,66071.56465,74628.14591,0
1858,"Акционерное общество Страховая компания ""Армеец""",-226898.93733,0,0,368.58847000000003,368.58847000000003,0,0,0,2449.94217,1718.88032,137.51927,0,0,0,-28.91186,0,0,1086.89689,523.37602,731.06185,0,0,0,0,0,0,0,0,731.06185,0,0,0,,-229717.46797,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",108972.74765,0,0,2159.76169,2159.76169,0,0,0,55518.62054,33986.649769999996,8280.10774,0,0,0,18710.8706,0,0,6931.93779,63.733639999999994,20885.99088,16059.620899999998,494.49863999999997,15565.12226,0,0,0,0,1337.16817,3489.20181,0,0,645.97989,,51294.36542,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",20854.171070000004,0,0,564.44812,564.44812,0,0,0,20289.722950000003,19508.59541,11646.87649,0,0,0,617.16027,0,0,5753.98029,1490.57836,560.48745,0,0,0,0,0,0,0,151.69647,408.79098000000005,0,0,220.64009000000001,,0,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",11920.10788,0,0,1342.94582,1342.94582,0,0,0,10577.162059999999,10577.162059999999,295.73256,0,0,0,0,361.67294,0,9106.91295,812.84361,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",632.66738,0,0,0,0,0,0,0,632.66738,632.66738,-6.25,0,0,0,540.9571100000001,0,0,97.96027000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",12750440.8457,0,0,61381.80222,149890.48058,0,0,-88508.67836,10166041.91556,7468137.600740001,131140.65694000002,9498.706699999999,891384.38404,226155.75665,326436.95629,367092.41690999997,328064.73683,5496508.04981,19920.6734,1852246.04277,47083.65331,8157.87622,38925.777089999996,0,622035.4988899999,94188.9785,47044.82565,62960.20832,977692.1669,1240.7112,772410.31188,73247.96017,,2189895.15094,194678.79914,138443.17784000002,0
2346,"Акционерное общество ""Объединенная страховая компания""",167794.89764999997,0,0,24836.85001,774.6712799999999,0,0,24062.17873,21510.69709,19674.84926,3376.82212,0,0,2610.6711,143.45453999999998,0,0,10374.0422,3169.8593,1835.8478300000002,1494.95933,0,0,0,0,94,0,189.1285,57.76,0,0,0,,121452.08626,-4.65887,-0.07684,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",638304.8767799999,0,0,32206.04571,32206.04571,0,0,0,404317.11046,329608.88263999997,19181.16848,0,0,47895.009450000005,6060.5352,34185.46484,33976.53843,212220.789,10065.91567,70004.22874,71.95371,71.95371,0,0,0,23554.58923,0,27025.16834,19352.517460000003,0,4703.99908,0,,187977.04637999999,5461.3762,8343.29803,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",463844.44782999996,0,0,178.27499999999998,178.27499999999998,0,0,0,33792.47133,33537.87076,1137.9573,0,0,567.8499999999999,2849.69919,0,0,23799.08601,5183.27826,254.60057000000003,0,0,0,0,0,0,0,0,254.60057000000003,0,0,0,,429873.70149999997,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",2005.39757,0,0,52.88346,52.88346,0,0,0,1952.51411,1404.19957,1404.19957,0,0,0,0,0,0,0,0,546.4635599999999,546.4635599999999,546.4635599999999,0,0,0,0,0,0,0,0,0,1.8509799999999998,,0,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",-16.579549999999998,0,0,0,0,0,0,0,-16.579549999999998,-26.63532,0,0,0,0,0,0,0,-26.63532,0,10.05577,0,0,0,0,0,0,10.05577,0,0,0,0,0,,0,0,0,0
