"Сведения о страховых премиях по договорам исходящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 07.08.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-июнь 2024 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего*,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,вссего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,
ИТОГО:,,87000387.61555,419472.61217,237606.73444000003,185407.6061,8319.49617,138427.43321000002,38642.150389999995,18.526329999999998,0,52199.12834,846.7924,12492.55075,21107.22684,17516.80688,235.75147,181865.87773,74479.10970999999,45854.50371999999,0,28624.60599,0,0,107386.76802000003,1307.74903,0,105624.50961000002,28.121470000000002,426.38791,0,0,0,654582.60118,478364.42509,0,0,176218.17609,65942508.96199,50906672.46622997,2630111.2022100003,122879.47042000001,3112290.6021100013,2349454.03372,4490970.166219999,2403145.58646,1926340.4543599999,34209646.06032,1588175.34477,6778549.01122,16710.42022,11316.854949999999,0,0,1118107.2654300001,1606088.7566200001,442279.52579000004,566791.5102700001,2992083.51327,36488.01962000001,6681654.578849998,1575632.9056900004,0,17752900.860349998,1433038.5795999996,797884.0002599998
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",1848260.60027,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,1739.91366,1739.91366,,,0,1220878.26724,902252.72435,2100.22649,640.8654,5442.44166,24381.82043,23954.04741,4347.33132,3891.08904,833420.01145,7965.98019,312011.80358,0,0,,0,1644.96564,171204.87672,3062.84663,8731.29068,127367.82391,0,6613.73931,0,,404404.84011,176626.13368,44611.44558
0141,"Страховое Акционерное Общество ""Медэкспресс""",5005.48056,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,1123.59715,827.54233,,,296.05482,1542.18849,1520.70028,969.14091,0,0,0,0,0,0,399.72354,151.83583,21.48821,0,0,,0,0,0,0,0,21.48821,0,0,0,,2339.69492,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",941914.39598,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,941914.39598,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",32492.020379999998,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,1312.08084,1312.08084,,,0,31179.93954,30795.44637,11722.48747,0,0,0,125.02901,0,0,15482.74025,3465.18964,384.49317,86.6,0,,0,0,0,0,0,297.89317,0,0,0,,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",141643.90921,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,141643.90921,94386.58787,0,0,0,0,34278.65117,0,0,60107.9367,0,17147.64242,0,0,,0,0,0,0,8025.86217,9121.78025,0,23001.45748,7108.22144,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",489697.28213999997,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,2431.51852,2431.51852,,,0,487265.76362,487265.76362,0,0,0,0,23.33148,0,0,487242.43214,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",358556.23712,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,1169.73285,1169.73285,,,0,341411.89043,151212.19244,1400.1292,1266.40348,0,0,50032.93323,0,0,95684.51594,2828.21059,22327.97746,1.65,1.65,,0,0,0,26.60523,0,22250.89488,48.82735,8494.18381,159377.53672,,12830.7294,2551.7269,592.15754
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",76065.19146999999,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,36722.02416,36694.9885,0,0,0,251.19388,2515.39636,0,0,33919.15156,9.2467,27.03566,0,0,,0,0,0,0,0,27.03566,0,0,0,,39343.16731,0,0
