"Сведения о страховых премиях по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 17.05.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-март 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,Всего,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,,
ИТОГО:,,23378988.82618,0,0,289416.65042,202057.48823,482.58113,0,87359.16219,22273208.084760003,17636305.99718,471722.31093000004,23458.444450000003,2511170.62645,730629.8215600001,1356753.7095199998,749776.39873,28793.478860000003,11550182.58533,242612.10020999998,3436651.78333,47549.159569999996,1610.41554,2.4139999999999997,2023.97757,1476969.91447,84397.27858999999,25920.28814,226986.03857,1565367.0272699997,7438.09915,513449.74399,686800.56026,0,1978.72351,660773.7679199998,153611.59957,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",790872.20366,0,0,1729.19462,7.115,0,0,1722.07962,707175.11773,617029.39646,0,0,15494.64271,5827.7995,10936.6435,493.41967,0,584250.20877,26.68231,40019.64045,0,0,0,0,7211.62047,0,2528.40522,3548.55686,26731.0579,0,50126.08082,0,,0,64837.58873,17130.30258,0
0212,"Акционерное общество Страховая компания ""Цюрих""",6129.71306,0,0,0,0,0,0,0,6129.71306,1000.46276,0,0,0,0,1000.46276,0,0,0,0,5129.2503,0,0,0,0,0,0,0,0,5129.2503,0,0,0,,0,0,0,0
