"Сведения о доле перестраховщиков в выплатах по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 14.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-декабрь 2021 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,,
ИТОГО:,,43925690.98077,766029.5574899999,0,5722938.16756,1900195.2516399997,0,0,3822742.91592,36160311.33111,30066322.635039993,4504375.674749999,16001.99196,5136732.705919999,928682.77377,4502404.770640001,3571687.5726600005,1835383.89394,11304598.839319998,101838.30602,2937593.78622,23711.59094,7917.982560000001,7123.48724,2739.9829,227328.40239999996,303062.86103,129380.54564,111598.62718000002,2090561.4673999995,49210.308730000004,2321883.21281,834511.6970400001,0,388303.4774,275317.64921,612790.7979999998,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",1375145.63497,0,0,0,0,0,0,0,1297498.4666,1150691.26882,3668.053,0,0,274588.24232,0,463136.4423,463136.4423,401036.41887,8262.11233,145804.26261,6765.37755,0,6765.37755,0,0,112544.58663,0,26182.97135,311.32708,0,1002.93517,0,,0,17856.77116,59790.39721,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",13645.71966,0,0,4077.08006,4077.08006,0,0,0,9568.6396,9517.70627,9090.46949,0,0,0,237.12,0,0,82.82046,107.29632,50.93333,0,0,0,0,0,0,0,0,50.93333,0,0,0,,0,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",7462.2113,0,0,0,0,0,0,0,7462.2113,7462.2113,0,0,0,0,0,0,0,0,7462.2113,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",1406.18608,0,0,77.725,77.725,0,0,0,1328.46108,1328.46108,461.44509,0,0,0,0,0,0,81.04251,785.97348,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Цюрих""",219317.20685,0,0,631.67804,631.67804,0,0,0,218685.52881,109634.73728,0,0,0,0,17152.37069,0,0,92482.36659,0,83009.23349,0,0,0,0,0,0,0,76191.88167,6817.35182,0,26041.55804,0,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",62134.52646,0,0,0,0,0,0,0,62134.52646,62134.52646,0,0,0,0,14098.46696,0,0,48036.0595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",1362337.25209,0,0,31191.2906,23082.05564,0,0,8109.23496,1331086.86311,1116139.12121,11452.07634,0,941633.16001,63.88729,37217.75835,0,0,125772.23922,0,12327.84019,0,0,0,0,11119.89571,0,0,0,1207.94448,0,19942.57913,182677.32258,,0,0,59.09838,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",145466.57734,0,0,0,0,0,0,0,145466.57734,145466.57734,70.26124,0,145005.8526,0,152.61139,0,0,0,237.85211,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",395.82874,0,0,395.82874,395.82874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",3279.88115,0,0,795.75298,795.75298,0,0,0,2484.12817,2484.12817,108.7225,0,0,0,0,0,0,2159.90567,215.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",14226.005790000001,0,0,5697.94454,5697.94454,0,0,0,8187.76507,8187.76507,6118.26119,0,0,0,0,0,0,1649.65148,419.8524,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,340.29618,0
0621,"Страховое акционерное общество ""ВСК""",1165608.48438,0,0,366.4372,0,0,0,366.4372,1066620.37903,809182.1949,0,0,517213.54214,30225.67492,0,82929.2259,12841.10101,157785.48555,21028.26639,228574.2468,0,0,0,0,0,0,129380.54564,0,99193.70116,0,0,28863.93733,,0,2568.995,96052.67315,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",654960.59275,0,0,9080.44911,9080.44911,0,0,0,422777.4064,422777.4064,418073.12167,0,0,0,37.69627,0,0,791.85348,3874.73498,0,0,0,0,0,0,0,0,0,0,0,0,0,,213109.47749,9.97159,9983.28816,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",7704.94221,0,0,7704.94221,7704.94221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",4299.38257,0,0,124,124,0,0,0,3138.59586,3138.59586,154.87418,0,0,0,2021.0091,0,0,790.57786,172.13472,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1036.78671,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",7444089.69003,0,0,364809.06532,37.865,0,0,364771.20032,6863550.53763,4682167.29996,228421.82871,0,595765.67317,272918.32198,54102.69157,0,0,3530958.78453,0,2048914.20188,1919.99589,0,0,0,11741.12393,185590.1904,0,0,1849662.89166,0,0,132469.03579,,0,100794.1841,114935.90298,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",115696.29628000001,0,0,77549.32665,0,0,0,77549.32665,28680.62686,25329.09129,3844.07003,0,0,0,0,0,0,21485.02126,0,2800.29015,2424.00187,2424.00187,0,0,0,0,0,0,376.28828,0,0,551.24542,,0,982.17491,8484.16786,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",100028.62279,0,0,815.11639,815.11639,0,0,0,99213.5064,99147.50543,56179.96404,0,4671.99283,0,0,0,0,38259.79717,35.75139,66.00097,0,0,0,0,0,0,0,0,66.00097,0,0,0,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",7554877.942059999,0,0,8417.62661,0,0,0,8417.62661,7283032.64906,6001725.32807,2405543.69328,16320.85421,1243564.00241,98376.16947,33930.37582,170429.16618,0,2029355.04589,4206.02081,25813.80978,4787.59704,0,0,0,11713.23171,0,0,0,9312.98103,0,1254685.06828,808.44293,,18029.43736,117912.60912,127485.61991,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",1873681.1121700003,0,0,1487465.78261,139780.03496,0,0,1347685.74765,371816.24842,227581.70665,71759.54325,0,0,0,74580.52358,0,0,81181.89622,59.7436,16856.5324,1707.67399,1707.67399,0,0,0,4928.084,0,125.87406,1443.50741,8651.39294,126696.02645,681.98292,,0,750.12229,13648.95885,0
1216,"Акционерное общество Страховая компания ""Чулпан""",185817.53264000002,0,0,0,0,0,0,0,178297.24452,178297.24452,537.51088,0,0,0,0,0,0,176916.70072,843.03292,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,7520.28812,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",561971.25272,0,0,178691.21565,130206.11688,0,0,48485.09877,366883.47178,208914.09339,161953.73418,0,0,0,0,0,0,46850.63573,109.72348,1878.21243,1419.44682,1419.44682,0,0,0,0,0,0,458.76561,0,0,156091.16596,,0,0,16396.56529,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1022516.2706200001,0,0,10574.87636,10574.87636,0,0,0,979291.33319,947781.72549,682803.43409,0,0,0,0,145703.38279,0,119274.90861,0,2739.9829,0,0,0,2739.9829,0,0,0,0,0,0,28769.6248,0,,0,4448.25714,28201.80393,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",20210.62371,0,0,0,0,0,0,0,20210.62371,20210.62371,40.70794,0,0,0,20169.91577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",241.89082,0,0,241.89082,241.89082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",51644.85221,0,0,7498.75638,7498.75638,0,0,0,10382.76327,8127.1879,8127.1879,0,0,0,0,0,0,0,0,2255.57537,2255.57537,2255.57537,0,0,0,0,0,0,0,0,0,0,,0,0,33763.33256,0
1580,"Общество с ограниченной ответственностью ""СОСЬЕТЕ ЖЕНЕРАЛЬ Страхование""",472.29677,0,0,177.67552,130.04888,0,0,47.62664,294.62125,272.98514,239.58935,0,0,0,0,0,0,0,33.39579,0,0,0,0,0,0,0,0,0,0,0,0,21.63611,,0,0,0,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",245116.57401,0,0,238618.4946,0,0,0,238618.4946,6498.07941,6498.07941,0,0,0,0,0,0,0,6498.07941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",65175.99325,0,0,0,0,0,0,0,64897.19757,56172.6094,2.96559,0,0,13092.37456,30548.57776,0,0,6308.72612,6219.96537,0,0,0,0,0,0,0,0,0,0,0,0,8724.58817,,0,0,278.79568,0
1820,"Акционерное общество ""ГУТА-Страхование""",697.92198,0,0,0,0,0,0,0,697.92198,0,0,0,0,0,0,0,0,0,0,697.92198,0,0,0,0,0,0,0,394.60768,303.3143,0,0,0,,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",294406.05789,0,0,26854.94067,26854.94067,0,0,0,225303.79077,225278.15761,93311.81116,0,0,0,21144.68336,358.29136,0,106143.7313,4319.64043,25.63316,0,0,0,0,0,0,0,0,25.63316,0,0,0,,0,1975.13523,40272.19122,0
1858,"Акционерное общество Страховая компания ""Армеец""",159172.53687,0,0,25,25,0,0,0,1982.97432,20.36556,20.36556,0,0,0,0,0,0,0,0,1962.60876,0,0,0,0,0,0,0,0,1962.60876,0,0,0,,157164.56255,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",2663.04468,0,0,0,0,0,0,0,2663.04468,2304.93499,2277.01038,0,0,0,27.92461,0,0,0,0,358.10969,358.10969,0,358.10969,0,0,0,0,0,0,0,0,0,,0,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",51728.75011,0,0,4287.60258,4287.60258,0,0,0,47441.14753,47441.14753,42357.67725,0,0,0,0,0,0,5083.47028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",127.47068,0,0,0,0,0,0,0,127.47068,127.47068,0,0,0,0,0,0,0,127.47068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",74.23477,0,0,0,0,0,0,0,74.23477,74.23477,74.23477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",4358848.9183600005,0,0,135257.75474,108807.11953,0,0,26450.63521,4178126.18572,3822004.5194,93616.83821,0,1260705.06669,194544.02326,11994.6913,75965.96501,74801.36695,2178265.74896,6912.18597,50804.58973,0,0,0,0,18894.7049,0,0,834.59968,31075.28515,0,29726.07656,275591.00003,,0,24511.36173,20953.61617,0
2346,"Акционерное общество ""Объединенная страховая компания""",26531.76386,0,0,0,0,0,0,0,25029.40888,25029.40888,0,0,0,25005.37,0,0,0,24.03888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1502.35498,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",153368.92094,0,0,543.19843,543.19843,0,0,0,151431.83608,151424.59384,12368.02642,0,0,16982.18141,0,10341.49474,10341.49474,104012.38111,7720.51016,7.24224,0,0,0,0,0,0,0,7.24224,0,0,0,0,,0,0,1393.88643,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",7333.0042,0,0,0,0,0,0,0,7333.0042,5573.7546,4384.87798,0,0,0,193.1256,0,0,373.866,621.88502,1759.2496,0,0,0,0,0,0,0,0,1759.2496,0,0,0,,0,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",3188.39669,0,0,12.6673,0,0,0,12.6673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1473.75765,1701.97174,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",25092.95624,0,0,4041.7792,4041.7792,0,0,0,21051.17704,21051.17704,16525.39649,0,0,0,0,0,0,4525.78055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",37997.6848,0,0,0,0,0,0,0,37997.6848,16659.23491,0,0,16659.23491,0,0,0,0,0,0,21338.44989,0,0,0,0,19693.18166,0,0,0,1645.26823,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",3927930.37318,0,0,695655.24369,695655.24369,0,0,0,3232275.12949,3228761.44679,33033.02709,0,0,0,0,2492829.2315,1274263.48894,702874.57014,24.61806,3513.6827,127.92042,0,0,0,0,0,0,1459.6,1926.16228,0,0,0,,0,0,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",79.0136,0,0,0,0,0,0,0,79.0136,79.0136,0,0,0,0,79.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
