"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников (по договорам страхования, заключенным путем обмена информацией в электронной форме), тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 07.08.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-июнь 2024 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего*,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,,,,,,,,,,,,,,
ИТОГО:,,158947751.01118997,81755411.4665,80762447.22700001,72541003.75378999,33647204.93552,6202507.96091,32691286.42664,3.34288,1.08784,8221443.47321,230,2881754.63489,5323762.47913,15696.35919,0,992964.2394999999,753003.12125,752153.12125,0,850,0,0,239961.11825,157403.487,0,82557.63124999999,0,0,0,0,0,6627709.073609999,5867135.855269999,0,0,760573.2183399999,18219900.788140003,16171114.09728,7147496.472,117.6235,6079.4387,7176,143845.95557000002,0,0,615991.44447,8250407.16304,500120.28895,12918.62657,0,53.07,914.59829,3,6633.96573,477705.46352,1891.56484,106629.23419,1442037.16772,0,52326437.77131,5931.5692500000005,12360.34238,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",4669752.88174,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,53812.13207,39100.079,,,14712.05307,91684.22569,88762.78567,50556.4282,0,0,0,0,,,0,38206.35747,1422.22908,0,,0,0,0,0,1422.22908,0,0,1499.21094,,4524256.52398,0,0,
0141,"Страховое Акционерное Общество ""Медэкспресс""",470.23901,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,470.23901,0,0,
0191,"Акционерное общество ""Тинькофф Страхование""",5177986.73262,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,62740.10729,62740.10729,,,0,117834.11516,48107.31478,9258.11801,0,0,0,0,,,0,38849.19677,15.207,0,,0,0,0,0,15.207,0,0,69711.59338,,4997412.51017,0,0,
0290,"Акционерное общество ""Зетта Страхование""",672595.1462399999,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,41316.74376,33431.55503,,,7885.18873,350519.18522,324827.18587,266570.78309,32.201,0,0,5948.3427,,,19805.0502,32470.80888,19953.88679,662.87857,,0,0,0,461.76936,16987.67402,1841.56484,347.37936,5390.7332,,276337.27872,2830.6644,1591.27414,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",55.40817,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,0,0,,,0,55.40817,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,55.40817,,0,0,0,
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",427558.92079,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,427558.92079,0,0,
0621,"Страховое акционерное общество ""ВСК""",9798437.65519,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,70061.3038,69597.3458,,,463.958,40006.52429,39849.62742,10746.38285,0,0,0,0,,,0,29103.24457,136.33921,38.45,,0,0,3,0,94.88921,0,0,20.55766,,9688335.9071,33.92,0,
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",320257.68153,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,165694.46647,165492.06647,,,202.4,104423.71395,96978.54187,0,0,0,0,0,,,0,96978.54187,107.87,0,,0,0,0,0,107.87,0,0,7337.30208,,50139.50111,0,0,
0928,"Страховое публичное акционерное общество ""Ингосстрах""",14971717.13021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,71373.13734,15777.57135,,,55595.56599,5302496.88258,5266930.26219,4494789.86249,20.4225,0,0,136971.20684,,,25112.22932,610036.54104,29418.99861,4635.60018,,53.07,18.7,0,4058.34153,20603.2869,50,0,6147.62178,,9584011.0572,3066.98485,10769.06824,
1208,"Акционерное общество ""Страховое общество газовой промышленности""",1282580.2798000001,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,0,0,,0,,,,,,753005.84163,734019.44163,,,18986.4,292443.88405,284363.36904,68821.68133,0,0,0,19.65599,,,0,215522.03172,1192.14056,0,,0,0,0,0,1192.14056,0,0,6888.37445,,237130.55412,0,0,
