"Сведения о страховых выплатах по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 15.02.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-декабрь 2023 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего*,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,Всего,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,
ИТОГО:,,57428502.40616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445525.28787,1262103.4543599999,0,0,183421.83351,21047955.80797,19435983.631139997,3692074.02869,18874.02502,2947686.78692,534084.21514,1615357.57532,2470230.62852,846633.8539,8100661.359950001,57015.01158,290473.87869000004,10125.32937,9442.635470000001,507.5598,324.39796,60095.90553,2154.63067,5267.65838,57218.22069,149296.34379000004,5991.3922999999995,582210.14073,739288.15741,0,34077118.61078,214175.26846000002,643727.43108
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",3203752.7034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,405063.11555,311281.25134,0,408.235,15208.46693,1358.97926,169.2721,0,0,294136.29805,0,4937.32016,0,0,0,0,3.88695,0,220.42735,0,4713.00586,0,88844.54405,0,,2701784.24303,25416.61933,71488.72549
0141,"Страховое Акционерное Общество ""Медэкспресс""",4756.44761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4756.44761,0,0
