"Сведения о страховых премиях по договорам, переданным в перестрахование",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
7,3867,  АК БАРС СТРАХОВАНИЕ,Казань,31886,0,0,0,0,31886,2178,2178,0,0,0,29708,28193,8107,0,5809,777,360,254,0,8083,4803,1515,0,0,0,0,1028,0,0,240,247,0,0,0,0,0,0,0,0,0,0,0
8,3943,  АК БАРС-МЕД,Казань,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3572,  АКЦЕПТ,Люберцы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3859,  АЛЛЕГА,Симферополь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2239,  АЛЬФАСТРАХОВАНИЕ,Москва,5821612,0,0,0,0,5692473,193159,144609,0,0,48550,5499314,3662581,148254,7604,931217,58969,134871,77742,44897,2285449,18475,1127615,52356,0,52356,0,504540,19133,15948,11298,524337,3,620846,88272,0,0,0,129139,0,18056,111083,0
12,193,  АЛЬФАСТРАХОВАНИЕ - ОМС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3447,  АЛЬФАСТРАХОВАНИЕ-ЖИЗНЬ,Москва,20882,12197,12197,0,0,8685,8685,1837,0,0,6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,290,  АЛЬЯНС,Москва,2478030,0,0,0,0,2467197,124139,90582,0,0,33557,2343058,1157565,5118,3021,123110,11451,343205,-3,0,657765,13898,704746,3502,0,0,0,79335,307,87581,0,523534,10487,136718,344029,0,0,0,10833,0,2162,8671,0
15,3828,  АЛЬЯНС ЖИЗНЬ,Москва,617348,28174,28174,7216,0,589174,589174,7138,0,0,582036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2699,  АЛЬЯНС-МЕД,Сызрань,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,436,  АМТ СТРАХОВАНИЕ,Москва,30140,0,0,0,0,30140,0,0,0,0,0,30140,9614,0,0,0,9614,0,0,0,0,0,20526,0,0,0,0,0,20526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,66,  АНГАРА,Братск,6649,0,0,0,0,6649,22,22,0,0,0,6627,6626,4960,0,0,0,0,0,0,1249,417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,2982,  АНДРОМЕДА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1858,  АРМЕЕЦ,Москва,4321,0,0,0,0,4321,21,21,0,0,0,4300,3825,1345,0,3,23,0,0,0,1204,1250,473,0,0,0,0,43,0,0,409,21,0,0,2,0,0,0,0,0,0,0,0
21,4324,  АРСЕНАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3193,  АРСЕНАЛЪ,Москва,332935,0,0,0,0,332935,253548,253548,0,0,0,79387,61666,0,0,39259,3452,11224,0,0,7731,0,17718,0,0,0,0,56,10357,0,0,1267,6038,0,3,0,0,0,0,0,0,0,0
23,2489,  АСКО,Набережные Челны,27785,0,0,0,0,8513,121,121,0,0,0,8392,7370,4973,0,310,640,366,0,0,626,455,1000,0,0,0,0,0,168,0,546,286,0,0,22,0,0,0,19272,0,2188,17084,0
24,3999,  АСКО-ЖИЗНЬ,Набережные Челны,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,278,  АСКОМЕД,Самара,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3767,  АСКОР,Москва,568,0,0,0,0,568,0,0,0,0,0,568,568,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2144,  АСКО-ЦЕНТР,Курск,6570,0,0,0,0,6570,0,0,0,0,0,6570,6558,679,0,0,0,0,22,0,5410,447,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
28,1372,  АСТРАМЕД-МС,Екатеринбург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,758,  АСТРА-МЕТАЛЛ,Магнитогорск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2619,  АСТРО-ВОЛГА,Самара,10292,0,0,0,0,10292,0,0,0,0,0,10292,9778,5652,0,0,688,2187,0,0,1126,125,514,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0
31,2684,  АСТРО-ВОЛГА-МЕД,Самара,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4334,  АТРАДИУС РУС КРЕДИТНОЕ СТРАХОВАНИЕ,Москва,587373,0,0,0,0,587373,0,0,0,0,0,587373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587373,0,0,0,0,0,0,0,0,0
33,518,  БАСК,Белово,35039,0,0,0,0,15102,38,38,0,0,0,15064,12718,2747,0,0,0,1695,0,0,8096,180,2346,358,0,0,0,0,0,0,0,1988,0,0,0,0,0,0,19937,0,19937,0,0
34,3487,  БИН СТРАХОВАНИЕ,Москва,-2300,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2301,0,450,-2751,0
35,3991,  БЛАГОСОСТОЯНИЕ,Москва,199075,0,0,0,0,199075,199075,161595,0,0,37480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1207,  БЛАГОСОСТОЯНИЕ ОБЩЕЕ СТРАХОВАНИЕ,Москва,48564,0,0,0,0,48564,47476,46736,0,0,740,1088,702,0,0,0,0,0,0,0,0,702,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0
37,3064,  БОРОВИЦКОЕ СТРАХОВОЕ ОБЩЕСТВО,Москва,354,0,0,0,0,354,0,0,0,0,0,354,162,153,0,0,0,9,0,0,0,0,192,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0
38,3799,  БРИТАНСКИЙ СТРАХОВОЙ ДОМ,Москва,561919,0,0,0,0,561919,0,0,0,0,0,561919,449113,1246,0,0,0,105642,0,0,341735,490,69895,0,0,0,0,0,0,0,0,69895,0,42911,0,0,0,0,0,0,0,0,0
39,3245,  ВЕРНА,Краснодар,58677,0,0,0,0,58677,40,40,0,0,0,58637,7994,6983,0,0,0,10,-60,-60,1023,38,50643,0,0,0,0,0,0,0,0,8,50635,0,0,0,0,0,0,0,0,0,0
40,4170,  ВИС,Махачкала,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3561,  ВИТАЛ-ПОЛИС,Москва,38,0,0,0,0,38,0,0,0,0,0,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3826,  ВИТА-СТРАХОВАНИЕ,Сургут,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1440,  ВОЗРОЖДЕНИЕ-КРЕДИТ,Красноярск,19,0,0,0,0,19,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3570,  ВОСТОЧНО-СТРАХОВОЙ АЛЬЯНС,Владивосток,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,433,  ВОСТСИБЖАСО,Иркутск,4074,0,0,0,0,4074,154,154,0,0,0,3920,3904,1447,0,0,0,125,0,0,626,1706,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
46,621,  ВСК,Москва,1796152,0,0,0,0,1552236,15741,15741,0,0,0,1536495,794036,21172,1636,172190,26099,112342,30206,18805,412310,18081,739057,29225,3296,25929,0,6991,0,1308,66010,33478,602045,712,2690,0,0,0,243916,0,29458,214458,0
47,3866,  ВСК-ЛИНИЯ ЖИЗНИ,Москва,5916,5916,5916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3978,  ВСК-МИЛОСЕРДИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,257,  ВТБ МЕДИЦИНА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2890,  ВТБ МС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3398,  ВТБ СТРАХОВАНИЕ,Москва,4003745,0,0,0,0,3877550,41662,37344,0,0,4318,3835888,2984201,0,-6,572025,24859,152691,0,0,2216816,17816,681967,0,0,0,2,133275,4565,87526,153563,303036,0,367,169353,0,0,0,126195,0,92084,34111,0
52,3995,  ВТБ СТРАХОВАНИЕ ЖИЗНИ,Москва,13003,13003,13003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3780,  ВЫРУЧИМ!,Екатеринбург,557,0,0,0,0,557,0,0,0,0,0,557,557,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,630,  ГАЙДЕ,Санкт-Петербург,363184,0,0,0,0,319910,17648,17648,0,0,0,302262,302242,257068,0,0,658,19951,0,0,12497,12068,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,43274,0,930,42344,0
55,4169,  ГАРАНТИЯ ИНВЕСТИЦИЙ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,397,  ГЕЛИОС,Москва,72352,0,0,0,0,71296,3609,3609,0,0,0,67687,64183,1178,0,0,4846,9536,0,0,48557,66,3465,6,6,0,0,0,8,0,0,3451,0,0,39,0,0,0,1056,0,1056,0,0
57,448,  ГЕОПОЛИС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2397,  ГЕОПОЛИС,Москва,9390,0,0,0,0,9390,0,0,0,0,0,9390,9311,2660,0,0,0,0,0,0,5737,914,79,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0
59,2071,  ГОРОДСКАЯ СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3678,  ГРАЖДАНСКИЙ СТРАХОВОЙ ДОМ,Москва,23169,0,0,0,0,23169,0,0,0,0,0,23169,23169,1116,0,0,0,0,0,0,22028,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2042,  ГРАНТА,Казань,45480,0,0,0,0,45480,51,51,0,0,0,45429,44872,44361,0,0,5,16,0,0,315,175,550,0,0,0,0,0,0,0,487,63,0,0,7,0,0,0,0,0,0,0,0
62,1284,  ГРУППА РЕНЕССАНС СТРАХОВАНИЕ,Москва,704394,0,0,0,0,678895,12622,10850,0,0,1772,666273,382275,81898,0,0,6760,20688,0,0,252291,20638,58235,8312,0,0,0,0,0,193,8447,41283,0,0,225763,0,0,0,25499,0,11977,13522,0
63,1820,  ГУТА-СТРАХОВАНИЕ,Москва,20408,0,0,0,0,20408,981,981,0,0,0,19427,19427,0,0,0,0,1028,0,0,18399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2214,  ДАЛЬАКФЕС,Владивосток,23595,0,0,0,0,23595,131,131,0,0,0,23464,23305,15280,0,0,2933,1213,0,0,1420,2459,159,0,0,0,0,0,57,0,0,102,0,0,0,0,0,0,0,0,0,0,0
65,55,  ДАЛЬЖАСО,Хабаровск,12042,0,0,0,0,12042,8247,8247,0,0,0,3795,3378,1894,0,0,26,235,0,0,920,303,417,0,0,0,0,0,0,0,0,2,415,0,0,0,0,0,0,0,0,0,0
66,525,  ДАЛЬ-РОСМЕД,Хабаровск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2027,  ДВАДЦАТЬ ПЕРВЫЙ ВЕК,Санкт-Петербург,68051,0,0,0,0,68051,80,80,0,0,0,67971,40401,2502,0,0,0,24218,0,0,13592,89,26997,19499,277,19222,0,0,0,0,2294,5204,0,0,573,0,0,0,0,0,0,0,0
68,3870,  ДЕЛО ЖИЗНИ,Москва,5343,5203,5203,0,0,140,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1363,  ДИАМАНТ,Москва,5255,0,0,0,0,5255,23,23,0,0,0,5232,5136,5006,0,0,0,0,0,0,75,55,96,49,49,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0
70,206,  ДИАНА,Ангарск,5096,0,0,0,0,5096,466,466,0,0,0,4630,4515,1073,0,0,0,41,0,0,1064,2337,115,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0
71,1412,  Д2  СТРАХОВАНИЕ,Новосибирск,3233,0,0,0,0,3233,1530,1530,0,0,0,1703,1629,0,0,0,0,93,0,0,1093,443,74,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0
72,3954,  ЕВРОИНС,Смоленск,126385,0,0,0,0,126385,12107,12107,0,0,0,114278,60319,1249,0,0,0,55640,0,0,2700,730,3766,1,1,0,0,0,0,0,589,2418,758,0,50193,0,0,0,0,0,0,0,0
73,4009,  ЕРВ ТУРИСТИЧЕСКОЕ СТРАХОВАНИЕ,Москва,25954,0,0,0,0,25954,9747,9747,0,0,0,16207,0,0,0,0,0,0,0,0,0,0,16207,0,0,0,0,0,0,0,0,0,16207,0,0,0,0,0,0,0,0,0,0
74,2447,  ЖЕЛЕЗНОДОРОЖНЫЙ СТРАХОВОЙ ФОНД,Нижний Новгород,7335,0,0,0,0,7335,2505,2505,0,0,0,4830,4812,63,328,0,0,4367,0,0,35,19,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
75,2456,  ЗАБАЙКАЛМЕДСТРАХ,Чита,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1947,  ЗАПОЛЯРЬЕ,Салехард,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1083,  ЗЕТТА СТРАХОВАНИЕ,Москва,103255,0,0,0,0,66010,50975,873,0,0,50102,15035,12660,440,0,0,0,2588,0,0,3872,5760,2370,0,0,0,0,0,0,0,2280,53,37,0,5,0,0,0,37245,0,1731,35514,0
78,3616,  ИНВЕСТ-ПОЛИС,Королев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2401,  ИНВЕСТСТРАХ,Москва,1668,0,0,0,0,1668,0,0,0,0,0,1668,424,98,0,0,0,23,0,0,100,203,1244,0,0,0,0,0,0,0,146,1098,0,0,0,0,0,0,0,0,0,0,0
80,425,  ИНГВАР,Москва,5769,0,0,0,0,5769,0,0,0,0,0,5769,5759,0,0,0,0,4643,0,0,1017,99,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
81,928,  ИНГОССТРАХ,Москва,7381385,0,0,0,0,6998734,866591,3475,0,0,863116,6132143,4674226,66051,0,698771,311300,271736,0,0,3326368,0,1451621,3007,3007,0,0,697672,265495,0,0,485486,-39,0,6296,0,0,0,382651,0,36348,346303,0
82,3823,  ИНГОССТРАХ-ЖИЗНЬ,Москва,130720,8605,8605,0,0,122115,122115,109498,0,0,12617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3837,  ИНГОССТРАХ-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2169,  ИНЕРТЕК,Санкт-Петербург,1620,0,0,0,0,1620,0,0,0,0,0,1620,1620,364,0,0,0,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2031,  ИНКО-МЕД,Воронеж,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,870,  ИНТАЧ СТРАХОВАНИЕ,Москва,2609,0,0,0,0,2609,0,0,0,0,0,2609,2609,2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,902,  КАЙРОС,Петропавловск-Камчатский,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3175,  КАПИТАЛ ПЕРЕСТРАХОВАНИЕ,Москва,5259,0,0,0,0,5259,0,0,0,0,0,5259,5001,199,0,1,179,579,0,0,4035,8,251,0,0,0,0,0,0,69,182,0,0,7,0,0,0,0,0,0,0,0,0
89,1298,  КАПИТАЛ СТРАХОВАНИЕ,Когалым,1251028,0,0,0,0,1235278,10660,10660,0,0,0,1224618,1010610,420,172,12745,4185,179900,0,0,808671,4517,211862,101,101,0,0,-5892,26845,48235,0,123802,18771,0,2146,0,0,0,15750,0,8456,7294,0
90,3645,  КАПИТАЛ-ЛАЙФ,Москва,698,698,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1336,  КАПИТАЛ-ПОЛИС,Санкт-Петербург,45609,0,0,0,0,45609,43,43,0,0,0,45566,45546,360,0,0,0,44217,0,0,856,113,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
92,2875,  КАПИТАЛ-ПОЛИС МЕДИЦИНА,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
