Сведения о выплатах в разрезе страховщиков,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 10.06.2016 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-март 2016 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№ п\п,Рег №,Наименование,Город,Добровольное и обязательное страхование (кроме обязательного медицинского страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Всего,из них страхование нерезидентов,I. Добровольное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II. Обязательное страхование  (кроме обязательного медицинского страхования),,,,,,,
,,,,,,Страхование жизни,,,,"Страхование иное, чем страхование жизни",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное личное страхование,,,Обязательное имущественное страхование,,,,
,,,,,,Всего,в том числе,,,Всего,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Всего,в том числе,,Всего,в том числе,,,
,,,,,,,страхование жизни (кроме пенсионного страхования)-всего,из него,пенсионное страхование,,личное страхование (кроме страхования жизни),,,,,Имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц,"иные виды обязательного личного страхования, предусмотренные федеральными законами",,гражданской ответственности владельцев транспортных средств,гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","иные виды обязательного имущественного страхования, предусмотренные федеральными законами"
,,,,,,,,страхование жизни заемщика,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,от несчастных случаев и болезней,из него,,медицинское страхование,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,,страхование предпринимательских рисков,страхование финансовых рисков,,,,,,,,
,,,,,,,,,,,,,"пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",работников налоговых органов,,,Всего,в том числе,,,,,,,,,Всего,в том числе,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"средств наземного транспорта 
(кроме средств железнодорожного транспорта)",средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"владельцев средств наземного транспорта 
(кроме средств железнодорожного транспорта)",владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,"средств наземного транспорта 
(кроме средств железнодорожного транспорта)",средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
,,ИТОГО:,,117064749,2039132,6654838,6349619,892698,305219,71038068,25578673,3287474,289,0,22291199,45459395,37737879,25948300,130773,1312812,1304518,622577,274461,117452,6186150,1958288,1902869,199830,51334,52263,75765,20468,1341910,978891,0,217451,145568,12022,20199,279092,49816,5529271,289376,3550765,3550765,0,35821078,35572128,52373,196577,0
1,2496,  АБСОЛЮТ СТРАХОВАНИЕ,Москва,214101,25827,0,0,0,0,206738,126782,5434,0,0,121348,79956,78772,42156,0,0,18371,810,0,0,13504,3931,1117,0,0,0,0,0,205,205,0,0,0,0,0,587,325,0,67,0,0,0,7363,7109,0,254,0
2,796,  АВАНГАРД-ГАРАНТ,Москва,1429,0,0,0,0,0,1429,0,0,0,0,0,1429,1429,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3290,  АДВАНТ-СТРАХОВАНИЕ,Санкт-Петербург,12482,0,0,0,0,0,12482,7938,210,0,0,7728,4544,3978,3895,0,0,0,0,0,0,81,2,566,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0
4,585,  АДОНИС,Пермь,52462,0,0,0,0,0,30440,4583,1798,0,0,2785,25857,25170,24352,0,0,0,0,0,0,298,520,687,0,0,0,0,0,687,687,0,0,0,0,0,0,0,0,0,0,0,0,22022,21822,0,200,0
5,3947,  АИГ СТРАХОВАЯ КОМПАНИЯ,Москва,28941,0,0,0,0,0,27634,10250,10250,0,0,0,17384,14579,2575,0,0,0,9471,0,0,2533,0,2805,0,0,0,0,0,1659,1659,0,0,0,0,0,1146,0,0,0,0,0,0,1307,1307,0,0,0
6,4210,  АИЖК,Москва,2166,0,0,0,0,0,2166,0,0,0,0,0,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166,0,0,0,0,0,0,0,0
7,3867,  АК БАРС СТРАХОВАНИЕ,Казань,51695,1,0,0,0,0,51695,6322,6322,0,0,0,45373,14855,3726,0,1692,0,0,2913,0,845,5679,30298,0,0,0,0,0,30115,0,0,30115,0,0,0,183,0,0,220,0,0,0,0,0,0,0,0
8,3943,  АК БАРС-МЕД,Казань,25919,604,0,0,0,0,25919,25919,0,0,0,25919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,455,  АКОМС,Холмск,5689,0,0,0,0,0,5689,1815,28,0,0,1787,3874,3874,251,0,0,3388,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,139,  АКТИВ,Москва,41144,0,0,0,0,0,41144,885,27,27,0,858,40259,40259,12202,0,0,0,115,0,0,27942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3572,  АКЦЕПТ,Люберцы,22803,0,0,0,0,0,22803,896,896,0,0,0,21907,21907,21907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3859,  АЛЛЕГА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2239,  АЛЬФАСТРАХОВАНИЕ,Москва,5791964,110951,0,0,0,0,4322539,1410246,202152,0,0,1208094,2912293,2705890,1954077,1357,128291,55892,50955,2060,0,355459,157799,109413,31504,3,0,29941,1560,60648,58278,0,2164,206,0,240,13985,3036,80,96910,0,0,0,1469425,1449495,7428,12502,0
14,193,  АЛЬФАСТРАХОВАНИЕ - ОМС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3447,  АЛЬФАСТРАХОВАНИЕ-ЖИЗНЬ,Москва,726660,0,719784,719437,0,347,6876,6876,3134,0,0,3742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,290,  АЛЬЯНС,Москва,688663,29678,6544,6544,0,0,600883,134105,107810,0,0,26295,466778,310990,147736,4950,15652,7826,99989,0,0,29323,5514,103224,0,0,0,0,0,97314,96444,0,3,867,0,1,5909,0,32224,20340,0,0,0,81236,79755,1000,481,0
17,3828,  АЛЬЯНС ЖИЗНЬ,Москва,1545744,47467,423445,423369,10977,76,1122299,1122299,14188,0,0,1108111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2699,  АЛЬЯНС-МЕД,Сызрань,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,436,  АМТ СТРАХОВАНИЕ,Москва,27573,27573,0,0,0,0,27573,0,0,0,0,0,27573,27573,0,0,0,27573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,66,  АНГАРА,Братск,86004,0,0,0,0,0,10288,1326,1267,0,0,59,8962,8962,7845,0,0,0,0,0,0,218,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75716,75716,0,0,0
21,2982,  АНДРОМЕДА,Москва,95,0,0,0,0,0,95,0,0,0,0,0,95,95,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4302,  АРМС ТЕРРИТОРИЯ,Екатеринбург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3193,  АРСЕНАЛЪ,Москва,55607,0,0,0,0,0,55607,26963,6128,0,0,20835,28644,7680,0,0,4282,339,0,0,0,3045,14,20745,0,0,0,0,0,16253,0,0,7750,8503,0,0,567,3925,0,219,0,0,0,0,0,0,0,0
24,2489,  АСКО,Набережные Челны,412480,0,0,0,0,0,174748,81592,5446,0,0,76146,93156,91808,86744,0,0,0,0,40,0,4058,966,1347,0,0,0,0,0,1215,1215,0,0,0,0,0,132,0,0,1,0,0,0,237732,237110,8,614,0
25,3999,  АСКО-ЖИЗНЬ,Набережные Челны,43991,0,43886,43886,0,0,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1894,  АСКО-ЗАБОТА,Омск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,278,  АСКОМЕД,Самара,10867,0,0,0,0,0,10867,10867,0,0,0,10867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
