"Сведения о вознаграждении посредникам, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Дата составления отчета: 15.11.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-сентябрь 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег. №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,,,,,,,,,,,,,
ИТОГО:,,237340039.57674003,54867032.16221,82093.11877,92150336.31784,81011250.15231994,16852.758299999998,3.85,11139086.165519996,83745055.44385,68622000.42262003,35616426.47214,122992.49416999996,614442.9892699999,397725.6160599999,3025761.57272,874017.71651,780666.2047899999,7675451.747799999,20295181.81395,4457958.192240002,694824.3399899999,181.52608,138165.22227,231712.33042,153809.4988,340532.95966,2438660.9924100004,460071.32261,1093897.6342699998,9571199.194719996,0,6342778.8962699985,81601.25,71142.3878
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",12102654.403870001,0,0,5174362.45591,3904140.27478,47.51568,0,1270222.18113,6443520.44811,5843096.49772,1645973.53709,8985.12751,4910.93133,26188.09147,95158.17167,140379.90682000003,121499.80402,174361.64949,3747139.08234,195302.13051,8131.2451,0,335.27144,34669.47048,17220.16852,775.87366,125775.88658,8394.21473,1687.44479,403434.37509,,470175.11167,9962.00359,4634.38459
0141,"Страховое Акционерное Общество ""Медэкспресс""",47214.734240000005,0,0,44584.42117,2153.80667,0,0,42430.6145,2326.51142,2273.17756,1685.82168,0,0,0,0,0,0,405.14871,182.20717,53.33386,0,0,0,0,0,0,53.33386,0,0,0,,303.80165,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",1018654.31809,0,0,83751.44717,83751.44717,0,0,0,934901.97155,874579.3257,738208.77502,0,0,0,0,0,0,0,136370.55068,497.74663,470.40593,0,0,0,0,0,27.3407,0,0,59824.89922,,0.89937,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",33332.26642,0,0,18699.62187,3790.45444,0,0,14909.16743,14632.64455,11277.49163,2078.79823,0,2001.21085,0,102.71607,0,0,3536.17097,3558.59551,3355.15292,0.3,0,1275.6276,0,0,174.63,1518.74532,385.85,0,0,,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",28777.4507,0,0,0,0,0,0,0,28777.4507,20517.53148,0,0,0,0,15873.90826,0,0,4643.62322,0,4330.70428,0,0,0,0,0,1326.56181,3004.14247,0,1515.91648,2413.29846,,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",228007.44583,0,0,26481.41415,25864.54042,4540.11226,0,616.87373,201087.43895,62926.33826,494.73799,342.70276,0,373.12402,20479.64208,0,0,35971.30477,5264.82664,20892.51885,1.42365,0,0,0,137.67511,3769.21632,16984.20377,0,3851.07354,113417.5083,,0,318.00119,120.59154
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",15068.84494,0,0,14302.43228,0,0,0,14302.43228,766.41266,20.93825,0,0,0,0,20.93825,0,0,0,0,27.51914,0,0,0,0,0,0,3.6,23.91914,0,717.95527,,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",592725.33513,0,0,97874.06549,77154.05752,0,0,20720.00797,431960.15372,415008.61298,140677.38895,0,22.84013,108.00177,1913.60821,5243.134900000001,5130.50785,256678.5366,10365.10242,11674.62173,1151.05911,0,66.07584,-176.74579,73.125,188.51756,10145.80251,226.7875,0,5276.91901,,62891.11592,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",30195.931090000002,0,0,8918.9186,8918.9186,0,0,0,21277.01249,12633.59568,0,0,0,3692.74038,2311.22842,0,0,4131.97706,2497.64982,8422.7886,0,0,0,4813.35328,0,0,3609.43532,0,0,220.62821,,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",183.749,0,0,183.749,0,0,0,183.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",9913.2679,0,0,1038.87741,510.86239,0,0,528.01502,1778.5769,1771.9979,1509.96312,0,0,0,0,0,0,0.804,261.23078,6.579,0,0,0,0,0,0,6.579,0,0,0,,7090.51759,5.296,0
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",23844.74944,0,0,4477.50224,1809.99275,0,0,2667.50949,19367.2472,18089.44732,12107.3901,0,0,0,1880.30019,0,0,1615.15627,2486.60076,1011.54681,155.37432,0,0,0,0,0.2875,819.75999,36.125,0,266.25307,,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",61781.93217,0,0,22236.53671,21125.07737,0,0,1111.45934,21969.25463,21807.84445,8480.74722,0,0,0,140.4919,200.51519,0,1720.49102,11265.59912,89.26018,18.5544,0,0,0,0,0,70.70578,0,0,72.15,,17576.14083,0,0
0621,"Страховое акционерное общество ""ВСК""",14674486.560949998,0,0,3612578.81579,2667257.84913,22.3975,0,945320.96666,10726691.67185,9423616.01593,3822611.76929,7564.4277,56541.82665,62297.86408,408482.02564,27037.68635,20159.05952,730378.35393,4308702.06229,229462.27713,58297.69518,0,841.75995,27941.57135,21369.27692,7123.87969,112653.1227,1234.97134,13749.19569,1059864.1831,,320390.54291,7932.7241,6892.8063
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",500798.26038000005,0,0,86058.8159,48706.53012,0,0,37352.28578,333729.0328,319800.71007,245555.4652,368.0506,0,609.16588,46010.71887,0,0,10948.6179,16308.69162,5037.563,427.35071,0,0,0,0,16.48,896.29229,3697.44,0,8890.75973,,76783.72279,2645.02711,1581.66178
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",468225.37599,0,0,417417.25814,386533.72839,0,0,30883.52975,50808.11785,31575.47701,0,0,0,0,12.4142,0,0,8338.32269,23224.74012,8588.46364,0,0,0,0,3.84637,0,8584.61727,0,0,10644.1772,,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",1236734.22064,0,0,304640.7922,261447.46025,0,0,43193.33195,929749.48505,865335.29363,47156.59835,157.70602,1132.59088,1306.62517,490245.92018,0,0,195434.21253,129901.6405,34437.33916,842.02794,0,88.58741,2160.36407,1501.37188,1795.10212,27696.25574,353.63,220.88328,29755.96898,,1574.15453,362.17963,407.60923
0928,"Страховое публичное акционерное общество ""Ингосстрах""",11806215.40791,0,0,1963291.27081,1358569.64935,1114.52413,0,604721.62146,8938542.62898,7383552.33827,5035111.3481,4263.06929,46457.42284,112697.94131,346546.23866,3286.8691599999997,2075.98252,831975.60362,1003213.84529,602819.12936,82071.24821,0,4905.18569,85885.56589,27337.93504,116365.87008,284812.37974,1440.94471,2156.87899,950014.28236,,877484.17267,14972.36971,11924.96574
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",1206008.7494700002,0,0,177360.32621,149223.83287,0,0,28136.49334,990376.29204,856290.76207,620693.29653,137.31618,0,0,12252.41811,1754.47434,0,61799.88388,159653.37303,102590.62204,32036.52503,0,0,0,1886.28321,759.05232,64227.27497,3681.48651,138.21869,31356.68924,,34788.26777,1574.09681,1909.76664
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",461464.34016,0,0,246885.0928,135671.20333,0,0,111213.88947,214579.24736,146279.91493,68972.64871,0,7275.53583,2,21604.40599,0,0,20325.88681,28099.43759,45132.62296,444.31237,0,2096.39497,0,0,41203.67786,0,1388.23776,0,23166.70947,,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",62682805.667789996,0,0,55576775.31786,54257790.67308,0,0,1318984.64478,6844390.90898,5292513.65807,2376694.76097,46317.80002,395241.40306,19767.92388,98404.72395,3433.97826,1321.32684,879401.21046,1473251.85747,550760.28612,25857.84629,10.35,93331.5202,2645.00156,29675.42244,12642.46749,385343.90983,1253.76831,241538.2339,759578.73089,,240693.78881,7274.70125,13670.95089
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",13976893.020580001,-11.04739,0,3543505.89937,1720731.86264,588.05763,0,1822774.03673,8302519.2664,7447180.86048,5376117.95609,4713.04466,0,0,167498.5818,2498.31247,0,598073.18511,1298279.78035,388518.7813,142756.99782,0.56818,55.4836,334.33089,31547.69151,6815.18431,183343.09969,23665.4253,23252.6407,443566.98392,,2112123.37717,14916.58325,3838.94178
1216,"Акционерное общество Страховая компания ""Чулпан""",23808.550730000003,0,0,2547.05426,1712.38073,0,0,834.67353,18701.62194,17902.81331,7170.25271,0,0,35.625,1.713,95.02434,0,3475.99396,7124.2043,788.85197,26.9014,0,0,52.11442,0.892,0,708.94415,0,0,9.95666,,628.48951,201.31668,1730.06834
