"Сведения о выплатах по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
Дата составления отчета: 15.11.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-сентябрь 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,Всего,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,,
ИТОГО:,,9505607.335409999,0,0,427676.65974000003,287824.51569000003,0,0,139852.14405,7086810.745419999,6495580.302330001,676667.1585599999,1727.9176499999999,856988.3874499999,434611.09866,157221.89640000003,347884.59529,15547.07972,4008259.99866,12219.24966,158399.43164,5391.49386,2731.9813799999997,2187.7229,0,43549.36271,2516.80813,8854.069249999999,32204.06444,63842.63269,2041.00056,119586.79138,313244.22007,0,1327335.5525900002,273795.20005999994,389989.1776000001,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",326441.03293,0,0,0,0,0,0,0,73399.17473,61969.07465,0,0,44.04938,114.26144,151.76523,0,0,61658.9986,0,2088.41214,333.43683,333.43683,0,0,0,0,124.0049,0,1630.97041,0,9341.68794,0,,166265.47588,34351.66896,52424.71336,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",42.4806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42.4806,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",8534.74621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8534.74621,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",377.68408,0,0,0,0,0,0,0,377.68408,377.68408,0,0,0,0,377.68408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",441972.91474000004,0,0,2170.21983,2170.21983,0,0,0,439802.69491,439781.90607,19103.27856,0,0,27.33769,780.25973,7659.70438,0,411818.35025,392.97546,20.78884,20.78884,20.78884,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",23548.4994,0,0,6.46149,6.46149,0,0,0,10306.94046,5855.20773,0,0,4410.05312,0,0,0,0,1445.15461,0,515.62378,0,0,0,0,0,0,0,0,515.62378,0,3936.10895,0,,0,4877.62712,8357.47033,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",16564.10434,0,0,0,0,0,0,0,16564.10434,16564.10434,0,0,16564.10434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",53192.67941,0,0,0,0,0,0,0,25466.925,25466.925,0,0,0,0,0,0,0,25466.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27725.75441,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",460.47836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,460.47836,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",4451.78694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4451.78694,0,0,0
0621,"Страховое акционерное общество ""ВСК""",324736.84606,0,0,707.58356,707.58356,0,0,0,267746.85752,259933.63658,2283.13197,0,112262.93836,100223.3692,6399.63011,0,0,38673.16912,91.39782,340.4678,0,0,0,0,0,52.02704,0,144.84177,143.59899,0,7170.48436,302.26878,,17082.42691,16280.52022,22919.45785,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",213.57771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,213.57771,0,0,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",5713.785,0,0,5713.785,5713.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",19733.46101,0,0,2263.1929,2263.1929,0,0,0,8822.01651,7644.85053,3790.24548,0,1265.41449,0,1833.14276,0,0,580.30993,175.73787,1177.16598,0,0,0,0,0,0,0,154.07364,1023.09234,0,0,0,,2509.6185,2387.74646,3750.88664,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",1109689.0702,0,0,10305.53756,8707.10236,0,0,1598.4352,978724.1702,930924.29578,24006.71947,1628.40566,289667.04367,110191.38513,28325.00024,14081.29992,0,463024.44169,0,47799.87442,2044.30514,2044.30514,0,0,38697.62738,0,1862.62773,1633.5129,3561.80127,0,0,0,,37315.54389,28880.27293,54463.54562,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",47663.79935999999,0,0,0,0,0,0,0,1801.44547,1783.16058,717.96146,0,0,990,2.98836,0,0,72.21076,0,18.28489,0,0,0,0,0,0,0,18.28489,0,0,0,0,,40412.49567,2076.48026,3373.37796,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",149180.73897,0,0,28.50698,28.50698,0,0,0,149152.23199,134733.14709,876.17978,0,112397.91028,0,6344.56308,0,0,15081.10167,33.39228,14419.0849,0,0,0,0,0,0,0,699.00016,13720.08474,0,0,0,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",1025235.0986099999,0,0,4510.8855,4510.8855,0,0,0,840166.56404,811225.61645,6003.30024,0,15165.26239,31779.16885,5608.46998,49112.95284,0,703556.46215,0,22572.51639,137.67339,0,0,0,0,0,4698.64471,0,17736.19829,0,0,6368.4312,,109945.37923,28456.73196,42155.53788,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",686102.0640799999,0,0,85353.41126,199.54887,0,0,85153.86239,43454.5127,24208.8354,3692.94998,0,5658.07111,7200,46.87457,118.76992,0,6955.31907,536.85075,120.6989,0,0,0,0,0,0,120.6989,0,0,0,19073.8284,51.15,,446738.22075,44493.80568,66062.11369,0
1216,"Акционерное общество Страховая компания ""Чулпан""",10104.997479999998,0,0,0,0,0,0,0,1177.55177,855.73325,0,0,0,855.73325,0,0,0,0,0,321.81852,0,0,0,0,0,0,0,321.81852,0,0,0,0,,893.56245,3095.85686,4938.0264,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",163386.36586,0,0,0,0,0,0,0,4.14318,4.14318,0,0,0,0,6.49186,0,0,-2.34868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,116192.36801,18955.60339,28234.25128,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",343143.10981999995,0,0,518.71889,518.71889,0,0,0,249125.88375,157531.01482,138.67521,0,37952.64816,88659.42484,316.03113,0,0,30464.23548,0,3931.96296,0,0,0,0,1927.92607,0,2004.03689,0,0,0,22186.45811,65476.44786,,81720.82634,4750.3904,7027.29044,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",92198.04575,0,0,0,0,0,0,0,8754.83719,5908.70767,0,0,3991.68172,1283.59988,118.84481,0,0,423.79965,90.78161,2846.12952,0,0,0,0,0,0,0,0,2846.12952,0,0,0,,73399.63173,4220.48534,5823.09149,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",432.19256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,432.19256,0,0,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",7775.85829,0,0,0,0,0,0,0,7775.85829,2257.48736,0,0,0,0,2257.48736,0,0,0,0,5518.37093,170.69403,170.69403,0,0,0,0,0,3515.70168,1831.97522,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",11932.0968,0,0,0,0,0,0,0,7075.75689,4884.80001,0,0,0,0,0,0,0,4884.80001,0,2190.95688,2187.7229,0,2187.7229,0,0,0,0,0,3.23398,0,0,0,,2190.05598,1010.39971,1655.88422,0
1820,"Акционерное общество ""ГУТА-Страхование""",1383.85089,0,0,0,0,0,0,0,1383.85089,1383.85089,0,0,0,1383.85089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
