"Сведения о cтраховых выплатах по договорам исходящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 07.08.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-июнь 2024 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего*,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,
ИТОГО:,,42500522.886700004,179745.73286,137592.09347000002,128554.17277000002,2098.9027699999997,123717.04914000002,2738.22086,0,0,9037.9207,0.23424,8838.80702,198.87944000000002,0,0,42153.639390000004,8365.68381,5407.79953,0,2957.8842799999998,0,0,33787.95558,794.5217700000001,0,31072.571640000002,1689.51144,231.35073,0,0,0,406013.25467999995,348381.4485499999,0,0,57631.806130000004,17709380.965010006,13755490.074460004,2578321.6941999993,19569.51462,1011088.5488799999,290786.62347000005,1432157.47617,1438157.9941699998,1073638.87537,6581876.697659999,403531.52528999996,698148.4578999999,4950.0443700000005,51.34042,0,69.03924,440582.69789,42219.715110000005,0,467.67793000000006,166297.74834000002,43561.53502,2734131.7394700004,521610.69317999994,0,23725839.368729997,140646.99441,338896.57101
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",893568.15916,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,85193.63958,84733.68308,0,0,0,0,0,31936.7755,31936.7755,52796.90758,0,459.9565,0,0,,0,0,0,0,362.5873,97.3692,0,0,0,,785722.62606,1706.816,20945.07752
0141,"Страховое Акционерное Общество ""Медэкспресс""",1125.84834,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1125.84834,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",1059460.77206,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1059460.77206,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",6206.23615,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,6206.23615,6206.23615,5771.29884,0,0,0,0,0,0,307.54527,127.39204,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",2260768.10847,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,2260768.10847,2077458.23951,0,0,0,0,107176.17605,0,0,1970282.06346,0,2984.19389,0,0,,0,0,0,0,105.09063,2879.10326,0,180325.67507,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",618792.96009,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,618792.96009,618792.96009,0,0,0,0,0,0,0,618792.96009,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",211169.59503,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,3241.5513,0,,,3241.5513,206378.68544,9395.40383,7071.23953,0,0,0,2324.1643,0,0,0,0,67747.69083,0,0,,0,54522.96729,0,0,0,13224.72354,0,0,129235.59078,,1549.35829,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",37008.56333,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,21530.63544,21530.63544,0,0,0,0,0,0,0,21530.63544,0,0,0,0,,0,0,0,0,0,0,0,0,0,,15477.92789,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
