Сведения о количестве действовавших на конец отчетного периода договоров страхования в разрезе страховщиков,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
,,,,,,,,,,,,,"пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",работников налоговых органов,,,Всего,в том числе,,,,,,,,,Всего,в том числе,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),      из него:,,владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,,"владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования «Зеленая карта»)","владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования «Зеленая карта»)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68
ИТОГО:,,,,128823888,1928121,7080844,7050571,2859497,30273,85273489,37080534,29974006,1660,0,7106528,48192955,34549705,3924816,4681,1411,3691,238138,62452,573,442378,29872138,8472016,1065688,910128,155225,25,2344,4200,2328,32132,6671534,693765,26768,5144466,4,4,0,36469551,36187418,227003,55130,0
1,2496,  АБСОЛЮТ СТРАХОВАНИЕ,Москва,293879,62100,0,0,0,0,282422,164142,96913,8,0,67229,118280,71720,4829,2,0,169,18532,0,0,4914,43274,34789,1281,1281,0,1,0,110,0,4222,5206,23969,142,11629,0,0,0,11457,10904,426,127,0
2,796,  АВАНГАРД-ГАРАНТ,Москва,376,0,0,0,0,0,376,4,4,0,0,0,372,365,311,0,0,0,0,7,7,47,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3290,  АДВАНТ-СТРАХОВАНИЕ,Санкт-Петербург,39156,2864,0,0,0,0,39156,36515,6782,0,0,29733,2641,1439,756,0,0,2,8,0,0,314,359,1064,629,629,0,0,0,2,0,2,317,114,0,138,0,0,0,0,0,0,0,0
4,585,  АДОНИС,Пермь,170792,0,0,0,0,0,82709,41469,30587,0,0,10882,41240,39624,10233,0,0,2,6,459,0,827,28097,967,370,370,0,0,0,0,1,0,596,0,0,649,0,0,0,88083,87159,633,291,0
5,3947,  АИГ СТРАХОВАЯ КОМПАНИЯ,Москва,1906,0,0,0,0,0,1726,1,1,0,0,0,1725,416,0,0,0,0,134,0,0,282,0,715,23,23,0,0,0,0,0,0,692,0,0,594,0,0,0,180,0,180,0,0
6,3867,  АК БАРС СТРАХОВАНИЕ,Казань,239468,195,0,0,0,0,239468,102511,97359,0,0,5152,136957,108152,246,0,10,5,3,7359,0,1346,99183,28561,5,5,0,0,14,0,1,85,28456,0,0,244,0,0,0,0,0,0,0,0
7,3943,  АК БАРС-МЕД,Казань,17748,17135,0,0,0,0,17748,17748,0,0,0,17748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3572,  АКЦЕПТ,Люберцы,27530,0,0,0,0,0,27530,16318,16318,0,0,0,11212,11212,11212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3859,  АЛЛЕГА,Симферополь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2239,  АЛЬФАСТРАХОВАНИЕ,Москва,13670385,197,0,0,0,0,10852550,3749321,3593879,0,0,155442,7103229,4717659,223662,618,169,341,340,248,38,16435,4475846,1651694,67864,35191,32673,0,175,330,118,560,1580270,2377,775,733101,0,0,0,2817835,2801183,15358,1294,0
11,193,  АЛЬФАСТРАХОВАНИЕ - ОМС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3447,  АЛЬФАСТРАХОВАНИЕ-ЖИЗНЬ,Москва,1346275,751,1321269,1321261,0,8,25006,25006,24039,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,290,  АЛЬЯНС,Москва,386274,2048,0,0,0,0,385079,313334,289520,214,0,23814,71745,12318,314,168,47,37,282,0,0,1488,9982,1990,11,11,0,0,68,3,23,73,1802,10,23,57414,0,0,0,1195,0,1039,156,0
14,3828,  АЛЬЯНС ЖИЗНЬ,Москва,46284,904,25391,25375,2578,16,20893,20893,15539,0,0,5354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2699,  АЛЬЯНС-МЕД,Сызрань,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,436,  АМТ СТРАХОВАНИЕ,Москва,408,132,0,0,0,0,408,13,13,0,0,0,395,81,0,0,0,81,0,0,0,0,0,314,0,0,0,0,0,310,0,3,1,0,0,0,0,0,0,0,0,0,0,0
17,66,  АНГАРА,Братск,181417,0,0,0,0,0,67733,61972,57893,0,0,4079,5761,5494,1323,0,0,0,1,0,0,297,3873,225,18,18,0,0,0,0,0,0,207,0,0,42,0,0,0,113684,113684,0,0,0
18,2982,  АНДРОМЕДА,Москва,350,0,0,0,0,0,350,0,0,0,0,0,350,179,0,0,0,0,0,0,0,179,0,171,1,1,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0
19,1858,  АРМЕЕЦ,Москва,166915,19806,0,0,0,0,49575,38966,20023,0,0,18943,10609,8393,1308,0,1,3,6,0,0,308,6767,2199,8,8,0,0,21,0,2,376,1792,0,0,17,0,0,0,117340,117340,0,0,0
20,4324,  АРСЕНАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3193,  АРСЕНАЛЪ,Москва,162899,0,0,0,0,0,162899,54887,46827,0,0,8060,108012,3703,0,0,25,9,38,0,0,1441,2190,6778,0,0,0,0,12,69,2,0,3123,3572,0,97531,0,0,0,0,0,0,0,0
22,2489,  АСКО,Набережные Челны,493698,5994,0,0,0,0,214289,166994,123771,0,0,43223,47295,40228,1792,0,1,10,1,168,0,1640,36616,6462,319,319,0,0,0,8,12,323,5663,137,0,605,0,0,0,279409,278093,758,558,0
23,3999,  АСКО-ЖИЗНЬ,Набережные Челны,10416,0,0,0,0,0,10416,10416,10414,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,278,  АСКОМЕД,Самара,124,0,0,0,0,0,124,124,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3767,  АСКОР,Москва,2087,0,0,0,0,0,2087,1375,1375,0,0,0,712,510,502,0,0,0,0,0,0,8,0,202,200,200,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
26,2144,  АСКО-ЦЕНТР,Курск,134516,2,0,0,0,0,134516,86091,82134,0,0,3957,48425,48320,46819,0,0,0,2,32,0,817,650,105,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0
27,1372,  АСТРАМЕД-МС,Екатеринбург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,758,  АСТРА-МЕТАЛЛ,Магнитогорск,123511,0,0,0,0,0,123511,123511,0,0,0,123511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2619,  АСТРО-ВОЛГА,Самара,221804,0,0,0,0,0,49376,42021,41845,0,0,176,7355,5638,1178,0,0,7,149,18,0,154,4132,1715,11,11,0,0,0,0,0,7,1693,4,0,2,0,0,0,172428,172428,0,0,0
30,2684,  АСТРО-ВОЛГА-МЕД,Самара,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4334,  АТРАДИУС РУС КРЕДИТНОЕ СТРАХОВАНИЕ,Москва,77,0,0,0,0,0,77,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0
32,518,  БАСК,Белово,73982,0,0,0,0,0,19179,17910,14501,0,0,3409,1269,1048,178,0,0,0,38,0,0,89,743,184,5,5,0,0,0,0,0,3,176,0,0,37,0,0,0,54803,54451,352,0,0
33,3487,  БИН СТРАХОВАНИЕ,Москва,30471,0,0,0,0,0,30471,18901,17135,0,0,1766,11570,9021,55,0,0,0,1,0,0,735,8230,1455,24,24,0,0,0,0,0,3,121,1307,1,1093,0,0,0,0,0,0,0,0
34,3991,  БЛАГОСОСТОЯНИЕ,Москва,322883,6363,6358,5672,0,686,316525,316525,311695,0,0,4830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1207,  БЛАГОСОСТОЯНИЕ ОБЩЕЕ СТРАХОВАНИЕ,Москва,1298368,214,0,0,0,0,1298368,312752,270471,0,0,42281,985616,456349,381,0,0,0,0,0,0,0,455968,274939,0,0,0,0,0,0,0,0,274939,0,0,254328,0,0,0,0,0,0,0,0
36,3064,  БОРОВИЦКОЕ СТРАХОВОЕ ОБЩЕСТВО,Москва,16071,2563,0,0,0,0,7471,6434,3782,0,0,2652,1037,582,179,0,0,0,2,0,0,36,365,455,5,5,0,0,0,0,0,93,135,222,0,0,0,0,0,8600,8600,0,0,0
37,3799,  БРИТАНСКИЙ СТРАХОВОЙ ДОМ,Москва,20409,0,0,0,0,0,20409,4003,1167,0,0,2836,16406,2127,518,0,0,0,481,0,0,716,412,13828,271,271,0,0,0,0,0,4,13031,522,451,0,0,0,0,0,0,0,0,0
38,3245,  ВЕРНА,Краснодар,235477,0,0,0,0,0,95786,56502,37038,0,0,19464,39284,11618,840,0,0,4,5,4,0,772,9993,27375,39,39,0,0,0,5,0,468,8228,18635,0,291,0,0,0,139691,139691,0,0,0
39,4170,  ВИС,Махачкала,310,0,0,0,0,0,310,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0
40,3561,  ВИТАЛ-ПОЛИС,Москва,57,0,0,0,0,0,57,13,3,0,0,10,44,34,13,0,0,0,0,0,0,2,19,10,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
41,3826,  ВИТА-СТРАХОВАНИЕ,Сургут,4183,0,3014,3010,14,4,1169,1169,1168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3570,  ВОСТОЧНО-СТРАХОВОЙ АЛЬЯНС,Владивосток,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,433,  ВОСТСИБЖАСО,Иркутск,44774,0,0,0,0,0,44774,32177,32177,0,0,0,12597,11539,111,0,0,0,74,0,0,343,11011,1053,0,0,0,0,0,0,0,0,1053,0,0,5,0,0,0,0,0,0,0,0
44,621,  ВСК,Москва,8107985,92644,0,0,0,0,4496012,2360716,1337552,0,0,1023164,2135296,1694738,326038,2,121,2,2979,1615,47,32253,1331728,337915,98492,57687,40805,4,462,20,271,496,185057,53113,90,102553,0,0,0,3611973,3572439,31121,8413,0
45,3866,  ВСК-ЛИНИЯ ЖИЗНИ,Москва,37841,0,37841,37785,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3978,  ВСК-МИЛОСЕРДИЕ,Москва,6,0,0,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2890,  ВТБ МС,Москва,84,0,0,0,0,0,84,84,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3398,  ВТБ СТРАХОВАНИЕ,Москва,12347547,0,0,0,0,0,12341465,4297488,3682450,0,0,615038,8043977,5976504,4782,355,122,52,3164,0,0,12438,5955591,744101,3293,3293,0,1,66,13,8,3474,730600,6646,48,1323324,0,0,0,6082,0,4956,1126,0
49,3995,  ВТБ СТРАХОВАНИЕ ЖИЗНИ,Москва,65136,108,65063,65059,17,4,73,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3780,  ВЫРУЧИМ!,Екатеринбург,46064,0,0,0,0,0,46064,44571,44205,0,0,366,1493,364,299,0,0,0,0,0,0,14,51,74,0,0,0,0,0,0,0,0,73,1,0,1055,0,0,0,0,0,0,0,0
51,630,  ГАЙДЕ,Санкт-Петербург,420032,0,0,0,0,0,190677,143046,82069,0,0,60977,47631,30539,14416,0,0,16,696,3,0,1486,13922,9174,6226,6226,0,0,0,0,0,3,1814,1131,0,7918,0,0,0,229355,227702,178,1475,0
52,4169,  ГАРАНТИЯ ИНВЕСТИЦИЙ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,397,  ГЕЛИОС,Москва,998582,0,0,0,0,0,738065,395603,326752,0,0,68851,342462,213162,3564,6,4,16,278,0,0,10332,198962,40210,35022,35022,0,0,25,10,15,154,4690,294,0,89090,0,0,0,260517,259743,774,0,0
54,448,  ГЕОПОЛИС,Москва,11613,0,518,0,0,518,11095,11095,92,0,0,11003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2397,  ГЕОПОЛИС,Москва,19294,0,0,0,0,0,8553,1001,35,0,0,966,7552,6659,3962,0,0,0,0,0,0,63,2634,893,787,787,0,0,0,0,0,0,106,0,0,0,0,0,0,10741,10741,0,0,0
56,2071,  ГОРОДСКАЯ СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ,Санкт-Петербург,288,265,0,0,0,0,288,288,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3678,  ГРАЖДАНСКИЙ СТРАХОВОЙ ДОМ,Москва,221,0,0,0,0,0,221,66,40,0,0,26,155,102,68,0,0,0,0,0,0,16,18,53,25,25,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
58,2042,  ГРАНТА,Казань,15061,2510,0,0,0,0,15061,6114,3442,0,0,2672,8947,6459,5389,0,0,4,0,0,0,149,917,1492,0,0,0,0,0,3,1,917,571,0,0,996,0,0,0,0,0,0,0,0
59,1284,  ГРУППА РЕНЕССАНС СТРАХОВАНИЕ,Москва,1979973,196403,0,0,0,0,1028099,678242,163559,0,0,514683,349857,241843,159194,19,0,84,144,0,0,5478,76924,82953,53936,53936,0,0,0,12,9,162,28833,1,0,25061,0,0,0,951874,949988,1723,163,0
60,1820,  ГУТА-СТРАХОВАНИЕ,Москва,5763,0,0,0,0,0,5763,2911,2881,0,0,30,2852,1577,103,0,0,1,0,0,0,186,1287,116,0,0,0,0,0,1,2,0,17,96,0,1159,0,0,0,0,0,0,0,0
61,2214,  ДАЛЬАКФЕС,Владивосток,171089,0,0,0,0,0,25589,22501,22490,0,0,11,3088,2019,315,0,0,1,54,0,0,222,1427,1051,0,0,0,0,0,23,0,0,1028,0,18,0,0,0,0,145500,145500,0,0,0
62,55,  ДАЛЬЖАСО,Хабаровск,27990,0,0,0,0,0,27990,25135,9801,0,0,15334,2855,2235,159,0,0,2,590,0,0,434,1050,620,6,6,0,0,0,4,0,0,414,196,0,0,0,0,0,0,0,0,0,0
63,2027,  ДВАДЦАТЬ ПЕРВЫЙ ВЕК,Санкт-Петербург,189363,8509,0,0,0,0,87187,77127,76717,0,0,410,10060,2583,387,0,0,0,42,0,0,210,1944,7472,7286,218,7068,0,0,0,0,14,172,0,0,5,0,0,0,102176,102176,0,0,0
64,3870,  ДЕЛО ЖИЗНИ,Москва,22125,0,11025,11025,0,0,11100,11100,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1363,  ДИАМАНТ,Москва,2267,0,0,0,0,0,401,141,141,0,0,0,260,202,181,0,0,0,0,0,0,13,8,52,37,37,0,0,0,0,0,0,15,0,0,6,0,0,0,1866,1866,0,0,0
66,206,  ДИАНА,Ангарск,32740,0,0,0,0,0,32740,27555,4232,0,0,23323,5185,4711,68,0,0,0,4,0,0,383,4256,474,0,0,0,0,0,0,8,20,446,0,0,0,0,0,0,0,0,0,0,0
67,1412,  Д2  СТРАХОВАНИЕ,Новосибирск,287926,545,0,0,0,0,287926,81696,59944,0,0,21752,206230,92996,0,0,0,0,231,0,0,1488,91277,75095,0,0,0,0,0,0,0,0,75095,0,0,38139,0,0,0,0,0,0,0,0
68,3954,  ЕВРОИНС,Смоленск,357833,10248,0,0,0,0,155615,84675,74920,0,0,9755,70940,10967,2632,0,0,1,342,1583,0,268,6141,4258,57,57,0,0,0,1,0,229,3748,223,0,55715,0,0,0,202218,202218,0,0,0
69,4009,  ЕРВ ТУРИСТИЧЕСКОЕ СТРАХОВАНИЕ,Москва,22578,0,0,0,0,0,22578,20722,20722,0,0,0,1856,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,97,0,1759,0,0,0,0,0,0,0,0
70,2447,  ЖЕЛЕЗНОДОРОЖНЫЙ СТРАХОВОЙ ФОНД,Нижний Новгород,39782,0,0,0,0,0,39782,33091,32422,0,0,669,6691,6630,29,293,0,0,5888,0,0,101,319,61,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
71,2456,  ЗАБАЙКАЛМЕДСТРАХ,Чита,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1947,  ЗАПОЛЯРЬЕ,Салехард,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1083,  ЗЕТТА СТРАХОВАНИЕ,Москва,1236380,41482,0,0,0,0,918164,259142,168084,0,0,91058,659022,368338,69801,5,0,0,393,2357,0,39133,256649,149926,2264,2264,0,0,0,0,26,87,147377,172,6,140752,0,0,0,318216,313473,3225,1518,0
74,3616,  ИНВЕСТ-ПОЛИС,Королев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2401,  ИНВЕСТСТРАХ,Москва,31231,0,0,0,0,0,31231,27254,9973,0,0,17281,3977,2695,44,0,0,0,0,16,11,729,1906,1280,1,1,0,0,0,0,0,126,899,254,0,2,0,0,0,0,0,0,0,0
76,425,  ИНГВАР,Москва,313,0,0,0,0,0,313,4,4,0,0,0,309,280,0,0,0,0,138,0,0,115,27,28,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0
77,928,  ИНГОССТРАХ,Москва,5350967,88059,0,0,0,0,2157025,690616,548338,1131,0,142278,1466409,943888,446922,638,284,835,69377,212,0,36696,388924,440688,201807,201807,0,3,354,741,265,1628,234975,915,221,81612,0,0,0,3193942,3163711,23699,6532,0
78,3823,  ИНГОССТРАХ-ЖИЗНЬ,Москва,98097,0,21045,20040,0,1005,77052,77052,76435,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3837,  ИНГОССТРАХ-М,Москва,3,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2169,  ИНЕРТЕК,Санкт-Петербург,105,0,0,0,0,0,105,34,34,0,0,0,71,70,9,0,0,0,20,0,0,27,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,2031,  ИНКО-МЕД,Воронеж,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,870,  ИНТАЧ СТРАХОВАНИЕ,Москва,203962,1184,0,0,0,0,152919,60414,58910,0,0,1504,92505,45634,28995,0,0,0,0,0,0,0,16639,19014,11789,11789,0,0,0,0,0,0,7225,0,0,27857,0,0,0,51043,51043,0,0,0
83,902,  КАЙРОС,Петропавловск-Камчатский,4,0,0,0,0,0,4,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,3175,  КАПИТАЛ ПЕРЕСТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1298,  КАПИТАЛ СТРАХОВАНИЕ,Когалым,38580,4,0,0,0,0,10177,1666,187,0,0,1479,8511,5828,3624,11,4,21,12,0,0,694,1462,2535,1554,1554,0,0,13,53,79,1,835,0,19,129,0,0,0,28403,24555,3813,35,0
86,3645,  КАПИТАЛ-ЛАЙФ,Москва,61882,0,61623,61555,23169,68,259,259,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1336,  КАПИТАЛ-ПОЛИС,Санкт-Петербург,21427,0,0,0,0,0,21427,10821,6901,0,0,3920,10606,5245,4554,0,0,0,293,0,0,136,262,841,315,315,0,0,0,0,1,331,194,0,0,4520,0,0,0,0,0,0,0,0
88,2875,  КАПИТАЛ-ПОЛИС МЕДИЦИНА,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,507,  КОЛЫМСКАЯ,Хабаровск,174352,0,111130,110877,0,253,63222,63222,26939,0,0,36283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
