Сведения о количестве заявленных страховых случаев,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
,,,,,,,,,,,,,"пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",работников налоговых органов,,,Всего,в том числе,,,,,,,,,Всего,в том числе,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельско-хозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),      из него:,,владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,,"владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования «Зеленая карта»)","владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования «Зеленая карта»)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68
ИТОГО:,,,,28407405,430070,702148,240487,61522,461661,24848092,23254638,768474,137,126,22486164,1593454,1460214,1069597,7498,603,693,61500,3856,198,31742,284725,34731,13441,10105,3310,3055,747,831,61,2412,12105,2079,850,97659,69103,69103,0,2788062,2778113,2475,7474,0
1,2496,  АБСОЛЮТ СТРАХОВАНИЕ,Москва,18830,1177,0,0,0,0,18237,15553,1342,0,0,14211,2684,2506,2001,0,0,33,87,0,0,156,229,164,9,9,0,5,0,15,0,58,76,1,1,13,0,0,0,593,592,0,1,0
2,796,  АВАНГАРД-ГАРАНТ,Москва,106,0,0,0,0,0,106,0,0,0,0,0,106,106,91,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3290,  АДВАНТ-СТРАХОВАНИЕ,Санкт-Петербург,8291,215,0,0,0,0,8291,7957,129,0,0,7828,334,281,248,0,0,2,2,0,0,22,7,53,3,3,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
4,585,  АДОНИС,Пермь,7815,0,0,0,0,0,4451,3658,1437,0,0,2221,793,782,630,0,0,0,2,32,0,32,86,10,10,10,0,0,0,0,0,0,0,0,0,1,0,0,0,3364,3354,3,7,0
5,3947,  АИГ СТРАХОВАЯ КОМПАНИЯ,Москва,418,0,0,0,0,0,418,26,26,0,0,0,392,176,3,0,0,0,109,0,0,63,1,196,1,1,0,0,0,0,0,0,195,0,0,20,0,0,0,0,0,0,0,0
6,3867,  АК БАРС СТРАХОВАНИЕ,Казань,7636,1,0,0,0,0,7636,5506,5490,0,0,16,2130,2061,159,0,0,0,11,495,0,37,1359,67,0,0,0,0,20,0,0,2,45,0,0,2,0,0,0,0,0,0,0,0
7,3943,  АК БАРС-МЕД,Казань,28817,1111,0,0,0,0,28817,28817,0,0,0,28817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3572,  АКЦЕПТ,Люберцы,413,0,0,0,0,0,413,29,29,0,0,0,384,384,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3859,  АЛЛЕГА,Симферополь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2239,  АЛЬФАСТРАХОВАНИЕ,Москва,5025408,696,0,0,0,0,4876402,4710730,12270,0,0,4698460,165672,137224,85431,928,60,38,527,116,24,1800,48324,3349,1896,1277,619,0,289,133,0,98,927,6,108,24991,3,3,0,149003,148725,53,225,0
11,193,  АЛЬФАСТРАХОВАНИЕ - ОМС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3447,  АЛЬФАСТРАХОВАНИЕ-ЖИЗНЬ,Москва,14543,87,13948,13852,0,96,595,595,98,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,290,  АЛЬЯНС,Москва,18054,27,0,0,0,0,18049,2503,1305,18,0,1198,15546,2068,168,77,4,13,1423,0,0,312,71,205,38,37,1,0,22,18,0,1,125,1,4,13269,0,0,0,5,0,0,5,0
14,3828,  АЛЬЯНС ЖИЗНЬ,Москва,257721,24090,3266,3266,126,0,254455,254455,1523,0,0,252932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2699,  АЛЬЯНС-МЕД,Сызрань,2,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,436,  АМТ СТРАХОВАНИЕ,Москва,15,11,0,0,0,0,15,0,0,0,0,0,15,7,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,66,  АНГАРА,Братск,7120,0,0,0,0,0,910,772,671,0,0,101,138,135,99,0,0,0,0,0,0,10,26,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6210,6210,0,0,0
18,2982,  АНДРОМЕДА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1858,  АРМЕЕЦ,Москва,19981,463,0,0,0,0,1755,925,322,0,0,603,830,821,722,0,0,1,0,0,0,4,94,9,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,18226,18226,0,0,0
20,4324,  АРСЕНАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3193,  АРСЕНАЛЪ,Москва,20089,0,0,0,0,0,5980,5636,333,0,0,5303,344,36,0,0,2,1,1,0,0,21,11,94,0,0,0,0,0,0,0,0,52,42,0,214,14109,14109,0,0,0,0,0,0
22,2489,  АСКО,Набережные Челны,22323,164,0,0,0,0,9047,7763,1797,0,0,5966,1284,1265,1038,0,0,0,12,21,7,33,161,13,5,5,0,0,0,0,0,1,7,0,0,6,0,0,0,13276,13253,0,23,0
23,3999,  АСКО-ЖИЗНЬ,Набережные Челны,33811,0,33771,33771,0,0,40,40,35,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,278,  АСКОМЕД,Самара,7347,0,0,0,0,0,7347,7347,0,0,0,7347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3767,  АСКОР,Москва,77,0,0,0,0,0,77,8,8,0,0,0,69,66,64,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
26,2144,  АСКО-ЦЕНТР,Курск,699,115,0,0,0,0,699,564,55,0,0,509,135,134,122,0,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,1372,  АСТРАМЕД-МС,Екатеринбург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,758,  АСТРА-МЕТАЛЛ,Магнитогорск,29244,0,0,0,0,0,29244,29244,0,0,0,29244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2619,  АСТРО-ВОЛГА,Самара,8956,0,0,0,0,0,2512,2118,306,0,0,1812,394,368,333,0,0,0,0,0,0,5,30,26,8,8,0,0,0,0,0,0,18,0,0,0,0,0,0,6444,6444,0,0,0
30,2684,  АСТРО-ВОЛГА-МЕД,Самара,2242,0,0,0,0,0,2242,2242,0,0,0,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4334,  АТРАДИУС РУС КРЕДИТНОЕ СТРАХОВАНИЕ,Москва,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
32,518,  БАСК,Белово,54984,0,0,0,0,0,52608,52525,347,0,0,52178,83,82,66,0,0,0,2,0,0,2,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,2373,3,0,0
33,3487,  БИН СТРАХОВАНИЕ,Москва,4076,0,0,0,0,0,2724,1818,829,0,0,989,906,459,209,0,0,0,4,0,0,23,223,144,18,18,0,0,1,0,1,3,117,4,0,303,0,0,0,1352,1299,0,53,0
34,3991,  БЛАГОСОСТОЯНИЕ,Москва,9786,254,773,636,0,137,9013,9013,8140,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1207,  БЛАГОСОСТОЯНИЕ ОБЩЕЕ СТРАХОВАНИЕ,Москва,12596,13,0,0,0,0,12593,1183,548,0,0,635,11410,11123,3,0,0,0,0,0,0,0,11120,19,0,0,0,0,0,0,0,0,19,0,0,268,0,0,0,3,3,0,0,0
36,3064,  БОРОВИЦКОЕ СТРАХОВОЕ ОБЩЕСТВО,Москва,172,0,0,0,0,0,44,33,0,0,0,33,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0
37,3799,  БРИТАНСКИЙ СТРАХОВОЙ ДОМ,Москва,9615,0,0,0,0,0,9615,9207,18,0,0,9189,408,391,344,0,0,0,2,0,0,42,3,15,1,1,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0
38,3245,  ВЕРНА,Краснодар,9850,0,0,0,0,0,2970,2613,454,0,0,2159,357,336,300,0,0,0,1,1,0,15,19,10,0,0,0,0,0,0,0,2,7,1,0,11,0,0,0,6880,6880,0,0,0
39,4170,  ВИС,Махачкала,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3561,  ВИТАЛ-ПОЛИС,Москва,5648,0,0,0,0,0,5648,5636,2,0,0,5634,12,12,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3826,  ВИТА-СТРАХОВАНИЕ,Сургут,3388,0,1547,1511,0,36,1841,1841,65,0,0,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3570,  ВОСТОЧНО-СТРАХОВОЙ АЛЬЯНС,Владивосток,271,0,0,0,0,0,271,271,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,433,  ВОСТСИБЖАСО,Иркутск,3270,0,0,0,0,0,3270,2992,1511,0,0,1481,278,266,48,0,0,0,0,0,0,4,214,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
44,621,  ВСК,Москва,514347,4792,0,0,0,0,285089,193159,48273,0,0,144886,91930,88939,79476,1,8,1,1483,64,3,1367,6539,2732,1546,813,733,1,3,1,0,22,761,398,2,257,0,0,0,229258,228868,26,364,0
45,3866,  ВСК-ЛИНИЯ ЖИЗНИ,Москва,6909,0,1035,406,0,629,141,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5733,5733,0,0,0,0,0,0
46,3978,  ВСК-МИЛОСЕРДИЕ,Москва,1905,0,0,0,0,0,1905,1905,0,0,0,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2890,  ВТБ МС,Москва,3557,21,0,0,0,0,3557,3557,0,0,0,3557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3398,  ВТБ СТРАХОВАНИЕ,Москва,298143,0,0,0,0,0,295254,185814,65304,0,0,120510,109440,101372,4157,28,32,10,167,0,0,387,96591,1294,190,187,3,0,2,0,0,268,831,3,2,6772,1542,1542,0,1347,1265,15,67,0
49,3995,  ВТБ СТРАХОВАНИЕ ЖИЗНИ,Москва,698,3,698,650,7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3780,  ВЫРУЧИМ!,Екатеринбург,679,0,0,0,0,0,679,40,38,0,0,2,639,637,632,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
51,630,  ГАЙДЕ,Санкт-Петербург,54820,1,0,0,0,0,41669,35429,375,0,0,35054,6240,6180,6092,0,0,0,2,0,0,16,70,48,43,43,0,0,0,0,0,0,5,0,0,12,0,0,0,13151,13111,0,40,0
52,4169,  ГАРАНТИЯ ИНВЕСТИЦИЙ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,397,  ГЕЛИОС,Москва,22460,0,0,0,0,0,9836,6905,1532,0,0,5373,2931,2675,2333,0,0,1,12,0,0,80,249,120,24,24,0,0,0,0,0,0,72,24,0,136,0,0,0,12624,12621,3,0,0
54,448,  ГЕОПОЛИС,Москва,529544,0,454643,0,0,454643,74901,74901,0,0,0,74901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2397,  ГЕОПОЛИС,Москва,8745,0,0,0,0,0,7931,4075,0,0,0,4075,3856,3847,3830,0,0,0,0,0,0,0,17,9,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,814,814,0,0,0
56,2071,  ГОРОДСКАЯ СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ,Санкт-Петербург,10827,40,0,0,0,0,10827,10827,0,0,0,10827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3678,  ГРАЖДАНСКИЙ СТРАХОВОЙ ДОМ,Москва,409,0,0,0,0,0,409,366,0,0,0,366,43,42,40,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2042,  ГРАНТА,Казань,1830,0,0,0,0,0,1830,311,70,0,0,241,1519,1481,1454,0,0,0,0,0,0,11,16,30,0,0,0,0,0,0,0,15,15,0,0,8,0,0,0,0,0,0,0,0
59,1284,  ГРУППА РЕНЕССАНС СТРАХОВАНИЕ,Москва,418463,12295,0,0,0,0,362847,248951,1510,0,0,247441,113896,106607,67616,0,0,13,37829,0,0,351,798,1629,1319,1319,0,0,0,3,0,14,293,0,0,5660,0,0,0,55616,55595,2,19,0
60,1820,  ГУТА-СТРАХОВАНИЕ,Москва,591,0,0,0,0,0,308,87,29,0,0,58,221,165,158,0,0,0,0,0,0,4,3,53,28,27,0,0,0,0,0,1,21,3,0,3,0,0,0,283,282,0,1,0
61,2214,  ДАЛЬАКФЕС,Владивосток,15843,0,0,0,0,0,1110,594,504,0,0,90,516,510,417,0,0,0,1,0,0,63,29,4,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,14733,14733,0,0,0
62,55,  ДАЛЬЖАСО,Хабаровск,2408,0,0,0,0,0,2408,2207,546,0,0,1661,201,163,112,0,0,0,14,0,0,15,22,38,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0,0,0,0,0,0
63,2027,  ДВАДЦАТЬ ПЕРВЫЙ ВЕК,Санкт-Петербург,4850,208,0,0,0,0,830,403,403,0,0,0,427,316,296,0,0,0,7,0,0,5,8,111,105,0,105,0,0,0,0,0,6,0,0,0,0,0,0,4020,4020,0,0,0
64,3870,  ДЕЛО ЖИЗНИ,Москва,820,0,510,510,0,0,310,310,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1363,  ДИАМАНТ,Москва,98,0,0,0,0,0,78,0,0,0,0,0,78,78,77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0
66,206,  ДИАНА,Ангарск,3496,0,0,0,0,0,3496,3429,405,0,0,3024,67,66,18,0,0,0,2,0,0,12,34,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,1412,  Д2  СТРАХОВАНИЕ,Новосибирск,3160,0,0,0,0,0,3149,2616,317,0,0,2299,533,490,1,0,0,0,0,0,0,28,461,27,0,0,0,0,0,0,0,0,27,0,0,16,0,0,0,11,11,0,0,0
68,3954,  ЕВРОИНС,Смоленск,18824,1596,0,0,0,0,10124,7371,196,0,0,7175,2753,1221,1093,0,0,0,2,86,0,6,34,137,0,0,0,0,0,0,0,80,55,2,0,1395,0,0,0,8700,8700,0,0,0
69,4009,  ЕРВ ТУРИСТИЧЕСКОЕ СТРАХОВАНИЕ,Москва,63814,0,0,0,0,0,63814,63768,63768,0,0,0,46,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,11,0,0,0,0,0,0,0,0
70,2447,  ЖЕЛЕЗНОДОРОЖНЫЙ СТРАХОВОЙ ФОНД,Нижний Новгород,236,0,0,0,0,0,236,195,112,0,0,83,41,40,4,24,0,0,6,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,2456,  ЗАБАЙКАЛМЕДСТРАХ,Чита,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1947,  ЗАПОЛЯРЬЕ,Салехард,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1083,  ЗЕТТА СТРАХОВАНИЕ,Москва,43847,2303,0,0,0,0,27756,10317,2767,0,0,7550,17439,16658,13557,0,0,0,97,67,0,1573,1364,110,15,15,0,0,0,0,0,2,91,2,0,671,0,0,0,16091,16038,2,51,0
74,3616,  ИНВЕСТ-ПОЛИС,Королев,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
75,2401,  ИНВЕСТСТРАХ,Москва,2183,0,0,0,0,0,2183,1894,187,0,0,1707,289,21,4,0,0,0,0,0,0,3,14,268,0,0,0,0,0,0,0,3,0,265,0,0,0,0,0,0,0,0,0,0
76,425,  ИНГВАР,Москва,2050,0,0,0,0,0,2050,0,0,0,0,0,2050,2050,0,0,0,0,2049,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,928,  ИНГОССТРАХ,Москва,5480247,214471,0,0,0,0,5224887,5011730,981,102,0,5010749,213157,204793,194527,254,63,232,3575,11,0,1678,4453,7499,1995,1995,0,1942,16,415,1,1103,2012,15,4,861,0,0,0,255360,254447,428,485,0
78,3823,  ИНГОССТРАХ-ЖИЗНЬ,Москва,4875,0,702,186,0,516,4173,4173,4173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3837,  ИНГОССТРАХ-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2169,  ИНЕРТЕК,Санкт-Петербург,7,0,0,0,0,0,7,1,1,0,0,0,6,3,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
81,2031,  ИНКО-МЕД,Воронеж,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,870,  ИНТАЧ СТРАХОВАНИЕ,Москва,12584,187,0,0,0,0,8149,770,617,0,0,153,7379,7159,7006,0,0,0,0,0,0,0,153,51,33,33,0,0,0,0,0,0,18,0,0,169,0,0,0,4435,4435,0,0,0
83,902,  КАЙРОС,Петропавловск-Камчатский,15,0,0,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3175,  КАПИТАЛ ПЕРЕСТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1298,  КАПИТАЛ СТРАХОВАНИЕ,Когалым,40694,379,0,0,0,0,38916,36600,183,0,0,36417,2316,2295,2209,0,0,1,55,0,0,10,20,19,2,2,0,0,0,2,5,0,10,0,2,0,0,0,0,1778,1762,3,13,0
86,3645,  КАПИТАЛ-ЛАЙФ,Москва,1372,0,1372,1346,250,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1336,  КАПИТАЛ-ПОЛИС,Санкт-Петербург,258314,0,0,0,0,0,258314,256512,42,0,0,256470,1802,1764,1089,0,0,0,661,0,0,9,5,4,3,3,0,0,0,0,0,0,1,0,0,34,0,0,0,0,0,0,0,0
88,2875,  КАПИТАЛ-ПОЛИС МЕДИЦИНА,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,507,  КОЛЫМСКАЯ,Хабаровск,6044,7,3385,3302,0,83,2659,2659,1374,0,0,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1867,  КОМЕСТРА-ТОМЬ,Томск,12078,0,0,0,0,0,12078,10972,599,0,0,10373,1106,1065,994,0,0,0,1,0,0,20,50,41,1,1,0,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0
91,3993,  КОМПАНИЯ БАНКОВСКОГО СТРАХОВАН,Москва,555,0,0,0,0,0,555,157,0,0,0,157,398,77,0,0,0,0,0,0,0,0,77,1,0,0,0,0,0,0,0,0,1,0,0,320,0,0,0,0,0,0,0,0
92,3059,  КОМПАНИЯ ПРОМЫШЛЕННО-ТОРГОВОГО,Новокузнецк,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
