Сведения о количестве действовавших на конец отчетного периода договоров страхования в разрезе страховщиков,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
Дата составления отчета: 26.02.2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: Январь-Декабрь 2018 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,единица
,,,,Добровольное и обязательное страхование (кроме обязательного медицинского страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,I. Добровольное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II. Обязательное страхование  ,,,,,,,
,,,,,,Страхование жизни,,,,"Страхование иное, чем страхование жизни",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное личное страхование,,,Обязательное имущественное страхование,,,,
,,,,,,,в том числе,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,в том числе,,,в том числе,,,
,,,,,,,,из него,,,личное страхование,,,,,Имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,в том числе,,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,из него,,,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,государственное,,,,,,
,,,,,,,,,,,,,,,,,,в том числе,,,,,,,,,,в том числе,,,,,,,,,,,,, страхование жизни и,иные виды,,гражданской,гражданской,гражданской,иные виды
,,,,,,,,,,,,,"пациентов,",,,,,,,,,,,из него,,,,,из него,,,,,,,,,,,Всего,здоровья, обязательного личного,Всего,ответственности,ответственности,ответственности,обязательного
№ п/п,Рег №,Наименование,Город,Всего,из них страхование,,страхование жизни,,,Всего,,,участвующих в,,,,,,,,,,,,,,,владельцев средств,,,,,,,,,,страхование,страхование,,военнослужащих и," страхования,",,владельцев,владельца опасного,перевозчика за,имущественного
,,,,,нерезидентов,Всего,(кроме,страхование жизни,пенсионное страхование,,Всего,от несчастных,клинических,,,,,,,,,,,,,,Всего,наземного транспорта,владельцев,владельцев,,,,,,,за неисполнение или,предпринимательских,финансовых рисков,,приравненных к ним в, предусмотренные,,транспортных средств,объекта за причинение,причинение вреда,"страхования,"
,,,,,,,пенсионного), заемщика,,,,случаев и болезней,исследованиях,работников,медицинское,Всего,,средств наземного,,,,,,,,,, (кроме средств,автотранспортных,автотранспортных,владельцев средств,владельцев средств,владельцев средств,"организаций,",за причинение вреда,за причинение вреда,ненадлежащее,рисков,,,обязательном, федеральными,,,вреда в результате," жизни, здоровью,",предусмотренные
,,,,,,, страхования)-всего,,,,,,лекарственного,налоговых органов,страхование,,Всего,транспорта,средств,,,,,"страхование,",,,, железнодорожного, средств (кроме, средств (страхования,железнодорожного,воздушного транспорта,водного транспорта,эксплуатирующих,вследствие недостатков,третьим лицам,исполнение,,,,государственном,законами,,,аварии на опасном, имуществу пассажиров,федеральными
,,,,,,,,,,,,,препарата для,,,,,(кроме средств,железнодорожного,средств воздушного,средств водного,грузов,сельскохозяйственное,осуществляемое с,прочего имущества,прочего имущества,,транспорта)," страхования,", осуществляемого в,транспорта,,,опасные объекты,"товаров, работ, услуг",, обязательств по,,,, страховании лиц,,,, объекте,,законами
,,,,,,,,,,,,,медицинского,,,,,железнодорожного,транспорта,транспорта,транспорта,,страхование - всего,государственной,юридических лиц,граждан,,, осуществляемого в,рамках международной,,,,,,, договору,,,,,,,,,,
,,,,,,,,,,,,,применения,,,,,транспорта),,,,,, поддержкой,,,,,рамках международной, системы страхования,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,, системы страхования," ""Зеленая карта"")",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ""Зеленая карта"")",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
ИТОГО:,,,,135031259,1436365,8950097,8915437,4133344,34660,87813561,35068922,27049626,1439,0,8019296,52744639,39540453,4637483,4978,1534,3353,211208,63680,517,500224,34117993,7541827,907912,755740,152083,20,2908,4163,2360,51457,5977612,595395,24401,5637958,6,6,0,38267595,37984252,228463,54880,0
1,4192," ОВС ""Народные кассы""",Москва,22733,0,0,0,0,0,22733,0,0,0,0,0,22733,75,0,0,0,0,0,0,0,13,62,29,0,0,0,0,0,0,0,0,0,29,0,22629,0,0,0,0,0,0,0,0
2,4179," ООО ""СК"" Райффайзен Лайф""",Москва,145017,748,88873,88873,55776,0,56144,56144,43342,0,0,12802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0191,"АО  ""Тинькофф  Страхование""",Москва,534922,0,0,0,0,0,429912,331400,331400,0,0,0,98512,72307,52254,0,0,0,0,0,0,1,20052,8254,4066,4066,0,0,0,0,0,0,4188,0,0,17951,0,0,0,105010,105010,0,0,0
4,0212,"АО  ""Цюрих надежное страхование""",Москва,1191,111,0,0,0,0,1191,16,16,0,0,0,1175,376,3,0,0,0,116,0,0,250,7,492,2,2,0,0,0,0,0,152,338,0,117,190,0,0,0,0,0,0,0,0
5,3991,"АО  СК  ""Ренессанс здоровье""",Москва,202912,1889,7720,4440,0,3280,195192,195192,192219,0,0,2973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3947,"АО ""АИГ""",Москва,1385,0,0,0,0,0,1180,1,1,0,0,0,1179,238,1,0,0,0,76,0,0,161,0,506,19,19,0,0,0,0,0,0,487,0,0,435,0,0,0,205,0,205,0,0
7,2239,"АО ""АльфаСтрахование""",Москва,17657402,3416,0,0,0,0,11788309,3456259,3265198,25,0,191061,8332050,6806048,313419,632,139,399,413,241,26,19733,6471072,866676,68623,33941,34682,0,114,358,120,544,793851,3066,1120,658206,0,0,0,5869093,5849347,17614,2132,0
8,3064,"АО ""Боровицкое страховое общество""",Москва,88049,35572,0,0,0,0,61475,58490,23086,0,0,35404,2985,1921,549,0,0,0,2,0,0,454,916,1064,7,7,0,0,0,0,0,130,486,441,0,0,0,0,0,26574,26574,0,0,0
9,0433,"АО ""ВостСибЖАСО""",Иркутск,32157,0,0,0,0,0,32157,20379,20066,0,0,313,11778,10708,77,0,0,0,41,0,0,318,10272,1066,0,0,0,0,0,0,0,0,1066,0,0,4,0,0,0,0,0,0,0,0
10,1284,"АО ""Группа Ренессанс Страхование""",Москва,2189043,180964,0,0,0,0,1260823,720631,246065,0,0,474566,540192,355912,201101,9,0,50,144,0,0,5095,149513,127002,68225,68225,0,0,0,10,2,125,58639,1,0,57278,0,0,0,928220,926250,1720,250,0
11,4014,"АО ""ГСК ""Югория-Жизнь""",Ханты-Мансийск,4538,0,3712,3712,0,0,826,826,824,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3211,"АО ""ГСК ""Югория""",Ханты-Мансийск,1727365,0,0,0,0,0,790954,360404,261932,4,0,98472,430550,383588,180419,0,0,3,922,126,0,2129,199989,44593,387,387,0,0,0,14,1,22,43884,285,14,2355,0,0,0,936411,935114,1125,172,0
13,2071,"АО ""ГСМК""",Санкт-Петербург,380,348,0,0,0,0,380,380,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1820,"АО ""ГУТА-Страхование""",Москва,2738,0,0,0,0,0,2738,815,790,0,0,25,1923,1355,63,0,0,1,0,0,0,120,1171,96,0,0,0,0,0,1,1,0,16,78,0,472,0,0,0,0,0,0,0,0
15,1412,"АО ""Д2  Страхование""",Новосибирск,241483,3551,0,0,0,0,241483,76659,71813,0,0,4846,164824,76685,137,0,0,0,25,0,0,1046,75477,49824,0,0,0,0,0,0,0,0,49824,0,0,38315,0,0,0,0,0,0,0,0
16,0055,"АО ""ДальЖАСО""",Хабаровск,32142,0,0,0,0,0,32142,29038,7682,0,0,21356,3104,2427,109,0,0,1,868,0,0,417,1032,677,5,5,0,0,0,3,0,0,422,247,0,0,0,0,0,0,0,0,0,0
17,4009,"АО ""ЕРВ Туристическое Страхование""",Москва,24493,0,0,0,0,0,24493,22621,22621,0,0,0,1872,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,101,0,1771,0,0,0,0,0,0,0,0
18,1427,"АО ""МАКС""",Москва,1868271,0,0,0,0,0,566954,413376,373394,0,0,39982,153578,134833,81005,4,2,20,20,6,0,2279,51497,17315,8591,8591,0,0,15,0,84,230,8179,216,95,1335,0,0,0,1301317,1298645,1661,1011,0
19,3256,"АО ""МетЛайф""",Москва,831581,0,172599,169730,118552,2869,658982,658982,417382,0,0,241600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3116,"АО ""НАСКО""",Казань,1627773,0,0,0,0,0,630881,407062,374368,0,0,32694,223819,158522,13172,5,0,8,9,6085,0,2971,136272,24837,159,151,0,0,52,78,15,282,22552,1699,12,40448,0,0,0,996892,990866,2940,3086,0
21,2346,"АО ""ОСК""",Самара,341111,15,0,0,0,0,97949,42736,31080,0,0,11656,55213,44321,18857,2,4,95,90,10,0,4233,21030,8375,1213,1213,0,0,87,53,4,340,6550,128,3,2514,0,0,0,243162,242419,611,132,0
22,3748,"АО ""Русский Стандарт Страхование""",Москва,702729,0,266336,266336,0,0,436393,436393,364900,0,0,71493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3889,"АО ""СГ ""ПРЕСТИЖ-ПОЛИС""",Москва,23,0,0,0,0,0,23,1,1,0,0,0,22,8,8,0,0,0,0,0,0,0,0,14,1,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
24,1207,"АО ""СК  БЛАГОСОСТОЯНИЕ ОС""",Москва,1229173,91,0,0,0,0,1229173,256822,210429,0,0,46393,972351,474247,149,0,0,0,0,0,0,0,474098,261020,0,0,0,0,0,0,0,0,261020,0,0,237084,0,0,0,0,0,0,0,0
25,2619,"АО ""СК ""Астро-Волга""",Самара,591496,0,0,0,0,0,115978,82763,78177,0,0,4586,33215,29353,23093,0,0,7,82,7,0,187,5977,3860,1,1,0,0,0,0,0,10,3848,1,0,2,0,0,0,475518,475518,0,0,0
26,0507,"АО ""СК ""Колымская""",Хабаровск,159940,4901,97601,97238,0,363,62339,62339,37449,0,0,24890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0915,"АО ""СК ""ПАРИ""",Москва,301969,0,0,0,0,0,267784,99804,63034,0,0,36770,167980,140462,4749,21,3,23,55843,0,0,10430,69393,14373,4567,4567,0,0,16,96,18,650,8277,749,38,13107,0,0,0,34185,32684,1406,95,0
28,0552,"АО ""СК ""Чувашия-Мед""",Чебоксары,836,0,0,0,0,0,836,836,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0630,"АО ""СК ГАЙДЕ""",Санкт-Петербург,557977,0,0,0,0,0,222954,181930,114943,0,0,66987,41024,31296,14685,0,0,18,710,0,0,1178,14705,4625,1843,1843,0,0,0,0,0,4,1518,1260,0,5103,0,0,0,335023,333122,510,1391,0
30,2359,"АО ""СК УСПЕХ""",Москва,132,0,0,0,0,0,132,97,19,0,0,78,35,17,0,0,0,0,0,0,0,9,8,2,0,0,0,0,0,0,0,0,2,0,11,5,0,0,0,0,0,0,0,0
31,2873,"АО ""СМК ""Сахамедстрах""",Якутск,936,599,0,0,0,0,936,936,0,0,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1587,"АО ""СО ""Талисман""",Казань,150373,0,0,0,0,0,7741,5372,5372,0,0,0,2369,1972,1105,0,3,0,0,60,23,144,660,393,0,0,0,0,3,0,0,6,384,0,0,4,0,0,0,142632,142632,0,0,0
33,1208,"АО ""СОГАЗ""",Москва,5588143,0,0,0,0,0,2719573,1379901,919232,0,0,460669,1339672,989296,168984,1081,384,493,2321,314,16,48744,766975,209556,25630,25630,0,3,683,517,564,5720,175737,702,2004,138816,4,4,0,2868566,2807303,53217,8046,0
34,3229,"АО ""Страховая бизнес группа""",Воронеж,45246,20,0,0,0,0,18671,17310,15874,0,0,1436,1361,646,33,0,2,4,20,0,0,338,249,652,0,0,0,0,15,3,0,227,357,50,0,63,0,0,0,26575,25285,768,522,0
35,0796,"АО ""Страховая группа  АВАНГАРД - ГАРАНТ""",Москва,383,0,0,0,0,0,383,4,4,0,0,0,379,373,318,0,0,0,0,4,4,51,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2354,"АО ""Страховая группа ""Спасские ворота-М""",Москва,2640,0,0,0,0,0,2640,2640,0,0,0,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0983,"АО ""Страховая группа ""УралСиб""",Москва,83331,4,0,0,0,0,83331,58733,32142,0,0,26591,24598,17084,0,1,0,0,8,0,0,530,16545,7176,0,0,0,0,0,0,0,0,6220,956,0,338,0,0,0,0,0,0,0,0
38,3390,"АО ""Страховая Компания  ""ПОЛИС-ГАРАНТ""",Москва,41847,0,0,0,0,0,16660,5939,2243,0,0,3696,10721,5067,2819,0,0,0,4,0,0,119,2125,2350,2178,2178,0,0,0,0,0,35,134,3,0,3304,0,0,0,25187,25187,0,0,0
39,3230,"АО ""Страховая компания  ""СОГАЗ-Мед""",Москва,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0206,"АО ""Страховая Компания ""СОЛИДАРНОСТЬ""",Ангарск,29425,0,0,0,0,0,29425,24910,4364,0,0,20546,4515,3920,51,0,0,0,1,0,0,389,3479,595,0,0,0,0,0,0,10,21,564,0,0,0,0,0,0,0,0,0,0,0
41,2144,"АО ""Страховая компания АСКО-Центр""",Курск,144453,2,0,0,0,0,144453,100768,95601,0,0,5167,43685,43447,42138,0,0,0,1,28,0,574,706,198,0,0,0,0,0,0,0,0,198,0,0,40,0,0,0,0,0,0,0,0
42,3987,"АО ""УРАЛСИБ Жизнь""",Москва,90763,0,90047,89800,64550,247,716,716,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3995,АО ВТБ Страхование жизни,Москва,110812,275,110754,110750,1108,4,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
