Сведения о количестве урегулированных страховых случаев,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
,,,,,,,,,,,,,"пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",работников налоговых органов,,,Всего,в том числе,,,,,,,,,Всего,в том числе,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,"сельско-
хозяйственное страхование - всего",из него,прочего имущества юридических лиц,прочего имущества граждан,,"владельцев средств наземного транспорта 
(кроме средств железнодорожного транспорта)",      из него:,,владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,,"владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования «Зеленая карта»)","владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования «Зеленая карта»)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
ИТОГО:,,,,28480733,429166,693381,230461,57614,462920,24907219,23390806,705666,115,106,22685140,1516413,1383585,1033475,2157,279,753,59620,3821,194,21780,261700,32833,14498,11166,3249,2902,690,970,46,1663,10262,1802,760,99235,67260,67260,0,2812873,2804881,1933,6059,0
1,2496,  АБСОЛЮТ СТРАХОВАНИЕ,Москва,17967,1135,0,0,0,0,17443,14631,653,0,0,13978,2812,2610,2045,0,0,26,94,0,0,149,296,138,11,11,0,1,0,10,0,50,65,1,0,64,0,0,0,524,523,0,1,0
2,796,  АВАНГАРД-ГАРАНТ,Москва,87,0,0,0,0,0,87,0,0,0,0,0,87,87,76,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3290,  АДВАНТ-СТРАХОВАНИЕ,Санкт-Петербург,8206,215,0,0,0,0,8206,7912,126,0,0,7786,294,243,211,0,0,2,1,0,0,22,7,51,3,3,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
4,585,  АДОНИС,Пермь,7305,0,0,0,0,0,4146,3607,1424,0,0,2183,539,528,396,0,0,0,1,30,0,22,79,10,9,9,0,0,0,0,0,0,1,0,0,1,0,0,0,3159,3149,3,7,0
5,3947,  АИГ СТРАХОВАЯ КОМПАНИЯ,Москва,152,0,0,0,0,0,152,11,11,0,0,0,141,109,11,0,0,0,71,0,0,26,1,29,4,4,0,0,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0
6,3867,  АК БАРС СТРАХОВАНИЕ,Казань,7638,1,0,0,0,0,7638,5501,5473,0,0,28,2137,2071,161,0,0,0,11,496,0,27,1376,64,0,0,0,0,20,0,0,2,42,0,0,2,0,0,0,0,0,0,0,0
7,3943,  АК БАРС-МЕД,Казань,23400,1002,0,0,0,0,23400,23400,0,0,0,23400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3572,  АКЦЕПТ,Люберцы,324,0,0,0,0,0,324,22,22,0,0,0,302,302,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3859,  АЛЛЕГА,Симферополь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2239,  АЛЬФАСТРАХОВАНИЕ,Москва,4995422,560,0,0,0,0,4857155,4708061,9604,0,0,4698457,149094,122101,78215,69,49,45,414,43,14,1386,41880,2606,1680,1074,606,0,255,21,0,49,597,4,19,24368,1,1,0,138266,138021,28,217,0
11,193,  АЛЬФАСТРАХОВАНИЕ - ОМС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3447,  АЛЬФАСТРАХОВАНИЕ-ЖИЗНЬ,Москва,10196,113,9585,9490,0,95,611,611,114,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,290,  АЛЬЯНС,Москва,27303,75,0,0,0,0,27284,2820,1542,20,0,1278,24464,2990,839,94,0,15,1609,67,0,293,73,533,256,221,35,0,4,115,0,1,156,1,19,20922,0,0,0,19,0,0,19,0
14,3828,  АЛЬЯНС ЖИЗНЬ,Москва,294807,27940,3113,3113,168,0,291694,291694,1530,0,0,290164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2699,  АЛЬЯНС-МЕД,Сызрань,2,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,436,  АМТ СТРАХОВАНИЕ,Москва,14,11,0,0,0,0,14,0,0,0,0,0,14,7,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,66,  АНГАРА,Братск,7098,0,0,0,0,0,893,750,649,0,0,101,143,141,104,0,0,0,0,0,0,10,27,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6205,6205,0,0,0
18,2982,  АНДРОМЕДА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1858,  АРМЕЕЦ,Москва,20917,516,0,0,0,0,1962,996,341,0,0,655,966,948,833,0,0,1,0,0,0,5,109,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18955,18955,0,0,0
20,4324,  АРСЕНАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3193,  АРСЕНАЛЪ,Москва,20935,0,0,0,0,0,5937,5605,304,0,0,5301,332,30,0,0,0,1,1,0,0,16,12,93,0,0,0,0,0,0,0,0,54,39,0,209,14998,14998,0,0,0,0,0,0
22,2489,  АСКО,Набережные Челны,22310,176,0,0,0,0,8977,7695,1699,0,0,5996,1282,1256,1023,0,0,0,9,22,8,31,171,21,13,13,0,0,0,0,0,1,7,0,0,5,0,0,0,13333,13316,0,17,0
23,3999,  АСКО-ЖИЗНЬ,Набережные Челны,33812,0,33772,33772,0,0,40,40,35,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,278,  АСКОМЕД,Самара,7300,0,0,0,0,0,7300,7300,0,0,0,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3767,  АСКОР,Москва,93,0,0,0,0,0,93,13,13,0,0,0,80,77,75,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
26,2144,  АСКО-ЦЕНТР,Курск,696,103,0,0,0,0,696,565,49,0,0,516,131,130,118,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,1372,  АСТРАМЕД-МС,Екатеринбург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,758,  АСТРА-МЕТАЛЛ,Магнитогорск,29302,0,0,0,0,0,29302,29302,0,0,0,29302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2619,  АСТРО-ВОЛГА,Самара,7981,0,0,0,0,0,2530,2063,285,0,0,1778,467,429,365,0,0,0,0,0,0,24,40,38,21,21,0,0,0,0,0,0,17,0,0,0,0,0,0,5451,5451,0,0,0
30,2684,  АСТРО-ВОЛГА-МЕД,Самара,2242,0,0,0,0,0,2242,2242,0,0,0,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4334,  АТРАДИУС РУС КРЕДИТНОЕ СТРАХОВАНИЕ,Москва,8,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
32,518,  БАСК,Белово,59781,0,0,0,0,0,57509,57430,348,0,0,57082,79,79,62,0,0,0,3,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272,2270,2,0,0
33,3487,  БИН СТРАХОВАНИЕ,Москва,4369,0,0,0,0,0,2770,1798,795,0,0,1003,972,522,289,1,0,1,3,0,0,39,189,135,24,24,0,0,0,0,1,4,103,3,0,315,0,0,0,1599,1545,0,54,0
34,3991,  БЛАГОСОСТОЯНИЕ,Москва,8224,254,338,201,0,137,7886,7886,7099,0,0,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1207,  БЛАГОСОСТОЯНИЕ ОБЩЕЕ СТРАХОВАНИЕ,Москва,7033,13,0,0,0,0,7030,1078,443,0,0,635,5952,5678,2,0,0,0,0,0,0,0,5676,19,0,0,0,0,0,0,0,0,19,0,0,255,0,0,0,3,3,0,0,0
36,3064,  БОРОВИЦКОЕ СТРАХОВОЕ ОБЩЕСТВО,Москва,135,0,0,0,0,0,41,33,0,0,0,33,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,0,0,0
37,3799,  БРИТАНСКИЙ СТРАХОВОЙ ДОМ,Москва,9670,0,0,0,0,0,9670,9185,17,0,0,9168,485,469,414,0,0,0,2,0,0,49,4,16,1,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
38,3245,  ВЕРНА,Краснодар,9003,0,0,0,0,0,3277,2962,423,0,0,2539,315,296,273,0,0,0,0,1,0,6,16,7,0,0,0,0,0,0,0,1,6,0,0,12,0,0,0,5726,5726,0,0,0
39,4170,  ВИС,Махачкала,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3561,  ВИТАЛ-ПОЛИС,Москва,5564,0,0,0,0,0,5564,5553,2,0,0,5551,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3826,  ВИТА-СТРАХОВАНИЕ,Сургут,3391,0,1554,1518,0,36,1837,1837,67,0,0,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3570,  ВОСТОЧНО-СТРАХОВОЙ АЛЬЯНС,Владивосток,273,0,0,0,0,0,273,273,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,433,  ВОСТСИБЖАСО,Иркутск,3283,0,0,0,0,0,3283,2990,1509,0,0,1481,293,281,49,0,0,0,0,0,0,4,228,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
44,621,  ВСК,Москва,504491,4780,0,0,0,0,276616,190538,44735,0,0,145803,86078,82908,75242,1,12,1,1386,55,4,1325,4886,2900,1777,896,881,1,0,0,0,24,701,397,2,268,0,0,0,227875,227463,30,382,0
45,3866,  ВСК-ЛИНИЯ ЖИЗНИ,Москва,6775,0,1022,393,0,629,136,136,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5617,5617,0,0,0,0,0,0
46,3978,  ВСК-МИЛОСЕРДИЕ,Москва,1844,0,0,0,0,0,1844,1844,0,0,0,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2890,  ВТБ МС,Москва,3557,21,0,0,0,0,3557,3557,0,0,0,3557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3398,  ВТБ СТРАХОВАНИЕ,Москва,279277,0,0,0,0,0,276263,167471,47874,0,0,119597,108792,100586,5575,14,8,28,128,2,2,256,94575,1019,174,171,3,0,2,0,0,117,724,2,2,7185,1676,1676,0,1338,1246,17,75,0
49,3995,  ВТБ СТРАХОВАНИЕ ЖИЗНИ,Москва,483,2,483,436,7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3780,  ВЫРУЧИМ!,Екатеринбург,1089,0,0,0,0,0,1089,39,37,0,0,2,1050,1047,1039,0,0,0,2,0,0,1,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
51,630,  ГАЙДЕ,Санкт-Петербург,52750,1,0,0,0,0,42194,36938,348,0,0,36590,5256,5211,5131,0,0,0,1,0,0,13,66,33,28,28,0,0,0,0,0,0,5,0,0,12,0,0,0,10556,10517,0,39,0
52,4169,  ГАРАНТИЯ ИНВЕСТИЦИЙ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,397,  ГЕЛИОС,Москва,20825,0,0,0,0,0,9402,6529,1406,0,0,5123,2873,2628,2349,0,0,0,9,0,0,67,203,107,22,22,0,0,0,0,0,0,63,22,0,138,0,0,0,11423,11421,2,0,0
54,448,  ГЕОПОЛИС,Москва,529544,0,454643,0,0,454643,74901,74901,0,0,0,74901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2397,  ГЕОПОЛИС,Москва,9083,0,0,0,0,0,8364,4306,0,0,0,4306,4058,4051,4016,0,0,0,0,0,0,1,34,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,719,719,0,0,0
56,2071,  ГОРОДСКАЯ СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ,Санкт-Петербург,14204,52,0,0,0,0,14204,14204,0,0,0,14204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3678,  ГРАЖДАНСКИЙ СТРАХОВОЙ ДОМ,Москва,452,0,0,0,0,0,452,377,0,0,0,377,75,74,60,0,0,0,0,0,0,12,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2042,  ГРАНТА,Казань,1710,0,0,0,0,0,1710,303,72,0,0,231,1407,1373,1349,0,0,0,0,0,0,9,15,29,0,0,0,0,0,0,0,15,14,0,0,5,0,0,0,0,0,0,0,0
59,1284,  ГРУППА РЕНЕССАНС СТРАХОВАНИЕ,Москва,409856,12108,0,0,0,0,358738,253671,2021,0,0,251650,105067,101025,62215,0,0,20,37204,0,0,583,1003,1625,1295,1295,0,0,0,9,0,15,306,0,0,2417,0,0,0,51118,51099,2,17,0
60,1820,  ГУТА-СТРАХОВАНИЕ,Москва,4600,0,0,0,0,0,1926,268,49,0,0,219,1658,1589,1566,0,0,0,0,2,2,14,7,65,22,22,0,0,9,0,0,1,30,3,0,4,0,0,0,2674,2672,0,2,0
61,2214,  ДАЛЬАКФЕС,Владивосток,12232,0,0,0,0,0,870,471,389,0,0,82,399,394,322,0,0,0,0,0,0,49,23,3,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,11362,11362,0,0,0
62,55,  ДАЛЬЖАСО,Хабаровск,2287,0,0,0,0,0,2287,2099,529,0,0,1570,188,151,106,0,0,0,11,0,0,13,21,37,0,0,0,0,0,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0
63,2027,  ДВАДЦАТЬ ПЕРВЫЙ ВЕК,Санкт-Петербург,4633,159,0,0,0,0,867,359,359,0,0,0,508,381,356,0,0,0,11,0,0,7,7,127,125,0,125,0,0,0,0,0,2,0,0,0,0,0,0,3766,3766,0,0,0
64,3870,  ДЕЛО ЖИЗНИ,Москва,737,0,459,459,0,0,278,278,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1363,  ДИАМАНТ,Москва,78,0,0,0,0,0,71,0,0,0,0,0,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
66,206,  ДИАНА,Ангарск,3498,0,0,0,0,0,3498,3432,401,0,0,3031,66,64,17,0,0,0,2,0,0,15,30,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
67,1412,  Д2  СТРАХОВАНИЕ,Новосибирск,3157,1,0,0,0,0,3146,2614,313,0,0,2301,532,484,1,0,0,0,0,0,0,30,453,32,0,0,0,0,0,0,0,0,32,0,0,16,0,0,0,11,11,0,0,0
68,3954,  ЕВРОИНС,Смоленск,17609,1661,0,0,0,0,9697,7179,189,0,0,6990,2518,1028,904,0,0,0,2,87,0,8,27,118,0,0,0,0,0,0,0,68,48,2,0,1372,0,0,0,7912,7912,0,0,0
69,4009,  ЕРВ ТУРИСТИЧЕСКОЕ СТРАХОВАНИЕ,Москва,50851,0,0,0,0,0,50851,50804,50804,0,0,0,47,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,37,0,10,0,0,0,0,0,0,0,0
70,2447,  ЖЕЛЕЗНОДОРОЖНЫЙ СТРАХОВОЙ ФОНД,Нижний Новгород,240,0,0,0,0,0,240,199,114,0,0,85,41,40,3,24,0,0,6,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,2456,  ЗАБАЙКАЛМЕДСТРАХ,Чита,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1947,  ЗАПОЛЯРЬЕ,Салехард,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1083,  ЗЕТТА СТРАХОВАНИЕ,Москва,44625,1939,0,0,0,0,27603,10219,2966,0,0,7253,17384,16537,14040,0,0,0,45,67,0,1097,1288,157,49,49,0,0,0,0,0,2,103,3,0,690,0,0,0,17022,16972,2,48,0
74,3616,  ИНВЕСТ-ПОЛИС,Королев,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
75,2401,  ИНВЕСТСТРАХ,Москва,2210,0,0,0,0,0,2210,1894,187,0,0,1707,316,22,4,0,0,0,0,0,0,4,14,294,0,0,0,0,0,0,0,3,0,291,0,0,0,0,0,0,0,0,0,0
76,425,  ИНГВАР,Москва,1446,0,0,0,0,0,1446,0,0,0,0,0,1446,1446,0,0,0,0,1445,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,928,  ИНГОССТРАХ,Москва,5561430,216912,0,0,0,0,5258865,5028014,984,87,0,5027030,230851,221743,210939,257,40,310,3635,11,0,2046,4505,8146,2835,2835,0,1753,25,651,13,697,2144,28,3,959,0,0,0,302565,301510,347,708,0
78,3823,  ИНГОССТРАХ-ЖИЗНЬ,Москва,5387,0,710,327,0,383,4677,4677,4677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,3837,  ИНГОССТРАХ-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2169,  ИНЕРТЕК,Санкт-Петербург,12,0,0,0,0,0,12,2,2,0,0,0,10,4,3,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
81,2031,  ИНКО-МЕД,Воронеж,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,870,  ИНТАЧ СТРАХОВАНИЕ,Москва,10805,136,0,0,0,0,6587,536,418,0,0,118,6051,5869,5759,0,0,0,0,0,0,0,110,85,72,72,0,0,0,0,0,0,13,0,0,97,0,0,0,4218,4218,0,0,0
83,902,  КАЙРОС,Петропавловск-Камчатский,11,0,0,0,0,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3175,  КАПИТАЛ ПЕРЕСТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1298,  КАПИТАЛ СТРАХОВАНИЕ,Когалым,47478,501,0,0,0,0,45776,43278,179,0,0,43099,2498,2482,2367,0,0,4,51,0,0,40,20,15,5,5,0,0,0,0,5,0,5,0,0,1,0,0,0,1702,1688,1,13,0
86,3645,  КАПИТАЛ-ЛАЙФ,Москва,456,0,456,430,151,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1336,  КАПИТАЛ-ПОЛИС,Санкт-Петербург,260544,0,0,0,0,0,260544,258760,44,0,0,258716,1784,1747,1086,0,0,0,651,0,0,8,2,3,3,3,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
88,2875,  КАПИТАЛ-ПОЛИС МЕДИЦИНА,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,507,  КОЛЫМСКАЯ,Хабаровск,5309,7,3385,3302,0,83,1924,1924,984,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1867,  КОМЕСТРА-ТОМЬ,Томск,11733,0,0,0,0,0,11733,10901,528,0,0,10373,832,815,764,0,0,0,0,0,0,11,40,17,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0
91,3993,  КОМПАНИЯ БАНКОВСКОГО СТРАХОВАН,Москва,465,0,0,0,0,0,465,157,0,0,0,157,308,51,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,1,0,0,256,0,0,0,0,0,0,0,0
92,3059,  КОМПАНИЯ ПРОМЫШЛЕННО-ТОРГОВОГО,Новокузнецк,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
