"Сведения о выплатах по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
Дата составления отчета: 17.05.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-март 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег №,Наименование страховщика,Всего*,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,Всего,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,,
ИТОГО:,,3106072.67184,0,0,160567.58176,72071.69725,0,0,88495.88451,2721221.9664,2519221.1241899994,262397.8944,279.8166,112316.61533000002,145199.78322,62921.51508,52721.11849,0,1875949.8421800004,7434.53889,33741.83018,3356.98442,496.97308,961.73674,0,3544.46839,0,2646.25859,3992.46212,19201.346400000002,1000.3102600000001,45771.83126,122487.18076999999,936.54865,9062.26542,108458.35942000001,105825.95019,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",37334.96289,0,0,0,0,0,0,0,9830.31287,6791.12308,0,0,44.04938,0,22.06896,0,0,6725.00474,0,1385.62904,333.43683,333.43683,0,0,0,0,52.38539,0,999.80682,0,1653.56075,0,,0,7654.96744,19849.68258,0
0212,"Акционерное общество Страховая компания ""Цюрих""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",217022.52479999998,0,0,343.55974,343.55974,0,0,0,216678.96506,216678.96506,7698.16412,0,0,0,402.69419,224.74872,0,208348.71602,4.64201,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",7997.91439,0,0,0,0,0,0,0,4101.92047,165.81152,0,0,0,0,0,0,0,165.81152,0,0,0,0,0,0,0,0,0,0,0,0,3936.10895,0,,0,1770.33624,2125.65768,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",16564.10434,0,0,0,0,0,0,0,16564.10434,16564.10434,0,0,16564.10434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0621,"Страховое акционерное общество ""ВСК""",29280.084450000002,0,0,0,0,0,0,0,17973.73167,10803.24731,567.87241,0,562.54757,2217.7959,104.99111,0,0,7348.07647,1.96385,0,0,0,0,0,0,0,0,0,0,0,7170.48436,0,,0,7385.89789,3920.45489,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",5471.47858,0,0,1878.20731,1878.20731,0,0,0,2041.01621,1263.54073,695.21266,0,6.41557,0,494.85491,0,0,57.99325,9.06434,777.47548,0,0,0,0,0,0,0,114.985,662.49048,0,0,0,,0,875.00644,677.24862,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",407165.26393,0,0,2414.63123,1976.88866,0,0,437.74257,380288.9954,375787.02756,13315.57239,264.24957,41288.66521,32329.91034,17837.93436,2209.1232,0,268541.57249,0,4501.96784,1760.60121,0,0,0,0,0,788.33521,187.88981,1765.14161,0,0,0,,0,8909.50227,15552.13503,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",2038.24804,0,0,0,0,0,0,0,162.01354,162.01354,144.72049,0,0,0,0.51475,0,0,16.7783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1059.74051,816.49399,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",3677.4297300000003,0,0,28.50698,28.50698,0,0,0,3648.92275,3067.40027,280.37764,0,0,0,2779.10648,0,0,7.06964,0.84651,581.52248,0,0,0,0,0,0,0,581.52248,0,0,0,0,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",385350.36687,0,0,4394.33233,4394.33233,0,0,0,357167.21055,349752.948,5844.42954,0,736.07493,2492.22262,2078.097,37253.05091,0,301349.073,0,4739.14172,137.67339,0,0,0,0,0,1645.24816,0,2956.22017,0,0,2675.12083,,0,16737.58442,7051.23957,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",120212.14569,0,0,60735.28633,199.54887,0,0,60535.73746,17301.97489,6373.22041,1194.25154,0,1.197,3600,0,49.48748,0,1524.05186,4.23253,52.38539,0,0,0,0,0,0,52.38539,0,0,0,10825.21909,51.15,,0,23187.04638,18987.83809,0
1216,"Акционерное общество Страховая компания ""Чулпан""",2728.1099600000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,651.24456,2076.8654,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",16440.62445,0,0,0,0,0,0,0,6.49186,6.49186,0,0,0,0,6.49186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8969.07443,7465.05816,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",110079.54972,0,0,518.71889,518.71889,0,0,0,105308.80772,81107.11455,96.65463,0,5911.2086,54467.69595,44.95211,0,0,20586.60326,0,2015.23506,0,0,0,0,1927.92607,0,87.30899,0,0,0,22186.45811,0,,0,2289.2631,1962.76001,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",2920.78408,0,0,0,0,0,0,0,55.26074,55.26074,0,0,19.23196,0,36.02878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1809.17894,1056.3444,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",985.17582,0,0,0,0,0,0,0,985.17582,0,0,0,0,0,0,0,0,0,0,985.17582,73.87957,73.87957,0,0,0,0,0,401.95321,509.34304,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",1800.39967,0,0,0,0,0,0,0,966.47883,4.74209,0,0,0,0,0,0,0,4.74209,0,961.73674,961.73674,0,961.73674,0,0,0,0,0,0,0,0,0,,0,199.63763,634.28321,0
1820,"Акционерное общество ""ГУТА-Страхование""",1383.85089,0,0,0,0,0,0,0,1383.85089,1383.85089,0,0,0,1383.85089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",114859.65540999999,0,0,748.13745,748.13745,0,0,0,111021.11385,110185.49267,3095.27293,0,33.36138,910.42575,362.97769,0,0,105783.45492,0,835.62118,0,0,0,0,0,0,20.59545,0,815.02573,0,0,0,,0,758.2454,2332.15871,0
