"Сведения о страховых премиях по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
Дата составления отчета: 14.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-декабрь 2021 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,,
ИТОГО:,,162443938.86143,1732336.5025800003,3.66834,7294564.830289998,2062498.0031600003,32044.961479999998,0,5232066.827129999,149181228.46048,108754538.51524,5996721.860149998,147781.67560000002,10436252.252369998,2438232.0255,6042336.55742,4552978.865000001,3645513.5164599996,78562298.97972003,577936.2994799999,19432475.278320003,203818.95879000003,63901.80903,106098.92030999999,0,5161516.260239999,1331001.6761599998,450204.93081,985785.0588599999,11185012.186449999,115136.20701,15545505.507249996,5448709.15967,0,381705.28133,2189049.7402600003,1665050.3781499998,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",6155872.21087,0,0,91481.81573,89785.1561,0,0,1696.65963,5736846.09027,5051676.21103,9379.79684,4415.00812,146029.31675,116690.60688,62384.3911,1404145.33949,1395498.43086,3274858.35625,33773.3956,580977.43039,13027.99998,480.59966,12547.40032,0,113144.92247,94887.20297,59752.58795,117108.33997,183056.37705,0,102675.33268,1517.11617,,0,222835.38669,104708.91818,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",26376.22507,0,0,5436.03932,3882.29552,0,0,1553.7438,20940.18575,20741.09575,15559.6825,0,0,0,0.87909,0,0,2892.83295,2287.70121,199.09,70.14,70.14,0,0,0,0,0,0,128.95,0,0,0,,0,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",9422.5595,0,0,0,0,0,0,0,9422.5595,9422.5595,7055.32375,0,0,0,0,0,0,615.25528,1751.98047,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
