"Сведения о вознаграждении посредникам, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Дата составления отчета: 15.08.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-июнь 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег. №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,,,,,,,,,,,,,
ИТОГО:,,137010760.4908,28738503.71603,57101.11278,49165088.52474001,41988243.23411999,12148.61177,3.85,7176845.290619998,54883957.93677999,44782871.96199,23162653.616509993,92130.44727000002,405074.4495600001,229312.45406999995,1858555.1305699993,542673.8927,486333.66305,4607438.428899998,13885033.542410003,2765823.91593,465638.24529000005,179.87608,72046.44230000001,147835.76966000002,46399.46881999998,212149.25458999997,1496928.8673199997,324645.99187,815086.03541,6520176.02345,0,4049890.4947000006,64425.01782000001,51793.687950000014
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",7442755.9853300005,0,0,3333211.44052,2613385.91218,47.51568,0,719825.52834,3766702.48591,3380310.29424,980794.46603,7321.32197,2531.06087,12163.3298,67190.94101,102219.77385,96386.92028,70165.85589,2137923.54482,109364.28661,5593.72541,0,267.40063,10013.70552,12155.53675,635.5098,78689.24943,2009.15907,358.36291,276669.54215,,333553.15973,7455.05152,1833.84765
0013,"Общество с ограниченной ответственностью ""Страховая компания ""РЕСО-Шанс""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",35564.7203,0,0,33866.19362,2217.56995,0,0,31648.62367,1506.01496,1459.69805,967.86902,0,0,0,0,0,0,373.5759,118.25313,46.31691,0,0,0,0,0,0,46.31691,0,0,0,,192.51172,0,0
