Сведения о количестве заключенных договоров страхования в разрезе страховщиков,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
Дата составления отчета: 19.11.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период:  январь-сентябрь 2021 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,единица
,,,,Добровольное и обязательное страхование (кроме обязательного медицинского страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,I. Добровольное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II. Обязательное страхование  ,,,,,,,,
,,,,,,Страхование жизни,,,,"Страхование иное, чем страхование жизни",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное личное страхование,,,Обязательное имущественное страхование,,,,,
,,,,,,,в том числе,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,в том числе,,,в том числе,,,,
,,,,,,,,из него,,,личное страхование,,,,,Имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,в том числе,,,,,в том числе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,из него,,,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,государственное,,,,,,,
,,,,,,,,,,,,,,,,,,в том числе,,,,,,,,,,в том числе,,,,,,,,,,,,, страхование жизни и,иные виды,,гражданской,гражданской,гражданской,иные виды,
,,,,,,,,,,,,,"пациентов,",,,,,,,,,,,из него,,,,,из него,,,,,,,,,,,Всего,здоровья, обязательного личного,Всего,ответственности,ответственности,ответственности,обязательного,Инвестиционное
№ п/п,Рег №,Наименование,Город,Всего,из них страхование,,страхование жизни,,,Всего,,,участвующих в,,,,,,,,,,,,,,,владельцев средств,,,,,,,,,,страхование,страхование,,военнослужащих и," страхования,",,владельцев,владельца опасного,перевозчика за,имущественного,страхование
,,,,,нерезидентов,Всего,(кроме,страхование жизни,пенсионное,,Всего,от несчастных,клинических,,,,,,,,,,,,,,Всего,наземного транспорта,владельцев,владельцев,,,,,,,за неисполнение или,предпринимательских,финансовых рисков,,приравненных к ним в, предусмотренные,,транспортных средств,объекта за причинение,причинение вреда,"страхования,",жизни
,,,,,,,пенсионного), заемщика,страхование,,,случаев и болезней,исследованиях,работников,медицинское,Всего,,средств наземного,,,,,,,,,, (кроме средств,автотранспортных,автотранспортных,владельцев средств,владельцев средств,владельцев средств,"организаций,",за причинение вреда,за причинение вреда,ненадлежащее,рисков,,,обязательном, федеральными,,,вреда в результате," жизни, здоровью,",предусмотренные,
,,,,,,, страхования)-всего,,,,,,лекарственного,налоговых органов,страхование,,Всего,транспорта,средств,,,,,"страхование,",,,, железнодорожного, средств (кроме, средств (страхования,железнодорожного,воздушного транспорта,водного транспорта,эксплуатирующих,вследствие недостатков,третьим лицам,исполнение,,,,государственном,законами,,,аварии на опасном, имуществу пассажиров,федеральными,
,,,,,,,,,,,,,препарата для,,,,,(кроме средств,железнодорожного,средств воздушного,средств водного,грузов,сельскохозяйственное,осуществляемое с,прочего имущества,прочего имущества,,транспорта)," страхования,", осуществляемого в,транспорта,,,опасные объекты,"товаров, работ, услуг",, обязательств по,,,, страховании лиц,,,, объекте,,законами,
,,,,,,,,,,,,,медицинского,,,,,железнодорожного,транспорта,транспорта,транспорта,,страхование - всего,государственной,юридических лиц,граждан,,, осуществляемого в,рамках международной,,,,,,, договору,,,,,,,,,,,
,,,,,,,,,,,,,применения,,,,,транспорта),,,,,, поддержкой,,,,,рамках международной, системы страхования,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,, системы страхования," ""Зеленая карта"")",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ""Зеленая карта"")",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ИТОГО:,,,,184812918,4308367,4612065,4606833,3542006,5232,149125160,60120410,50188124,459,1,9932286,89004750,51943079,4102329,4048,1687,3256,5596674,30934,2450,365859,41838292,18926971,850828,526773,318546,9,3838,6452,1654,27063,18000268,36859,49251,18085449,9,9,0,31075684,30842382,188047,45255,0,267498
1,1675,"""Совкомбанк страхование"" (АО)",Санкт-Петербург,3615177,48472,0,0,0,0,3300430,1719215,1122898,0,0,596317,1581215,255189,46600,4,0,42,2471,0,0,2590,203482,431591,5001,5001,0,0,0,26,13,49,426457,45,44,894391,0,0,0,314747,314449,226,72,0,0
2,3947,"АО ""АИГ""",Москва,1360,0,0,0,0,0,1203,0,0,0,0,0,1203,210,0,0,0,0,123,0,0,87,0,618,12,12,0,0,0,0,0,173,433,0,0,375,0,0,0,157,0,157,0,0,0
3,2239,"АО ""АльфаСтрахование""",Москва,62728108,51894,0,0,0,0,58202593,17513319,17003234,42,0,510085,40689274,19045625,417716,171,120,433,8896,168,57,16727,18601394,10394960,114205,21513,92692,0,212,617,85,728,10278327,786,1161,11247528,0,0,0,4525515,4507646,15597,2272,0,0
4,3064,"АО ""Боровицкое страховое общество""",Москва,193286,21101,0,0,0,0,103244,81615,58666,0,0,22949,21629,21075,20225,0,0,0,106,0,0,337,407,552,0,0,0,0,0,0,0,20,125,407,0,2,0,0,0,90042,90042,0,0,0,0
5,1284,"АО ""Группа Ренессанс Страхование""",Москва,3785534,79738,0,0,0,0,2898504,1589501,1018011,0,0,571490,1309003,685909,226885,7,0,35,1828,0,0,2918,454236,88535,50088,50088,0,0,0,2,1,133,38311,0,0,534559,0,0,0,887030,885228,1493,309,0,0
6,3211,"АО ""ГСК ""Югория""",Ханты-Мансийск,2947890,37910,0,0,0,0,1646041,974373,866796,1,0,107577,671668,491472,224237,0,14,42,12342,621,0,24254,229962,25615,1159,879,280,0,34,173,23,45,24139,42,43,154538,0,0,0,1301849,1297798,2829,1222,0,0
7,1820,"АО ""ГУТА-Страхование""",Москва,315,0,0,0,0,0,315,36,0,0,0,36,279,272,4,0,0,1,199,6,6,58,4,7,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
8,1412,"АО ""Д2 Страхование""",Новосибирск,748542,31918,0,0,0,0,748542,539760,506076,0,0,33684,208782,39544,1314,0,0,0,0,0,0,41,38189,9084,0,0,0,0,0,0,0,0,9084,0,0,160154,0,0,0,0,0,0,0,0,0
9,4009,"АО ""ЕРВ Туристическое Страхование""",Москва,149821,0,0,0,0,0,149821,66644,7729,0,0,58915,83177,7372,0,0,0,0,0,0,0,0,7372,7412,0,0,0,0,0,0,0,0,7392,20,0,68393,0,0,0,0,0,0,0,0,0
10,1427,"АО ""МАКС""",Москва,1024371,0,0,0,0,0,446737,267628,209114,0,0,58514,179109,95641,62022,67,2,24,210,0,0,983,32333,25062,13905,13905,0,0,12,78,99,75,10643,250,18,58388,2,2,0,577632,575346,1245,1041,0,0
