"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников (кроме договоров страхования, заключенных путем обмена информацией в электронной форме), тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 07.08.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-июнь 2024 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего*,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,,,,,,,,,,,,,,
ИТОГО:,,817084949.5862103,361261928.1989301,232319116.34809005,193836278.85277998,16047694.492420003,19742746.82030001,156900446.79352003,1054843.48048,90547.26606000001,38572765.481249996,149643.47435,2448660.47434,34492765.79511,304645.0774,1177050.6600499998,128804017.95254001,113530525.85317998,93426907.50046,66099.57787,19917789.32749,113631.80391,6097.64345,15322358.011720002,1089419.68008,0,13991094.151829999,38351.68518,203492.49462999997,803827.71341,4657.99,799169.72341,141264214.31126,50295045.1062,47920.77157999999,130.2422,91425414.06593002,263170986.12875003,223643005.92550004,119107206.80254996,434653.36410999997,3714385.4022700004,5084965.581180001,11137182.391130002,3061329.35452,2676309.00667,39862336.41785002,43203753.10522,16202433.09858,2232297.724469999,1446.77767,730885.4943,3141827.5493300003,464237.21103,994504.7835299999,8376160.190860002,682704.3746799999,5263323.757650001,18062223.34702,0,49274894.713929996,740379.2074699999,568719.3124599999,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",27582528.248200003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5830953.81197,4238491.22971,0,0,1592462.58226,14806082.43224,13364107.68976,6165648.55692,26407.07679,16614.20736,53501.54954,41524.02999,89984.80626,47008.54775,668159.00517,6302268.45773,379917.68515,30330.07402,20,1305.81,20445.73881,173.65,5505.83789,174646.69225,147489.88218,46339.26487,1015717.79246,,6837426.39876,79062.75312,29002.85211,
0141,"Страховое Акционерное Общество ""Медэкспресс""",350698.59272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,343249.95912,4946.55,0,0,338303.40912,6291.49891,5940.35414,4117.92945,0,0,0,0,0,0,1030.14317,792.28152,351.14477,182.954,0,0,0,0,0,168.19077,0,0,0,,1157.13469,0,0,
0191,"Акционерное общество ""Тинькофф Страхование""",2231985.69852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,430596.04957,430596.04957,0,0,0,1801389.64895,1708864.37895,1622358.84128,0,0,0,0,0,0,0,86505.53767,1415.39645,1341.40645,0,0,0,0,0,73.99,0,0,91109.87355,,0,0,0,
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",327671.11397999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,274612.08164,8699.28711,0,0,265912.79453,53059.03234,45627.21127,12468.85121,0,0,0,360.66707,0,0,19667.65517,13130.03782,7113.27107,0,0,6.6638,0,0,499.89858,3589.70869,3017,0,318.55,,0,0,0,
0212,"Акционерное общество Страховая компания ""Турикум""",112559.13809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,112559.13809,63652.97459,0,0,0,0,46951.92648,0,0,22015.17021,0,38023.91642,0,0,0,0,0,19867.16926,18801.24716,0,6486.09708,4396.15,,0,0,0,
0290,"Акционерное общество ""Зетта Страхование""",413695.72895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,31365.14214,26863.3779,381.93137,0,4501.76424,379986.21421,285186.86437,41705.87767,43.075,0,0,80830.5557,508.74068,0,128270.10311,33828.51221,87945.77656,196.86213,0,0,0,18.93283,10992.34246,76406.51115,331.12799,696.59291,6156.98037,,0,1747.82863,596.54397,
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",28949.41244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,26847.2,0,0,0,26847.2,2102.21244,0,0,0,0,0,0,0,0,0,0,192.43,0,0,0,0,0,0,0,192.43,0,1909.78244,,0,0,0,
