"Сведения о количестве договоров страхования, заключенные в отчетном периоде, в разрезе страховщиков, единиц",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
Дата составления отчета: 07.11.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-сентябрь 2023 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего*,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,,,,,,,,,,,Добровольное личное страхование (кроме страхования жизни),,,,,,,,,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,,,,,,,,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,,,,,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров",,,,,,,,,,,,,,,,,,
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,,,,,,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,,,,,Добровольное медицинское страхование,,,,Всего,Добровольное страхование имущества,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,Всего,"Обязательное государственное страхование жизни и здоровья военнослужащих и граждан, призванных на военные сборы",Обязательное государственное страхование жизни и здоровья сотрудников органов внутренних дел,Обязательное государственное страхование жизни и здоровья сотрудников Государственной противопожарной службы,Обязательное государственное страхование жизни и здоровья сотрудников органов по контролю за оборотом наркотических средств и психотропных веществ,Обязательное государственное страхование жизни и здоровья сотрудников учреждений и органов уголовно-исполнительной системы,Обязательное государственное страхование жизни и здоровья сотрудников войск национальной гвардии,Обязательное государственное страхование жизни и здоровья сотрудников органов принудительного исполнения,,Всего,Обязательное страхование гражданской ответственности владельца опасного производственного объекта за причинение вреда в результате аварии на нем,Обязательное страхование гражданской ответственности владельца гидротехнического сооружения за причинение вреда в результате аварии на нем,Обязательное страхование гражданской ответственности владельца автозаправочной станции жидкого моторного топлива за причинение вреда в результате аварии на ней,"Обязательное страхование гражданской ответственности владельца лифта, подъемной платформы для инвалидов, эскалатора (за исключением эскалатора в метрополитенах), пассажирского конвейера (движущейся пешеходной дорожки) за причинение вреда в результате аварии на них",Всего,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке железнодорожным транспортом",,,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке воздушным транспортом",,,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке морским транспортом","Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке внутренним водным транспортом",,,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке автомобильным транспортом",,,,,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке троллейбусами","Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке трамваями","Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке внеуличным транспортом"
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,,Всего,"Добровольное страхование от несчастных случаев и болезней граждан, выезжающих за рубеж",Добровольное страхование от несчастных случаев и болезней пассажиров,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работодателем своих работников (кроме работников налоговых органов),Добровольное страхование от несчастных случаев и болезней работников налоговых органов,Добровольное страхование от несчастных случаев и болезней иных граждан,Всего,"Добровольное медицинское страхование граждан, выезжающих за рубеж",Добровольное медицинское страхование работодателем своих работников,Добровольное медицинское страхование иных граждан,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,,,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,,,,,,,,,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)",,,,"Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",,,,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,,,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты",,,,"Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",,,Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,,,,,,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,,Всего,"Добровольное страхование финансовых рисков граждан, выезжающих за рубеж",Добровольное страхование финансовых рисков кредиторов,Добровольное страхование финансовых рисков иных лиц,,,,,,,,,,,,,,,,,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке поездами дальнего следования","Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке пригородными поездами",Всего,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке самолетами","Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при перевозке вертолетами",,Всего,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров на пригородных, внутригородских, экскурсионно-прогулочных, транзитных, местных маршрутах перевозок и переправах","Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров на туристских маршрутах перевозок",Всего,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при автобусных перевозках в междугородном и международном сообщении","Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при автобусных перевозках в пригородном сообщении","Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при автобусных перевозках в городском сообщении по заказам и автобусных регулярных перевозках в городском сообщении с посадкой и высадкой пассажиров в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок","Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров при автобусных регулярных перевозках в городском сообщении с посадкой и высадкой пассажиров только в установленных остановочных пунктах по маршруту регулярных перевозок",,,
,,,,,Всего,Инвестиционное страхование жизни,,,,,,Кредитное страхование жизни,,,,,,Накопительное страхование жизни,,,,,,Рисковое страхование жизни,,,,,,Прочее страхование жизни,,,,,,Всего,Инвестиционное страхование жизни,,,,,,Кредитное страхование жизни,,,,,,Накопительное страхование жизни,,,,,,Рисковое страхование жизни,,,,,,Прочее страхование жизни,,,,,,,Всего,Инвестиционное страхование жизни,,,,,,Кредитное страхование жизни,,,,,,Накопительное страхование жизни,,,,,,Рисковое страхование жизни,,,,,,Прочее страхование жизни,,,,,,Всего,Инвестиционное страхование жизни,,,,,,Кредитное страхование жизни,,,,,,Накопительное страхование жизни,,,,,,Рисковое страхование жизни,,,,,,Прочее страхование жизни,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Всего,Добровольное страхование автотранспортных средств,Добровольное страхование иных средств наземного транспорта (кроме средств железнодорожного транспорта),,,Всего,Добровольное страхование средств морского транспорта,Добровольное страхование средств внутреннего водного транспорта,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,"Добровольное сельскохозяйственное страхование, осуществляемое без государственной поддержки",,,,,Всего,Добровольное страхование товаров на складе,"Добровольное страхование имущества, используемого при проведении строительно-монтажных работ",Добровольное страхование прочего имущества юридических лиц,Всего,Добровольное страхование строений граждан,Добровольное страхование домашнего имущества,Добровольное страхование прочего имущества граждан,,Всего,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",Добровольное страхование гражданской ответственности владельцев иных средств наземного транспорта (кроме средств железнодорожного транспорта),,,Всего,Добровольное страхование гражданской ответственности владельцев средств морского транспорта,Добровольное страхование гражданской ответственности владельцев средств внутреннего водного транспорта,Всего,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные производственные объекты","Добровольное страхование гражданской ответственности организаций, эксплуатирующих гидротехнические сооружения","Добровольное страхование гражданской ответственности организаций, эксплуатирующих иные опасные объекты",Всего,"Добровольное страхование гражданской ответственности изготовителей и продавцов товаров за причинение вреда вследствие недостатков товаров, работ, услуг","Добровольное страхование гражданской ответственности исполнителей работ, услуг за причинение вреда вследствие недостатков товаров, работ, услуг",Всего,"Добровольное страхование гражданской ответственности организаций, осуществляющих строительно-монтажные работы, за причинение вреда третьим лицам",Добровольное страхование гражданской ответственности нотариусов за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности оценщиков за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности аудиторских организаций и индивидуальных аудиторов за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности иных лиц за причинение вреда третьим лицам,Всего,Добровольное страхование гражданской ответственности специализированных депозитариев за неисполнение или ненадлежащее исполнение обязательств по договору,Добровольное страхование гражданской ответственности управляющих компаний за неисполнение или ненадлежащее исполнение обязательств по договору,Добровольное страхование гражданской ответственности таможенных представителей за неисполнение или ненадлежащее исполнение обязательств по договору,Добровольное страхование гражданской ответственности оценщиков за неисполнение или ненадлежащее исполнение обязательств по договору,Добровольное страхование гражданской ответственности аудиторских организаций и индивидуальных аудиторов за неисполнение или ненадлежащее исполнение обязательств по договору,Добровольное страхование гражданской ответственности заемщиков по кредитным договорам (договорам займа) за неисполнение или ненадлежащее исполнение обязательств по договору,Добровольное страхование гражданской ответственности застройщиков по передаче жилых помещений участникам долевого строительства по договорам участия в долевом строительстве за неисполнение или ненадлежащее исполнение обязательств по договору,Добровольное страхование гражданской ответственности туроператоров по договорам о реализации туристского продукта за неисполнение или ненадлежащее исполнение обязательств по договору,Добровольное страхование гражданской ответственности иных лиц за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,,,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,Всего,На срок до 1 года включительно,На срок от 1 года до 3 лет включительно,На срок от 3 до 5 лет включительно,На срок от 5 до 10 лет включительно,На срок свыше 10 лет или на неопределенный срок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Всего,Добровольное сельскохозяйственное страхование урожая сельскохозяйственных культур,Добровольное сельскохозяйственное страхование посадок многолетних насаждений,Добровольное сельскохозяйственное страхование сельскохозяйственных животных,Добровольное сельскохозяйственное страхование объектов товарной аквакультуры (товарного рыбоводства),Всего,Добровольное сельскохозяйственное страхование урожая сельскохозяйственных культур,Добровольное сельскохозяйственное страхование посадок многолетних насаждений,Добровольное сельскохозяйственное страхование сельскохозяйственных животных,Добровольное сельскохозяйственное страхование объектов товарной аквакультуры (товарного рыбоводства),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ИТОГО:,,216397793,4313893,4206094,2371500,58214,7425,17993,29335,3430,31,2107520,570296,811071,688196,37876,81,107913,23457,24270,40066,16906,3214,95617,36237,11933,46804,543,100,2236,1312,437,0,0,487,1834594,0,0,0,0,0,0,958413,8506,36439,68804,209838,634826,569670,2359,6093,476084,48947,36187,283932,303,90,276871,422,6246,22579,35,2,0,4,22538,107799,70279,35473,2093,14807,13180,83,5310,262,226,36,0,0,0,6687,51,3117,2774,686,59,27810,27785,25,0,0,0,47,0,2,0,0,45,37520,2064,0,0,428,1615,21,0,0,0,0,0,0,30814,2241,420,6420,7190,14543,391,391,0,0,0,0,4251,0,0,0,5,4246,7060,10,0,0,0,4,6,7050,0,0,35,53,6962,73651982,63423400,8743334,9001679,154,219070,11,45459152,10228582,2999648,814695,6414239,107829342,57114261,6147123,6127765,19358,3679,1630,3483,2253,1230,7579686,23560,3664,2841,188,627,8,19896,107,35,19738,16,744618,11614,41578,691426,42610482,8115883,3795906,30698693,22454960,1141543,672548,468966,29,98,5295,7783,3655,4128,1657,473,123,1061,35614,3148,32466,21212048,48332,6794,9667,702,21146553,50922,0,9,84,74,15,0,0,3127,47613,31890,28228231,8399047,3913,19825271,9,8,0,1,0,0,0,0,30364533,187854,129993,4318,9031,44512,43120,92,7,85,85,27,58,890,1056,923,133,40874,16059,8128,6232,10455,68,53,2
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",11556690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2953619,1920163,12441,0,2,21193,0,1886527,1033456,63022,4197,966237,5678406,2845252,311822,311822,0,93,18,234,78,156,5115,12252,456,241,180,35,0,11796,5,0,11791,0,11852,760,1133,9959,2503866,1445218,811806,246842,1424183,2955,2955,0,0,1,32,634,0,634,106,5,0,101,109,0,109,1419845,1198,539,375,5,1417728,501,0,0,0,0,0,0,0,157,344,156,1408815,23755,0,1385060,,,,,,,,,2901139,19279,19279,0,0,0,4247,2,1,1,1,1,0,51,137,127,10,4051,1943,990,523,595,2,3,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",4456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1468,349,0,0,0,174,0,175,1119,230,372,517,515,402,215,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,151,0,0,151,113,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
