"Сведения о вознаграждении посредникам, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 15.05.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-март 2023 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,,,,,,,,,,,,,,
ИТОГО:,,101568321.86886002,23087297.545990005,22435779.03989,21509886.978050005,454366.39532,20280687.22915,581510.46564,165229.23152,28093.65642,925892.0618399999,0,115146.65247,754881.2239399999,11286.39075,44577.79468,651518.5061,344573.56293,268936.73438000004,99.78176,48235.330579999994,27195.52772,106.18849,306944.94317,-435.93663,0,295464.15907,2529.75549,9386.965240000001,21539.09878,500.4,28040.28697,37569887.74852999,31033320.625570003,5550.897210000001,17.616,6536567.122959999,38729484.40953001,30930448.037870005,11632117.776489995,57021.342229999995,297275.91453999997,149123.13293,1398671.3420700007,214093.78196,177436.22776,3451444.090279999,13730700.657369997,2467916.71868,175931.87767000002,69.62,47232.72239000001,76077.86372,35719.72401,102878.97214,1904175.5868300002,125830.35191999999,2002127.91716,3328991.735819999,0,2114457.5570000005,26436.853059999998,19218.655969999996,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",4765080.65281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141745.62504,1087732.13608,0,0,1054013.48896,2383489.66075,2089458.94006,689150.53303,1031.18591,16.23444,7925.5235,19594.54626,22248.62757,13239.39047,217032.04457,1132460.24478,64708.34444,3021.77379,0,625.74353,2198.52961,6464.18109,221.07202,51929.58647,247.45793,2864.5582,226457.81805,,233862.39504,4323.44512,1659.52686,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",21079.51416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20329.14849,899.18817,0,0,19429.96032,700.52359,661.16862,274.49244,0,0,0,0,0,0,342.41198,44.2642,39.35497,0,0,0,0,0,0,39.35497,0,0,0,,49.84208,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",400239.99084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54155.85519,54155.85519,0,0,0,346084.13565,325273.41671,278573.91071,0,0,0,0,0,0,0,46699.506,282.32265,120.3658,0,0,0,0,0,161.95685,0,0,20528.39629,,0,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",13512.24325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9755.4448,1249.70018,0,0,8505.74462,3756.79845,2975.60013,215.06439,0,0,0,125.92179,0,0,1402.07678,1232.53717,781.19832,0,0,0,0,0,3.46145,473.74687,303.99,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",1890.30244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890.30244,928.89576,0,0,0,0,928.89576,0,0,0,0,855.15668,0,0,0,0,0,568.91453,286.24215,0,0,106.25,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",31679.41363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6252.64187,6252.64187,2.27679,0,0,25261.875,20484.007,0,0,0,0,6704.71762,0,0,12328.71798,1450.5714,2968.21485,0,0,0,0,0,945.00043,2023.21442,0,792.40244,1017.25071,,0,95.8625,69.03426,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",4314.54521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3557.28168,0,0,0,3557.28168,757.26353,0,0,0,0,0,0,0,0,0,0,15.2225,0,0,0,0,0,0,0,15.2225,0,742.04103,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",216442.28235000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30801.98685,20195.93441,0,0,10606.05244,166183.83799,156127.74995,75880.63397,0,0,9,2721.31879,1236.81233,1231.88843,72734.02571,3545.95915,6829.32002,150.50353,0,85.7716,137.0634,26.84,16.87,6366.32149,45.95,0,3226.76802,,19456.45751,0,0,0
