"Сведения о страховых выплатах по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 08.08.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-июнь 2023 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего*,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,Всего,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,
ИТОГО:,,22649144.883899998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826167.65228,693960.55559,0,0,132207.09669,7042511.383689999,6571522.76523,1210942.44139,5722.2741,1540904.3272,140546.0203,1240519.29031,634912.19947,566801.06094,1787746.4616800002,10229.75078,131667.56903,4103.97653,3591.7628600000003,507.5598,94.45973,34384.60482,1123.72419,1409.5732500000001,29855.55127,59714.89033999999,980.7889,111476.77674,227844.27268999998,0,14480123.017779998,74360.8182,225982.01195
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",1256881.0963300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,107829.04853,59082.10162,0,408.235,7208.99149,930.57748,18.51179,0,0,50515.78586,0,607.76909,0,0,0,0,0,0,13.74422,0,594.02487,0,48139.17782,0,,1121350.39703,6373.28741,21328.36336
0141,"Страховое Акционерное Общество ""Медэкспресс""",2029.39794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2029.39794,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",596216.46325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,596216.46325,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",174862.66518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038.39214,1038.39214,0,,0,173824.27304,173824.27304,6116.67161,0,0,0,25.13061,237.20606,0,167248.65664,196.60812,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",23989.53971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,10352.99359,1677.61132,0,0,0,0,0,0,0,1677.61132,0,8675.38227,0,0,0,0,0,0,0,0,8675.38227,0,0,0,,0,4127.46197,9509.08415
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",49501.36502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49501.36502,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",14042.93298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14042.93298,0,0
