"Сведения о страховых премиях по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 15.05.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-март 2023 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,Всего,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,
ИТОГО:,,32669613.300930005,455.80636,455.80636,455.80636,455.80636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655993.54511,628661.1477399999,-2445.66,0,27332.39737,23175592.29419,18721334.98323,391743.34068,13924.43113,1117747.96817,2057395.1019700002,678009.9007499999,698259.1637400001,440769.42678,13692208.88271,72046.19408,2266249.95092,3397.09083,4212.4188,0,0,211917.61315,78407.71209,2524.7955899999997,486657.16711000004,1472394.4160099998,10951.15614,759852.4964499999,1428154.86359,0,8196012.393680002,468857.15853,172702.10306000002
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",1306037.06231,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,45.5,0,,0,565543.60695,319876.81634,0,0,8649.46841,2758.18583,10806.00439,0,0,297627.84147,35.31624,25929.00113,0,0,0,0,-12.37322,14.15405,0,0,25927.2203,0,219737.78948,0,,698067.02209,31521.00763,10859.92564
0141,"Страховое Акционерное Общество ""Медэкспресс""",1534.2011,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1534.2011,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",329518.20597,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,329518.20597,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",1123.49982,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1123.49982,-215.08867,0,0,0,0,0,0,0,-215.08867,0,1390.96692,0,0,0,0,0,0,0,0,1390.96692,0,-52.37843,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",256519.13671,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4702.15944,4702.15944,0,,0,251816.97727,249315.70957,3926.50439,0,0,813.8051,12887.35967,5014.32523,0,224809.77349,1863.94169,2501.2677,471.11552,471.11552,0,0,0,0,-128.329,72.67567,1861.89351,223.912,0,0,,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",17926.119710000003,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,4562.89274,4562.89274,0,0,0,0,0,0,0,4562.89274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8550.59899,4812.62798
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",3649.08367,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3649.08367,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",11408.38857,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11408.38857,0,0
0621,"Страховое акционерное общество ""ВСК""",3148235.05566,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1402.57043,1300.72246,0,,101.84797,2069597.89818,1632480.31508,4026.57359,0,117936.05526,12877.86494,45880.69924,1322.00778,0,1450109.29876,327.81551,324401.99056,139.97183,139.97183,0,0,4636.70539,6772.36666,0,1900.04666,310952.90002,0,112715.59254,0,,1025612.91403,38576.06534,13045.60768
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",1699.86933,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1699.86933,0,0
