"Сведения о страховых премиях по договорам, принятым в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 14.02.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-декабрь 2021 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,Всего,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,,
ИТОГО:,,72888821.8996,0,0,1062676.2276299999,673324.9117,20348.2935,0,389351.31593000004,67918135.7683,56009260.92604999,1463078.98525,48434.73771,5173685.59822,1249522.96009,3224963.10401,1303901.85935,56803.04599,43297977.810080014,247695.87133999998,7767010.743359999,47026.54123000001,6032.49988,3418.8937800000003,274.7869,2732162.06917,190885.03679999997,114045.21285000003,310281.72144000005,4342397.83032,29937.544649999996,1927637.9172999999,2214226.18159,0,54777.671019999994,2208369.98387,1644862.24878,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",3304561.53746,0,0,4011.16922,487.70223,0,0,3523.46699,2820145.98243,2398537.51068,0,36.92058,173305.9848,40877.33623,44155.96677,1337.77504,0,2138745.44337,78.08389,342898.22076,253.16067,253.16067,0,0,74445.12756,2540.44683,17699.41139,13387.12278,233843.20273,729.7488,78710.25099,0,,0,268447.26145,211957.12436,0
0212,"Акционерное общество Страховая компания ""Цюрих""",30179.75911,0,0,0,0,0,0,0,30179.75911,8941.70746,0,0,0,0,1072.92515,0,0,7868.78231,0,3666.6772,0,0,0,0,0,0,0,0,3666.6772,0,754.63477,16816.73968,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",2274061.89143,0,0,16280.99345,16280.99345,0,0,0,2257780.89798,2249399.06497,50128.58896,19.53397,0,0,17117.08095,9051.59638,0,2164090.23488,8992.02983,8381.83301,1093.57334,1093.57334,0,0,0,0,622.93066,78.70421,6219.1198,367.505,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",500902.84912,0,0,-2.4953,-2.4953,0,0,0,426712.8958,133420.03883,0,0,7597.29735,0,0,0,0,123967.62928,1855.1122,63549.87362,0,0,0,0,-1029.26211,0,1717.52206,0,62861.61367,0,179949.54472,49793.43863,,0,40662.35833,33530.09029,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",824837.33222,0,0,9499.96601,9499.96601,0,0,0,815337.36621,359493.72346,0,0,359493.72346,0,0,0,0,0,0,455843.64275,0,0,0,0,454091.6417,0,0,0,1752.00105,0,0,0,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",1182.3624300000001,0,0,1900.05556,1900.05556,0,0,0,-0.00055,-0.00055,0,0,0,0,0,0,0,-0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,-717.69258,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",-12448.56483,0,0,-3630.19322,-3630.19322,0,0,0,-6520.28463,-6512.35832,-144.17708,0,0,-4.12356,0,0,0,-3086.63196,-3277.42572,-7.92631,0,0,0,0,0,0,0,0,-4.1173,-3.80901,0,0,,0,-1098.54367,-1199.54331,0
0621,"Страховое акционерное общество ""ВСК""",3534305.6733199996,0,0,8187.813,6102.27637,0,0,2085.53663,3301609.54762,2619470.81089,12286.52442,530.42237,580264.5602,115239.4755,87423.79914,21006.55,4990.44778,1805733.48082,-3014.00156,585066.01244,1424.63402,332.01497,1092.61905,104.45373,140544.9732,3328.5421,15582.9485,3850.89449,420229.5664,0,34477.84984,62594.87445,,0,124713.70693,99794.60577,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",758.6131699999999,0,0,-1361.25559,-1361.25559,0,0,0,2119.86876,1200.12574,7.00578,2.22436,0,0,3.75346,0,0,1187.14214,0,919.74302,0,0,0,0,0,0,885.85931,0,33.88371,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",104030.68548999999,0,0,5463.89482,5463.89482,0,0,0,71934.2027,67946.93124,11062.81682,-10.48215,1522.62227,0,26001.49742,0,0,25999.45309,3371.02379,3875.20545,392.61054,392.61054,0,0,13,13.13,1179.58557,928.52399,1300.13617,48.21918,0,112.06601,,0,14996.23116,11636.35681,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",10034206.23479,0,0,132655.08764,39138.59083,20348.2935,0,93516.49681,9365618.77454,7382897.08769,92022.49753,7581.07553,1182425.4991,283505.7998,276951.03728,79658.97276,0,5350669.73112,110082.47457,1554097.46708,17260.0354,0,0,0,984466.51654,0,25605.56509,30572.74263,496192.60742,0,15516.42068,413107.79909,,0,314249.43925,221682.93336,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",56826.3797,0,0,121.41683,121.41683,0,0,0,25972.58702,22828.75725,3755.24227,22.8598,0,0,1005.7783,68.86656,0,17870.33913,105.67119,2983.82165,0,0,0,0,0,0,1405.92515,253.43837,1294.97691,29.48122,148.98812,11.02,,0,17811.66926,12920.70659,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",349761.93234,0,0,2221.55701,2221.55701,0,0,0,347540.37533,153325.79153,5585.34202,0,95889.52895,31.08165,29898.18423,0,0,18386.90659,3534.74809,194166.18374,206.20892,206.20892,0,0,191194.97508,0,0,570.01244,2194.9873,0,0,48.40006,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",10544064.095590001,0,0,21778.60778,21778.60778,0,0,0,10068561.69287,9353151.44378,1319.72412,8703.65663,210337.11026,84452.47233,162083.13634,326021.05072,0,8560093.74327,140.55011,462080.91252,180.32006,0,0,0,91501.82389,3382.66723,16520.01909,112.87221,350380.30082,2.90922,233897.68295,19431.65362,,0,252490.4562,201233.33874,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",1220278.69395,0,0,145387.55177,5897.28677,0,0,139490.265,473563.42574,402030.87776,14343.6904,2112.19457,6056.9358,3153.7389,8220.64868,1269.51832,0,337905.50393,28968.64716,32045.95351,983.25892,983.25892,0,0,0,0,16557.79095,293.93784,14210.9658,0,29212.7727,10273.82177,,0,349854.91326,251472.80318,0
1216,"Акционерное общество Страховая компания ""Чулпан""",43651.40457,0,0,4.6,4.6,0,0,0,1314.60033,1237.04949,571.30797,0,0,268.62936,83.514,0,0,313.59816,0,77.55084,0,0,0,0,0,60.55084,0,0,17,0,0,0,,0,24108.47189,18223.73235,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",270854.16219,0,0,0,0,0,0,0,4138.83434,3822.27973,0,0,0,24.7246,1620.41188,0,0,2177.14325,0,228.36648,0,0,0,0,0,0,0,0,228.36648,0,0,88.18813,,0,151878.6107,114836.71715,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1916819.47286,0,0,1693.41662,1693.41662,0,0,0,1849214.67242,1548120.18241,3451.05628,4176.64789,401443.60732,108656.05098,45955.0246,10248.46697,0,973510.28455,679.04382,52188.73591,0,0,0,0,15704.16511,400.74176,111.41625,14361.25221,21340.38442,270.77616,191371.0903,57534.6638,,0,37410.31865,28501.06517,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",310934.88824,0,0,15895.17481,15895.17481,0,0,0,234930.43975,229757.89394,536.93959,211.66666,38687.18982,908.48369,27780.17842,194.22835,0,161305.79855,133.40886,4733.40341,6.709,0,6.709,0,289.93897,13.77088,2282.75528,553.90929,1456.38299,129.937,0,439.1424,,0,34312.39094,25796.88274,0
1643,"Общество с ограниченной ответственностью ""Страховая и перестраховочная компания Юнити""",-941.75122,0,0,-9.8992,-9.8992,0,0,0,-931.85202,-471.49723,-304.00453,0,0,0,28.04055,0,0,-184.2397,-11.29355,-460.35479,0,0,0,0,0.40858,0,0,-460.76337,0,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",45288.50129,0,0,461.77404,461.77404,0,0,0,29369.93426,22313.18304,25.2322,0,0,0,157.91424,0,0,21127.27394,1002.76266,7039.50014,791.10665,0,791.10665,0,0,0,98.88282,17.75047,6131.7602,0,17.25108,0,,0,8420.29761,7036.49538,0
1820,"Акционерное общество ""ГУТА-Страхование""",20256.12454,0,0,0,0,0,0,0,20256.12454,18479.87948,0,0,0,0,0,0,0,18479.87948,0,1776.24506,0,0,0,0,0,0,0,0,1776.24506,0,0,0,,0,0,0,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",365604.07176,0,0,3161.26852,3161.26852,0,0,0,310285.32337,285649.70954,30910.89284,678.21832,8069.18893,528.35765,30006.04427,2718.70955,0,207001.19618,5737.1018,7674.06248,5.4,5.4,0,0,0,164.19866,3319.28599,329.20667,3855.97116,0,16577.14434,384.40701,,0,29780.05738,22377.42249,0
2239,"Акционерное общество ""АльфаСтрахование""",5147419.038419999,0,0,4851.29938,4851.29938,0,0,0,4867740.67818,4162244.19825,7592.11514,840.56974,343930.25979,40091.20766,11392.45957,100,0,3758264.58635,33,436283.19207,1528.45908,0,1528.45908,0,106180.78705,410.36502,9800.40163,1079.58338,315483.24645,1800.34946,269117.99518,95.29268,,30576.17445,135816.26378,108434.62263,0
2346,"Акционерное общество ""Объединенная страховая компания""",74863.64225,0,0,3241.07991,3241.07991,0,0,0,60791.11407,58086.83015,30872.60995,12.02766,5804.40616,703.02621,5802.46419,205.43998,0,13070.74161,1616.11439,2704.28392,351.46612,0,0,0,810.3621,745.78295,0,17.65243,779.02032,0,0,0,,0,6024.50462,4806.94365,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",391337.98702,0,0,1440.19246,1440.19246,0,0,0,373780.41276,323584.02469,181998.58288,4.85472,15549.31632,12633.61319,875.37267,0,0,111706.56038,815.72453,50210.49676,0,0,0,170.33317,1062.75398,9285.70338,0,581.50453,39110.06439,0.13731,1.11122,-15.21991,,0,8667.50316,7449.87864,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",9182.45262,0,0,0,0,0,0,0,435.21552,136.5554,0,0,0,0,0,0,0,136.5554,0,298.66012,0,0,0,0,0,0,291.37738,0,7.28274,0,0,0,,0,4961.02378,3786.21332,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",71192.51976000001,0,0,7128.89171,38.08831,0,0,7090.8034,40190.09262,40027.3681,135,16.181,2552.79339,0,10571.34996,982.59925,0,25769.4445,0,100.91583,0,0,0,0,0,0,0,0,100.91583,0,0,61.80869,,0,13956.54936,9916.98607,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",30327.36321,0,0,24.12669,24.12669,0,0,0,30303.23652,21097.08438,1579.08864,0,2593.89028,0,5017.1716,0,0,11861.71532,45.21854,9498.50583,0,0,0,0,0,0,0,0,8009.29505,1489.21078,0,-292.35369,,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",188619.42579,0,0,1385.08889,1385.08889,0,0,0,149357.37894,51558.63269,186.56243,0,5749.35502,0,714.17479,0,0,44908.54045,0,5691.28987,0,0,0,0,87.8829,0,48.29887,15,5540.1081,0,88026.26718,4081.1892,,0,21400.33654,16476.62142,0
3229,"Акционерное общество ""Страховая бизнес группа""",27965.31762,0,0,0,0,0,0,0,16503.51753,13492.53385,1090.40633,0,0,145.96307,9154.71277,0,0,3088.46606,12.98562,3033.22031,0,0,0,0,0,5.085,0,36.84996,164.95911,2826.32624,-22.23663,0,,0,6477.34065,4984.45944,0
3256,"Акционерное общество Страховая компания ""Совкомбанк Жизнь""",2045.67488,0,0,2045.67488,2045.67488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3300,"Акционерное общество Страховая группа ""Спасские ворота""",18412.65807,0,0,0,0,0,0,0,10028.93435,4000.45077,0,8.6496,0,63.36171,3588.44993,0,0,316.88453,23.105,6028.48358,0,0,0,0,743.46383,11.19137,0,94,5179.82838,0,0,0,,0,4714.40033,3669.32339,0
3398,"Общество с ограниченной ответственностью Страховая компания ""ВТБ Страхование""",478328.60348,0,0,-213.83107,-213.83107,0,0,0,20913.75986,7224.43944,0,0,-638,-459.052,-13.83622,0,0,8428.66095,-93.33329,13912.04197,0,0,0,0,0,0,0,0,13912.04197,0,0,-222.72155,,0,258178.97881,199449.69588,0
3834,"Общество с ограниченной ответственностью ""Страховое общество ""Помощь""",14.75804,0,0,0,0,0,0,0,14.75804,14.75804,0,0,0,0,14.75804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",41625.57524,0,0,0,0,0,0,0,8175.44338,8175.44338,0,0,0,0,6842.56509,0,0,1332.87829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,33450.13186,0,0
3947,"Акционерное общество ""АИГ страховая компания""",1618552.50955,0,0,0,0,0,0,0,1603359.24402,495486.64278,0,0,0,0,434612.69925,0,0,60873.94353,0,513685.66839,0,0,0,0,0,0,0,0,513685.66839,0,0,594186.93285,,0,15193.26553,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",3917845.65794,0,0,10247.62217,10247.62217,0,0,0,3907598.03577,2549705.40691,0,0,0,0,112866.16984,0,0,2436839.23707,0,904240.33814,0,0,0,0,0,0,0,9072.6655,895167.67264,0,453652.29072,0,,0,0,0,0
4174,"Общество с ограниченной ответственностью ""СКОР ПЕРЕСТРАХОВАНИЕ""",2876450.4582300005,0,0,4131.28397,5004.00458,0,0,-872.72061,2872319.17426,2713535.98946,363512.20475,-1768.29805,65177.80464,19366.0193,90316.29522,302348.90461,0,1874583.05899,0,156195.09818,16223.68871,2766.27252,0,0,30215.88618,0,0,0,106234.43543,3521.08786,0,2588.08662,,0,0,0,0
4189,"Общество с ограниченной ответственностью ""Кредендо – Ингосстрах Кредитное Страхование""",141560.39016,0,0,0,0,0,0,0,141560.39016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130226.10695,11334.28321,,0,0,0,0
