"Сведения о страховых премиях (взносах) по договорам страхования, заключенным при участии посредников, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 07.02.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-декабрь 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег.№,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,,,,,,,,,,,,,,
ИТОГО:,,1186605083.2233198,412660814.35934,991176.39194,259784876.48360994,170480466.39896998,110123.52054,73.5,89304410.08463995,401802350.62806994,340829910.26697993,181644831.54415995,682202.4465899998,7132057.31606,3919597.415660001,13201420.149060002,6588509.420990001,5878147.06973,58439937.02183999,69221354.95262,26314419.841019996,4218668.53744,1054.06538,835009.9401999998,2396003.30946,1602412.0684,1744001.3168499998,13598334.035240006,1918936.5680500001,10482029.625950001,24175990.89411999,0,109262658.04927997,1107206.8362000003,996000.4748799999,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",43975592.07567,0,0,9589091.176719999,6064106.68844,0,0,3524984.4882799997,24811585.868679997,23230969.51405,7800018.72168,37855.77636,15072.93454,73232.4886,62996.530470000005,453306.8726199999,365800.74287,1008265.4051099999,13780220.78467,775874.5375099999,57943.8077,39.86505,2028.9029200000002,118678.26697,2483.56056,19985.01573,448368.55024,126346.56834,64142.22916,740599.58796,,9387837.64327,120133.43384,66943.95316,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",629461.4162899998,0,0,604157.46113,9685.77077,0,0,594471.69036,20697.60709,20111.61817,16557.69532,0,0,0,0,0,0,1816.57775,1737.3451,585.98892,259.50308,0,0,0,0,0,326.48584000000005,0,0,0,,4606.34807,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",5246192.68149,0,0,1350764.61772,1350764.61772,0,0,0,3895419.0700600003,3752780.7133299997,3126499.89724,0,0,0,0,0,0,0,626280.81609,2676.30417,2186.7321699999998,0,0,0,0,0,489.572,0,0,139962.05255999998,,8.99371,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",256684.77028,0,0,154043.79847,18756.9807,0,0,135286.81777,102640.97181,83161.71018,13122.483750000001,0,19452.38909,0,2127.05971,0,0,29019.382,19440.395630000003,19479.26163,1.5,0,12254.06589,0,8.5,715.10444,5040.0913,1460,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",696110.80569,0,0,0,0,0,0,0,696110.80569,488743.6182,0,0,0,0,136175.83804,0,0,352567.78015999997,0,90897.61758,0,0,0,0,0,30594.66565,60302.951929999996,0,63764.95757,52704.61234,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",1662255.7405,0,0,68366.80658,66890.78673,5523.694640000001,0,1476.01985,1588487.5578,428884.78319,0,1025.38274,0,0,126296.59547999999,0,0,286649.0232,14913.78177,120038.76034,0,0,110.832,0,405,20372.12452,99150.80381999999,0,66646.94729,972917.06698,,0,3768.0242200000002,1633.3519000000001,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",130354.03736,0,0,125721.8011,0.37157,0,0,125721.42953,4632.23626,83.753,0,0,0,0,83.753,0,0,0,0,125.28296999999999,0,0,0,0,0,0,8.8,116.48297000000001,0,4423.20029,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",2817612.8411999997,0,0,337601.10019,228271.79333999997,0,0,109329.30685,1539276.94664,1469828.5317,797951.3772499999,0,217.525,833.24927,12443.37449,89175.50056000001,88612.36533999999,529778.0371300001,39429.468,58761.814360000004,5514.06261,0,264.02,1369.0544200000002,442,864.9149699999999,48988.28839,1319.47397,0,10686.60058,,940734.79437,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",158762.78405000002,0,0,45793.305179999996,45793.305179999996,0,0,0,112969.47887,67328.86927,0,0,0,23258.85812,11015.754270000001,0,0,20678.99908,12375.2578,44531.67357,0,0,0,28179.96975,0,0,16351.70382,0,0,1108.93603,,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",4685.29,0,0,4685.29,0,0,0,4685.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",199227.40822,0,0,7431.7883,1831.2343,0,0,5600.554,15479.850900000001,15223.0709,8087.48644,0,0,0,0,0,0,6562.35164,573.23282,256.78000000000003,0,0,0,0,0,0,256.78000000000003,0,0,0,,176218.70902,97.05999999999999,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",563891.00383,0,0,80499.92598999999,50984.217979999994,0,0,29515.708010000002,106610.40656,105725.80725,38194.57398,0,0,0,1168.7436899999998,902.48373,0,9305.813900000001,56154.19195,485.59931,91.49419999999999,0,0,0,0,0,394.10510999999997,0,0,399,,376780.67127999995,0,0,0
0621,"Страховое акционерное общество ""ВСК""",62583896.50957001,0,0,14220490.91876,7086581.65909,1620.78213,0,7133909.2596700005,42453175.690340005,38320093.496740006,21160644.95039,65440.78709,1180553.6843,485644.48436999996,1934885.40809,375861.80924000003,298621.01962000004,4473343.142349999,8643719.23091,1711315.42752,437619.41293,0,15317.09527,241753.62917,183935.13315,115786.857,716296.31282,606.98718,76746.26595,2345020.50013,,5612164.23768,169619.67656999998,128445.98622,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",3106906.5433799997,0,0,424162.44091,177526.31696,0,0,246636.12395,1540729.5751,1476505.6914300001,1128674.98955,1989.83588,0,2143.26351,228331.9866,0,0,48919.910090000005,66445.7058,24564.43224,2181.4339299999997,0,0,0,0,81.9,5095.29831,17205.8,0,39659.451429999994,,1085732.86705,32622.924150000003,23658.73617,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",2688834.6391000003,0,0,2555877.17406,2404367.9841299998,0,0,151509.18993,132957.46503999998,96429.23297,0,0,0,0,49.65569,0,0,21431.96363,74947.61365,21371.744110000003,0,0,0,0,32.89799,0,21338.84612,0,0,15156.48796,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",4570438.208040001,0,0,1208509.73116,750472.30469,0,0,458037.42647,3329553.65068,3051142.08311,251425.45414,895.67579,5996.881,8729.22082,1662417.08931,0,0,725795.3840500001,395882.378,170960.49446000002,4538.25208,0,494.54932,7930.10524,15805.552670000001,9083.03956,131360.47559,1748.52,891.32018,106559.75293,,23739.867889999998,4308.02572,4326.93259,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",80010035.74949,0,0,13062555.1261,5554476.14933,27816.239400000002,0,7508078.97677,52384903.05302,44719038.34518,27081739.991779998,81931.86375,1114400.08258,1196505.74859,2417322.8377199997,78073.71330999999,44305.534999999996,8515173.977,4233890.130449999,4741167.6375,493769.5485,0,288756.79566,1067412.06775,340551.73222,630631.84961,1912610.73801,7434.905750000001,83188.52071000001,2841508.54963,,14208533.61544,207973.08161,146070.87332,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",6055185.730659999,0,0,801299.3422099999,653594.7403899999,0,0,147704.60181999998,4709996.51318,4178921.6656500003,3165476.5233899998,534.1650999999999,0,0,58865.74936,9601.89359,0,276328.96911,668114.3650999999,437707.74578,192572.53972,0,0,0,18112.65486,3693.56048,206495.76177,16833.228949999997,482.72003,92884.38171999999,,502755.83418999997,19617.375219999998,21516.66586,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",1648165.51553,0,0,725037.7290200001,309512.01784,0,0,415525.71118,923127.78651,596435.5196,329488.59204,0,34449.89815,10,52580.19426,0,0,99126.79710000001,80780.03805,257663.29398,2349.0060000000003,0,25509.90926,0,0,222607.95772,0,7196.421,0,69028.97292999999,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",158383371.78983,0,0,104798004.7759,96166022.29157,0,0,8631982.484329998,49703717.4955,42473250.68327,11379593.03184,227855.89831,4045472.38229,337376.46722,602226.0684300001,41136.55265,18358.17412,20701071.32167,5138518.96086,2751173.51181,108734.60557,180.60000000000002,260978.45357,111220.43487000001,286242.30336,104259.23647999999,1870560.75153,8997.12643,2320333.94197,2158959.3584499997,,3595685.69803,83242.35623,202721.46417,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",106097986.84212999,5303.72019,0,26485648.9688,5751289.024429999,4719.79896,0,20734359.94437,47302866.77153,43119633.52123,32505801.98504,41655.658670000004,-0.023180000000000003,0,816794.19613,15386.97071,2615.51597,3765094.98459,5974899.74927,2175641.80064,924104.7326699999,194.4889,401.17236,1154.02695,255392.50038,63801.36686,770987.8969,159605.61562,264772.92883,1742818.5208299998,,32058595.66906,180332.67116,65239.04139,0
1216,"Акционерное общество Страховая компания ""Чулпан""",191174.2498,0,0,44848.13593,14906.461309999999,0,0,29941.67462,118996.32561,114444.46799,66732.83945999999,0,0,142.5,17.13,851.79401,0,13433.165410000001,33267.03911,4509.713940000001,307.86688000000004,0,0,434.28679999999997,29.84,0,3737.72026,0,0,42.14368,,7820.67745,2131.32125,17377.78956,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",28312269.25067,0,0,8640463.44684,3217604.1948100002,0,0,5422859.25203,15938861.30597,12765059.832020001,10889222.11875,854.208,0,68362.17504,68845.90722,0,0,341620.38406,1396155.03895,264405.67387,89648.18129,0,0,185.79117,0,22688.459479999998,151789.74193,93.5,0,2909395.80008,,3693093.74792,9673.6737,30177.076240000002,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",23132916.997429997,0,0,3197807.25857,1056348.89303,484.6634,0,2141458.36554,18511246.89594,16357325.26184,12421763.77828,39777.64501,26438.38571,152985.24243,442228.19967999996,584348.121,554277.2441,1883742.39093,806041.4988,984437.08464,439567.82461,400,3536.51905,165882.57799,63203.68692,16305.83163,286060.00213,9480.642310000001,732877.16229,436607.38717,,1371070.88918,25373.846100000002,27418.10764,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",1143467.1342600002,0,0,845225.1351800001,6260.80366,0,0,838964.33152,298241.99908000004,296053.81732000003,165567.85006000003,0,0,0,128901.4453,0,0,1289.85161,294.67035000000004,283.37910999999997,154.19911,0,0,0,0,0,129.17999999999998,0,0,1904.8026499999999,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",927975.3671800001,0,0,675682.1616900001,606477.82108,0,0,69204.34061,252293.20549,116468.05327,50086.02719,0,0,0,0,0,0,252.21500000000003,66129.81108,15107.560599999999,0,0,0,0,0,0,15012.5606,95,0,120717.59161999999,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",11304344.09291,0,0,1369776.04675,1156839.20575,0,0,212936.841,4498540.974769999,3222914.1492399997,2924551.90952,69460.28517,1687.8899999999999,2022.28729,7306.8508,0,0,38905.231790000005,178979.69467,130349.58737,71077.54441,0,130.403,757.0166,27541.75694,0,15015.156449999999,15827.70997,0,1145277.23816,,5393674.01123,6791.5998899999995,35561.460269999996,0
1580,Общество с ограниченной ответственностью «РБ Страхование»,953259.5717,0,0,210042.09954999998,210042.09954999998,0,0,0,743217.47215,606456.64703,0,0,0,0,0,0,0,0,606456.64703,6619.522,0,0,0,0,0,0,6619.522,0,0,130141.30312,,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",119790.86562999999,0,0,868.44268,868.44268,0,0,0,14768.4378,14743.4378,9729.44414,0,250,0,0,0,0,3795.13579,968.85787,25,0,0,25,0,0,0,0,0,0,0,,104153.98515,0,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",28554.12915,0,0,20233.07858,17350.54354,0,0,2882.53504,8321.050570000001,4806.83098,-87.2375,0,0,0,0,0,0,0,4894.06848,0,0,0,0,0,0,0,0,0,0,3514.21959,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",14711671.55724,0,0,4537833.70008,2527145.2455200003,0,0,2010688.45456,9064220.07643,4743371.29134,3961770.10091,397.21846,0,-2555.00371,118048.35665,0,0,177840.22664,487870.39239,2312881.6768,50206.91447,0,0,-138.78670000000002,9889.401960000001,5949.3657,2224461.36181,22513.41956,6387.79076,2001579.3175300001,,1105367.29755,2258.89345,1991.5897300000001,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",13651285.52112,0,0,2877445.3909,1785192.21557,6876.03615,73.5,1092253.17533,8957271.05889,8441566.95448,4714600.9335199995,2994.75954,0,12602.49104,1594388.11141,234359.77955,220179.42872,1144128.80266,738492.0767600001,373922.10715,39855.263450000006,144,133.51363,14904.61206,30187.62869,11237.351439999999,273016.92136000004,4442.81652,38136.83122,103645.16604000001,,1691778.2682,60799.369529999996,63991.433600000004,0
1858,"Акционерное общество Страховая компания ""Армеец""",910703.41682,0,0,50499.226149999995,21523.240999999998,0,0,28975.98515,22703.07378,16059.187090000001,5329.57705,0,0,0,5.14951,0,0,2296.49203,8427.9685,6625.03219,1.8,0,0,0,0,0,6623.232190000001,0,0,18.854499999999998,,837501.1168900001,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",1834596.1753099998,0,0,51907.728319999995,32777.91607000001,0,0,19129.81225,485757.50189,131849.32087000003,96628.48595,0,0,0,26291.78086,0,0,3561.19135,5367.862709999999,353886.59533,351501.886,0,0,0,0,588.2167099999999,1796.49262,0,0,21.58569,,1296930.9451,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",258461.07140000002,0,0,24384.802740000003,15855.6948,0,0,8529.10794,234076.26866,211190.61564,176521.68427,496.8,0,896.24,1537.69281,0,0,12674.40246,19063.7961,17130.14365,961,0,0,140.73,0,12081.51757,3432.19508,514.7009999999999,0,5755.509370000001,,0,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",123577.36226,0,0,70378.81235000001,46421.28126,0,0,23957.53109,53198.549909999994,52841.41276,15772.221829999999,0,0,0,159.03405,93.32154,0,4469.15066,32347.684680000002,357.13715,0,0,0,0,0,0,357.13715,0,0,0,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",85915214.00237,0,0,18100001.56407,9380214.89988,16599.86416,0,8719786.66419,54324883.0011,47755144.83033,25542132.501989998,50154.09599,305166.11420999997,999497.0266699999,907155.06929,1929143.92592,1826050.85995,7187379.5589000005,10834516.53736,3493037.59047,844253.36489,0,114417.34297000001,402182.63307,184226.56405000002,92691.18771,1829238.02677,26028.47101,634270.43163,2442430.14867,,13238633.91776,148698.13525000002,102997.38419000001,0
2346,"Акционерное общество ""Объединенная страховая компания""",1576734.37161,0,0,379874.62069999997,111832.28241,0,0,268042.33829,935804.69143,867067.91354,719827.22596,0,275.25,8020.432489999999,14743.869289999999,31.608999999999998,0,81333.49455,42836.032250000004,33499.57706,3315.73235,0,363.8354,3240.42179,20.1,5535.03384,20557.14743,467.30625,0,35237.20083,,261054.4936,0.45937,0.10651,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",5961830.704899999,0,0,1860619.19536,995378.34678,18372.3887,0,865240.84858,4055998.1728399997,3455325.28637,1391425.5793899999,1299.37888,0,240619.97556,601923.2961200001,195184.87529,188326.55120000002,741967.4255,282904.75563,520223.31110000005,8412.85103,0,434.5,189187.13695,0,145910.15613,176278.66699,0,30745.11113,49704.46424,,36321.80459,3247.0379399999997,5644.49417,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",3233090.15858,0,0,2086075.2780600002,2008958.8989199998,0,0,77116.37914,479865.69431,465158.80154,275620.54473,0,0,1277.072,4750.7654999999995,15.87,0,55102.99282,128391.55649,13920.520050000001,253.54,0,0,211.733,0,1266.07,12137.46205,51.714999999999996,0,786.3727200000001,,667149.1862100001,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",1806317.41633,0,0,457265.63743999996,457265.63743999996,0,0,0,1349051.77889,467247.61945,467247.61945,0,0,0,0,0,0,0,0,6524.3585299999995,6524.3585299999995,0,0,0,0,0,0,0,0,875279.80091,,0,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",11.72038,0,0,0,0,0,0,0,11.72038,0,0,0,0,0,0,0,0,0,0,11.72038,0,0,0,0,0,0,11.72038,0,0,0,,0,0,0,0
2733,"Акционерное общество ""Страховая компания ""Бестиншур""",27416.95647,0,0,27278.75577,0,0,0,27278.75577,138.2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.2007,,0,0,0,0
