"Сведения о доле перестраховщиков в выплатах по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 15.08.2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-июнь 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,,
ИТОГО:,,14241851.947360003,579235.09485,0,2567424.9188900003,771804.7795999999,343.12108,0,1795620.1392899998,10582056.480880003,9021701.251790002,2158036.4836399998,5416.18523,1273484.27132,245267.69103,237699.11968,1277013.94647,770467.95075,3782224.6691799993,42558.88524,250133.90543999991,26943.68199,2738.5855600000004,20704.95109,588.86662,67226.01654,17471.60854,2856.54178,26147.70998,91008.64234,17890.83765,549187.7737400001,761033.5499100001,0,110724.70328999999,144635.94885,257774.80060000005,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",272950.94615,0,0,0,0,0,0,0,244238.12936,233401.48374,0,0,0,56765.72818,0,61038.1296,61038.1296,115597.62596,0,9183.08487,668.0977,0,668.0977,0,0,0,0,8514.98717,0,0,1653.56075,0,,0,18262.6876,10450.12919,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",8251.55063,0,0,188.28431,188.28431,0,0,0,8063.26632,8063.26632,7989.39144,0,0,0,0,0,0,39.47846,34.39642,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
