"Сведения о вознаграждении посредникам, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Дата составления отчета: 07.02.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-декабрь 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег. №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,,,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,,,,,,,,,,,,,
ИТОГО:,,343511005.08943015,80786020.65738998,88128.14047000001,137235778.99441007,122245794.29625002,35284.22996,3.85,14989978.649759997,116343702.99513006,95893033.96258001,49342189.254799984,160202.16605000003,735929.0562199999,599484.6168200001,4319310.439910001,1288487.9731699997,1169978.95328,10148149.815700004,29299280.639909994,6385735.79538,917539.1750099999,200.4068,146661.75378000003,357184.54555000004,176069.67097000004,453731.71125000005,3750682.1876300005,583666.3443900001,1391275.2509899999,12673657.986179994,0,8875001.424509998,98385.10314,83987.77438000002
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",16571069.9909,0,0,6954330.7849200005,5107780.912289999,47.515679999999996,0,1846549.8726299999,8923714.113230001,8138496.00266,2379276.36419,10112.261480000001,8161.48655,39221.35576,112167.25705,254604.07918,232337.77337,359090.74421000003,4975862.45424,272572.41685000004,12645.69761,0,724.5039899999999,36467.45208,17989.36146,2300.77177,177395.28451,25049.345429999998,1687.44479,510958.24893,,674588.47848,12369.69686,6066.91741
0141,"Страховое Акционерное Общество ""Медэкспресс""",59827.16446,0,0,56206.50869,2372.75698,0,0,53833.751710000004,3187.15762,3128.35553,2415.72612,0,0,0,0,0,0,419.67159,292.95781999999997,58.80209,0,0,0,0,0,0,58.80209,0,0,0,,433.49815,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",1346730.8372699998,0,0,126266.00745,126266.00745,0,0,0,1220463.9304499999,1141047.52718,959147.63116,0,0,0,0,0,0,0,181899.89602,699.45721,563.3589599999999,0,0,0,0,0,136.09825,0,0,78716.94606,,0.89937,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",45170.35469,0,0,25758.69047,4827.1097,0,0,20931.58077,19411.66422,15556.65028,2770.76784,0,2019.39447,0,361.66819,0,0,5169.50126,5235.31852,3855.0139400000003,0.3,0,1277.5581,0,2.5500000000000003,186.18133,1856.17451,532.25,0,0,,0,0,0
