"Сведения о страховых премиях по договорам входящего перестрахования в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 07.08.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-июнь 2024 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регистрационный номер записи страховщика в едином государственном реестре субъектов страхового дела,Полное наименование страховщика,Всего*,Добровольное страхование жизни (кроме пенсионного страхования),,,,,,,,,,,,,,,,,,,,,,,,,,,Добровольное пенсионное страхование,,,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц*,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров"
,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события",,,,,,,,,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика",,,,,,,,,,,,,Всего,Добровольное пенсионное страхование с единовременной уплатой страховой премии,Добровольное пенсионное страхование с уплатой страховой премии в рассрочку,Всего,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,Всего,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,
,,,,Всего,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни на случай смерти, дожития до определенного возраста или срока либо наступления иного события с уплатой страховой премии в рассрочку",,,,,,Всего,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с единовременной уплатой страховой премии",,,,,,"Добровольное страхование жизни с условием периодических страховых выплат (ренты, аннуитетов) и (или) с участием страхователя в инвестиционном доходе страховщика с уплатой страховой премии в рассрочку",,,,,,,,,,Всего,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,Всего,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,"Добровольное страхование имущества юридических лиц (кроме транспортных средств, грузов и сельскохозяйственного страхования)","Добровольное страхование имущества граждан (кроме транспортных средств, грузов и сельскохозяйственного страхования)",Всего,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,
,,,,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,Всего,Инвестиционное страхование жизни,Кредитное страхование жизни,Накопительное страхование жизни,Рисковое страхование жизни,Прочее страхование жизни,,,,,,,,,,,,,,,,Всего,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,Всего,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,
ИТОГО:,,88874705.89518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081023.8505499999,898465.55707,0,0,182558.29348,65729805.428670004,52247163.37956,1768882.65357,78697.06748000001,3216098.6037299996,3624367.3804,3530584.92708,1824396.09369,1547483.0235499998,37980580.331480004,223556.32213000002,7190051.882610001,3198.4515499999998,2448.2691999999997,0,461.64463,2002775.33371,1423213.9157500002,64780.07733000001,1077788.56826,2549930.80861,67903.08277000001,883674.53207,5408915.634430001,0,19782122.687629994,1438690.9897300005,843062.9386000001
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",2923529.7070600004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.36497,381.36497,,,0,925701.57339,655750.7585,0,-0.49853,17393.21685,12771.30985,33885.39626,0,0,591269.75824,431.57583,193974.05976,0,0,,0,17531.6094,2656.07362,0,2591.65345,171194.72329,0,75976.75513,0,,1784260.32574,131361.75081,81824.69215
0141,"Страховое Акционерное Общество ""Медэкспресс""",2234.93115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,2234.93115,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",988560.19231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,988560.19231,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",2001.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,2001.996,498.77959,0,0,0,0,498.77959,0,0,0,0,1503.21641,0,0,,0,0,0,0,0,1503.21641,0,0,0,,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",714608.3315199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8925.1116,8925.1116,,,0,705683.21992,699831.49196,23862.00898,0,0,1568.4925,30865.72246,7107.01825,0,631800.8515,4627.39827,3815.97132,397.24607,397.24607,,0,0,0,0,0,3223.84342,194.88183,2035.75664,0,,0,0,0
0290,"Акционерное общество ""Зетта Страхование""",112505.68828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,55205.32772,48755.29243,-14993.62793,3.67167,0,0,15.49998,0,0,63721.125,8.62371,6450.03529,0,0,,0,0,0,0,58.94775,6391.08754,0,0,0,,0,35999.91797,21300.44259
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",3565.4694099999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,3.15,,,0,1131.14886,1131.14886,0,0,0,0,54.99751,0,0,1076.10837,0.04298,0,0,0,,0,0,0,0,0,0,0,0,0,,2431.17055,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",24018.27223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,24018.27223,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",16989.34719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,16989.34719,0,0
0621,"Страховое акционерное общество ""ВСК""",6959461.806029999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4645.83355,4645.83355,,,0,4859097.37814,4045788.01252,14771.31156,781.16901,238615.93574,146898.33698,140644.00221,324.15887,0,3502691.08857,1062.00958,594605.54549,101.03652,101.03652,,112.34463,50667.57674,25695.07755,0,14466.78271,503562.72734,0,218296.72251,407.09762,,1885836.53114,129367.31557,80514.74763
