"Сведения о доле перестраховщиков в выплатах по договорам, переданным в перестрахование, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата составления отчета: 07.02.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчетный период: январь-декабрь 2022 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рег №,Наименование страховщика,Всего,Добровольное страхование жизни (кроме пенсионного страхования),Добровольное пенсионное страхование,Добровольное личное страхование (кроме страхования жизни),,,,,Добровольное имущественное страхование,,,,,,,,,,,,,,,,,,,,,,,,Обязательное государственное страхование жизни и здоровья военнослужащих и приравненных к ним в обязательном государственном страховании лиц,Обязательное страхование гражданской ответственности владельцев транспортных средств,Обязательное страхование гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"Обязательное страхование гражданской ответственности перевозчика за причинение вреда жизни, здоровью, имуществу пассажиров","Иной вид обязательного страхования, предусмотренный федеральным законом о нем"
,,,,,,Добровольное страхование от несчастных случаев и болезней,,,Добровольное медицинское страхование,,Добровольное страхование имущества,,,,,,,,,,Добровольное страхование гражданской ответственности,,,,,,,,,,,Добровольное страхование предпринимательских рисков,Добровольное страхование финансовых рисков,,,,,
,,,,,,,"Добровольное страхование от несчастных случаев и болезней пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",Добровольное страхование от несчастных случаев и болезней работников налоговых органов,,,,Добровольное страхование средств наземного транспорта (кроме средств железнодорожного транспорта),Добровольное страхование средств железнодорожного транспорта,Добровольное страхование средств воздушного транспорта,Добровольное страхование средств водного транспорта,Добровольное страхование грузов,Добровольное сельскохозяйственное страхование,,Добровольное страхование прочего имущества юридических лиц,Добровольное страхование прочего имущества граждан,,Добровольное страхование гражданской ответственности владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),,,Добровольное страхование гражданской ответственности владельцев средств железнодорожного транспорта,Добровольное страхование гражданской ответственности владельцев средств воздушного транспорта,Добровольное страхование гражданской ответственности владельцев средств водного транспорта,"Добровольное страхование гражданской ответственности организаций, эксплуатирующих опасные объекты","Добровольное страхование гражданской ответственности за причинение вреда вследствие недостатков товаров, работ, услуг",Добровольное страхование гражданской ответственности за причинение вреда третьим лицам,Добровольное страхование гражданской ответственности за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,
,,,,,,,,,,,,,,,,,,"Добровольное сельскохозяйственное страхование, осуществляемое с государственной поддержкой",,,,,"Добровольное страхование гражданской ответственности владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования ""Зеленая карта"")","Добровольное страхование гражданской ответственности  владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования ""Зеленая карта"")",,,,,,,,,,,,,,
ИТОГО:,,39062987.47270001,868762.0046699997,0,2684311.31175,1223164.47945,0,0,1461146.8323,26243559.59161001,22650636.040999997,4462218.904250001,12018.240450000001,2126159.2324099997,457415.02914,609974.40785,1727332.05574,1317522.69604,13129154.097629998,126364.07353000001,658484.0857800001,39521.09626,4384.934850000001,25586.39273,1663.0471200000002,228537.18896000003,54356.47980999999,3721.54925,53977.615860000005,238106.77276999998,38600.33575,1966417.7159599997,968021.7488699999,0,8379317.72349,282401.71951,604635.12167,0
0001,"Публичное акционерное общество Страховая Компания ""Росгосстрах""",2259440.61126,0,0,0,0,0,0,0,746296.29547,721835.31515,0,0,0,57151.795569999995,0,140572.47363,140572.47363,523791.60162000003,319.44433,22997.508700000002,2176.28633,0,2176.28633,0,0,3075.65607,0,17745.5663,0,0,1463.47162,0,,1470118.19398,25367.10072,17659.02109,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",13054.80113,0,0,1955.1960900000001,1955.1960900000001,0,0,0,10572.678460000001,10572.678460000001,10407.73624,0,0,0,0,0,0,114.2333,50.70892,0,0,0,0,0,0,0,0,0,0,0,0,0,,526.9265800000001,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",231002.65238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,231002.65238,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",1223.37028,0,0,92.89999999999999,92.89999999999999,0,0,0,1130.47028,1130.47028,177.05628000000002,0,0,0,0,0,0,700.50926,252.90474,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",222335.46226000003,0,0,181.80863,181.80863,0,0,0,222153.65363000002,215356.31871999998,0,0,0,0,34515.19668,0,0,180841.12204,0,5231.38321,0,0,0,0,0,0,0,14.14958,5217.23363,0,1565.9517,0,,0,0,0,0
0235,"Акционерное общество ""Русское перестраховочное общество""",137560.63406,0,0,0,0,0,0,0,137560.63406,137560.63406,0,0,0,0,27.48864,0,0,137470.91223999998,62.23318,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",357959.30854999996,0,0,19919.31005,15432.82053,0,0,4486.48952,316875.89998,49703.70776,14701.468200000001,0,4189.55075,39.58192,29623.74508,0,0,1149.36181,0,16683.38052,0,0,0,0,4270.99798,0,0,0,12412.382539999999,0,5001.977830000001,245486.83387,,0,0,21164.09852,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",652.55249,0,0,0,0,0,0,0,652.55249,652.55249,12.17056,0,640.38193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",41189.58275,0,0,0,0,0,0,0,24857.42322,24270.50981,0,0,0,0,0,0,0,24270.50981,0,586.91341,0,0,0,0,0,0,0,0,0,586.91341,0,0,,16332.159529999999,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",4730.6630700000005,0,0,0,0,0,0,0,4730.6630700000005,4730.6630700000005,0,0,0,4730.6630700000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",15050.87479,0,0,0,0,0,0,0,1954.0431,1954.0431,1756.1580999999999,0,0,0,0,0,0,197.88500000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12258.77615,838.0555400000001,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",11313.685120000002,0,0,5289.9241,5289.9241,0,0,0,4903.23125,4903.23125,3864.9808700000003,0,0,0,0,0,0,1038.25038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1120.52977,0,0,0
0621,"Страховое акционерное общество ""ВСК""",1533474.58086,0,0,714.1956,10,0,0,704.1956,407712.35589999997,403990.80665000004,0,0,0,0,0,25259.027789999996,19558.66666,378731.77886,0,3721.54925,0,0,0,0,0,0,3721.54925,0,0,0,0,0,,1080343.57369,16381.24281,28323.212860000003,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",57454.157380000004,0,0,1185.9450199999999,1185.9450199999999,0,0,0,22414.857900000003,22414.857900000003,22286.39132,0,0,0,0,0,0,128.46658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25747.98075,0,8105.37371,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",14041.185159999999,0,0,14041.185159999999,14041.185159999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
0915,"Акционерное общество ""Страховая компания ""ПАРИ""",220587.14443,0,0,0,0,0,0,0,212932.07254,212932.07254,7838.228,0,0,0,0,0,0,205093.84454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4507.4022700000005,0,3147.6696199999997,0
0928,"Страховое публичное акционерное общество ""Ингосстрах""",4014528.56697,0,0,425839.82339,0,0,0,425839.82339,1481058.7087700001,1013153.92697,244356.66665,0,359266.28025999997,25983.14858,100277.98973,0,0,283269.84175,0,201843.03588,4365.45291,0,0,0,135286.90355000002,42575.14864,0,0,19615.53078,0,0,266061.74592,,1894596.44618,61259.48991,151774.09872,0
1083,"Общество с ограниченной ответственностью ""Зетта Страхование""",119156.18228000001,0,0,68513.09548,3560.10495,0,0,64952.990529999995,11382.438,10117.61798,4052.77478,0,0,0,0,0,0,0,6064.8432,550.63609,550.63609,550.63609,0,0,0,0,0,0,0,0,0,714.18393,,28637.18967,3452.1983299999997,7171.2608,0
1182,"Общество с ограниченной ответственностью ""Страховая компания ""ТИТ""",232050.19032000002,0,0,17130.022979999998,17130.022979999998,0,0,0,214920.16734,214920.16734,93850.90423,0,113058.40299,0,0,0,0,7883.1766,127.68352,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1208,"Акционерное общество ""Страховое общество газовой промышленности""",7436125.17892,0,0,19561.86989,0,0,0,19561.86989,6007128.20421,5597578.11869,3431828.1903799996,12018.240450000001,638568.32132,185173.60809999998,1880.97361,10737.813020000001,0,1260585.23581,56785.736,71193.93497999999,0,0,0,0,32541.586010000003,0,0,2734.35162,35917.99735,0,336853.06414000003,1503.0864,,1123553.39564,130106.95595999999,155774.75322,0
1209,"Страховое акционерное общество ""РЕСО-Гарантия""",1223282.1131499999,0,0,191163.69931,56369.47247,0,0,134794.22684,720012.3400999999,424631.81025,59004.84204,0,0,0,57877.98111,0,0,298861.02027,8887.96683,46433.98829,23788.568600000002,2967.53175,20821.03685,0,0,12.558,0,0,4431.65299,18201.2087,132098.72578,116847.81578,,280598.71334,13092.11621,18415.244189999998,0
1216,"Акционерное общество Страховая компания ""Чулпан""",14979.14313,0,0,0,0,0,0,0,990.16856,990.16856,944.7260600000001,0,0,0,0,0,0,45.442499999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5252.91496,0,8736.05961,0
1284,"Публичное акционерное общество ""Группа Ренессанс Страхование""",5411160.05635,0,0,169117.59554,143963.70281,0,0,25153.89273,4729331.98212,4710868.90171,100996.15097,0,0,21073.569939999998,0,0,0,4580021.91288,8777.26792,713.50206,694.24399,694.24399,0,0,0,0,0,0,19.25807,0,0,17749.57835,,492008.78663,1600.4973,19101.19476,0
1307,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""",1695955.56158,0,0,24922.810439999997,8750,0,0,16172.81044,1417710.92784,213271.61419000002,3352.9099100000003,0,0,0,0,0,0,209918.70427999998,0,1663.0471200000002,0,0,0,1663.0471200000002,0,0,0,0,0,0,1202776.26653,0,,202490.60449,7891.59714,42939.62167,0
1336,"общество с ограниченной ответственностью ""Страховая компания ""Капитал-полис""",21592.62976,0,0,0,0,0,0,0,21592.62976,21592.62976,15.27648,0,0,0,21577.35328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1412,"Акционерное общество ""Д2 Страхование""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1427,"Акционерное общество ""Московская акционерная страховая компания""",221096.42577,0,0,19441.26142,19441.26142,0,0,0,304.05702,242.63582,242.63582,0,0,0,0,0,0,0,0,61.4212,61.4212,61.4212,0,0,0,0,0,0,0,0,0,0,,169999.18817,0,31351.91916,0
1580,Общество с ограниченной ответственностью «РБ Страхование»,15.482,0,0,0,0,0,0,0,15.482,15.482,0,0,0,0,0,0,0,0,15.482,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1587,"Акционерное общество ""Страховое общество ""Талисман""",541.08113,0,0,0,0,0,0,0,413.28747999999996,413.28747999999996,395.77047999999996,0,0,0,0,0,0,0,17.517000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,,127.79365000000001,0,0,0
1623,"Общество с ограниченной ответственностью Страховая компания ""Пульс""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
1675,"Акционерное общество ""Совкомбанк страхование""",1288607.3830800003,0,0,5257.09312,5257.09312,0,0,0,1090026.16637,1087385.1956500001,1070.86006,0,0,0,1368.91363,0,0,1084945.42196,0,0,0,0,0,0,0,0,0,0,0,0,0,2640.97072,,192826.84199,0,497.28159999999997,0
1820,"Акционерное общество ""ГУТА-Страхование""",3489.81882,0,0,0,0,0,0,0,3486.3673,0,0,0,0,0,0,0,0,0,0,3486.3673,0,0,0,0,0,0,0,3486.3673,0,0,0,0,,0,0,3.45152,0
1834,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""",1220171.1579999998,0,0,32.80234,32.80234,0,0,0,1122992.56755,1122992.56755,42769.63153,0,0,0,0,1131.14218,0,1076162.65672,2929.13712,0,0,0,0,0,0,0,0,0,0,0,0,0,,66167.15652,4072.3444200000004,26906.28717,0
1858,"Акционерное общество Страховая компания ""Армеец""",-155480.4998,0,0,0,0,0,0,0,797.1246,797.1246,797.1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-156277.6244,0,0,0
2027,"Акционерное общество ""Страховая компания ""Двадцать первый век""",17603.07231,0,0,0,0,0,0,0,10745.26683,8133.098569999999,4864.299489999999,0,0,0,3268.79908,0,0,0,0,2612.16826,2612.16826,23.09871,2589.06955,0,0,0,0,0,0,0,0,0,,6857.80548,0,0,0
2042,"Общество с ограниченной ответственностью ""Страховая компания ""Гранта""",18433.375630000002,0,0,10742.07724,10742.07724,0,0,0,7691.29839,7691.29839,7531.233389999999,0,0,0,0,0,0,0,160.06500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2144,"Акционерное общество ""Страховая компания АСКО-Центр""",1033.10576,0,0,0,0,0,0,0,1033.10576,1033.10576,0,0,0,0,0,0,0,1033.10576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2169,"Общество с ограниченной ответственностью ""Страховая компания ""Инертек""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2239,"Акционерное общество ""АльфаСтрахование""",4017215.5508399997,0,0,111268.40688,107691.72989,0,0,3576.6769900000004,3183503.7154699997,2774958.7473400002,154038.75546000001,0,901214.9985900001,146085.99506,7695.176380000001,236428.52836,213917.88772,1316934.13966,12561.153830000001,180312.30608,6.62423,6.62423,0,0,54401.184120000005,0,0,0,125904.49773,0,27623.449910000003,200609.21214000002,,662489.4225199999,14214.12406,45739.881910000004,0
2346,"Акционерное общество ""Объединенная страховая компания""",52791.63841,0,0,7278.35869,3499.99923,0,0,3778.3594599999997,22267.69359,18718.40229,0,0,0,14386.673130000001,0,0,0,3803.7235800000003,528.00558,3549.2913000000003,3549.2913000000003,0,0,0,0,0,0,0,0,0,0,0,,22624.75151,0,620.83462,0
2496,"Общество с ограниченной ответственностью ""Абсолют Страхование""",421039.29034,0,0,11363.614370000001,11363.614370000001,0,0,0,399268.38093,399268.38093,16227.350439999998,0,0,2393.472,511.40922,1983.4968,1983.4968,378152.65247000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9969.862579999999,0,437.43246000000005,0
2619,"Акционерное общество ""Страховая компания ""Астро-Волга""",71479.81888,0,0,0,0,0,0,0,7468.74718,5480.32428,3651.5299,0,0,0,0,0,0,1426.48178,402.31260000000003,1988.4229,0,0,0,0,0,1977.1179000000002,0,0,11.305000000000001,0,0,0,,64011.0717,0,0,0
2682,"Общество с ограниченной ответственностью ""Страховая компания ""ИНСАЙТ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2708,"Акционерное общество ""Чрезвычайная страховая компания""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2877,"Общество с ограниченной ответственностью ""Страховая компания ""Мегарусс-Д""",99.23089,0,0,0,0,0,0,0,99.23089,99.23089,0,0,0,0,0,0,0,99.23089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2917,"Общество с ограниченной ответственностью ""Страховая компания НИК""",109222.12967,0,0,0,0,0,0,0,109222.12967,108130.12218,0,0,108130.12218,0,0,0,0,0,0,1092.0074900000002,0,0,0,0,1092.0074900000002,0,0,0,0,0,0,0,,0,0,0,0
2947,"Акционерное общество ""Страховая компания ""РСХБ-Страхование""",1698413.12873,0,0,406155.51975,406155.51975,0,0,0,1292257.60898,1291002.68344,47590.13087,0,0,0,0,1196809.72836,930707.34407,43709.27288,2893.5513300000002,1254.92554,0,0,0,0,0,0,0,0,1254.92554,0,0,0,,0,0,0,0
3064,"Акционерное общество ""Боровицкое страховое общество""",51055.23304,0,0,0,0,0,0,0,60.5184,60.5184,60.5184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50994.71464,0,0,0
3193,"Общество с ограниченной ответственностью ""СТРАХОВАЯ КОМПАНИЯ ""АРСЕНАЛЪ""",17426.176929999998,0,0,2956.93532,2956.93532,0,0,0,14469.24161,4252.84324,1322.5,0,0,0,0,0,0,2930.34324,0,10216.39837,0,0,0,0,0,0,0,0,0,10216.39837,0,0,,0,0,0,0
3211,"Акционерное общество ""Группа страховых компаний ""Югория""",457875.92332,0,0,2040.8432900000003,0,0,0,2040.8432900000003,48505.89561,16206.499999999998,0,0,0,0,0,0,0,16206.499999999998,0,32299.395609999996,0,0,0,0,0,6715.999199999999,0,0,18929.47694,6653.91947,0,0,,398108.96415,1360.5102,7859.71007,0
3225,"Общество с ограниченной ответственностью ""Страховая компания ИНТЕРИ""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
3229,"Акционерное общество ""Страховая бизнес группа""",21383.63701,0,0,0,0,0,0,0,12777.13874,12777.13874,148.95501,0,0,0,0,0,0,12628.18373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,8606.49827,0
3268,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""",190.90214,0,0,0,0,0,0,0,190.90214,190.90214,0,0,0,0,190.90214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
